"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación.tráfico"
"es0120a",31487,"o3","Ozone (air)","hour8","ug.m-3",69959,"Madrid",3266129,"RAMÓN Y CAJAL"
"es0120a",31488,"no2","Nitrogen dioxide (air)","day","ug.m-3",1826,"Madrid",3266129,"RAMÓN Y CAJAL"
"es0120a",31485,"o3","Ozone (air)","dymax","ug.m-3",2919,"Madrid",3266129,"RAMÓN Y CAJAL"
"es0120a",31486,"o3","Ozone (air)","hour","ug.m-3",69690,"Madrid",3266129,"RAMÓN Y CAJAL"
"es0120a",31505,"no","Nitrogen monoxide (air)","hour","ug.m-3",34948,"Madrid",3266129,"RAMÓN Y CAJAL"
"es0120a",31489,"no2","Nitrogen dioxide (air)","hour","ug.m-3",43699,"Madrid",3266129,"RAMÓN Y CAJAL"
"es0120a",31504,"no","Nitrogen monoxide (air)","day","ug.m-3",1461,"Madrid",3266129,"RAMÓN Y CAJAL"
"es0817a",32733,"no2","Nitrogen dioxide (air)","hour","ug.m-3",131561,"Sevilla",688593,"LA RANILLA"
"es0817a",32732,"no2","Nitrogen dioxide (air)","day","ug.m-3",5606,"Sevilla",688593,"LA RANILLA"
"es0817a",32726,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",2694,"Sevilla",688593,"LA RANILLA"
"es0817a",32727,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",63726,"Sevilla",688593,"LA RANILLA"
"es0817a",32728,"o3","Ozone (air)","day","ug.m-3",1918,"Sevilla",688593,"LA RANILLA"
"es0817a",32729,"o3","Ozone (air)","dymax","ug.m-3",1918,"Sevilla",688593,"LA RANILLA"
"es0817a",32730,"o3","Ozone (air)","hour","ug.m-3",45191,"Sevilla",688593,"LA RANILLA"
"es0817a",32731,"o3","Ozone (air)","hour8","ug.m-3",45706,"Sevilla",688593,"LA RANILLA"
"es0817a",32747,"no","Nitrogen monoxide (air)","day","ug.m-3",4534,"Sevilla",688593,"LA RANILLA"
"es0817a",32748,"no","Nitrogen monoxide (air)","hour","ug.m-3",106439,"Sevilla",688593,"LA RANILLA"
"es0817a",32752,"pm2.5","Particulate matter < 2.5 µm (aerosol)","day","ug.m-3",685,"Sevilla",688593,"LA RANILLA"
"es0817a",32753,"pm2.5","Particulate matter < 2.5 µm (aerosol)","hour","ug.m-3",15969,"Sevilla",688593,"LA RANILLA"
"es0817a",115740,"no2","Nitrogen dioxide (air)","hour","ug.m-3",50539,"Sevilla",688593,"LA RANILLA"
"es0817a",115746,"no","Nitrogen monoxide (air)","hour","ug.m-3",50579,"Sevilla",688593,"LA RANILLA"
"es0890a",32960,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1466,"Sevilla",688592,"Torneo"
"es0890a",32963,"o3","Ozone (air)","day","ug.m-3",3958,"Sevilla",688592,"Torneo"
"es0890a",32964,"o3","Ozone (air)","dymax","ug.m-3",3955,"Sevilla",688592,"Torneo"
"es0890a",32961,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",10783,"Sevilla",688592,"Torneo"
