"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-01-21,"080150-99999",-0.102398467214507,0.756600230739542,24.9980976955496,"es1271a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-01-21,"080110-99999",-0.105330620357858,0.76033523533881,27.2305851477311,"es1271a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-01-21,"080140-99999",-0.0994837673636768,0.76038759521637,4.64539130138419,"es1272a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-01-21,"080150-99999",-0.102398467214507,0.756600230739542,25.3816980720233,"es1272a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-01-21,"080110-99999",-0.105330620357858,0.76033523533881,29.3808405657138,"es1272a"
"083830","99999","HUELVA","SP",NA,NA,37.283,-6.917,20,1973-01-01,2021-01-21,"083830-99999",-0.120724424360448,0.650711105021046,3.66593912604859,"es1340a"
"083905","99999","SEVILLA HELIPORT","SP",NA,"LEEC",37.317,-6,5,2007-06-29,2021-01-21,"083905-99999",-0.10471975511966,0.651304516966724,83.0336164690423,"es1340a"
"084490","13025","ROTA NAVAL AIR STATION","SP",NA,"LERT",36.65,-6.35,25.6,1973-01-01,2021-01-21,"084490-13025",-0.11082840750164,0.639663170855922,84.880167419175,"es1340a"
"080140","99999","GIJON-MUSEL","SP",NA,NA,43.567,-5.7,6,1973-01-01,2021-01-21,"080140-99999",-0.0994837673636768,0.76038759521637,5.42309278663489,"es1358a"
"080150","99999","OVIEDO","SP",NA,NA,43.35,-5.867,339,1973-03-13,2021-01-21,"080150-99999",-0.102398467214507,0.756600230739542,27.4612681183075,"es1358a"
"080110","99999","ASTURIAS","SP",NA,"LEAS",43.564,-6.035,126.8,1973-01-01,2021-01-21,"080110-99999",-0.105330620357858,0.76033523533881,31.476501127974,"es1358a"
"084870","99999","ALMERIA","SP",NA,"LEAM",36.844,-2.37,21.3,1931-01-02,2021-01-21,"084870-99999",-0.0413643032722656,0.643049109604791,6.83358405883629,"es1393a"
"080144","99999","ARMILLA","SP",NA,"LEGA",37.133,-3.636,700.1,2004-05-25,2021-01-21,"080144-99999",-0.0634601716025138,0.648093111143054,110.496728733166,"es1393a"
"084190","99999","GRANADA","SP",NA,"LEGR",37.189,-3.777,566.9,1973-01-01,2021-01-21,"084190-99999",-0.0659210858478258,0.649070495524171,124.275390516425,"es1393a"
"082220","99999","MADRID RETIRO","SP",NA,NA,40.417,-3.683,667,1999-04-12,2021-01-20,"082220-99999",-0.0642804763509512,0.705409723778548,3.34497579723684,"es1426a"
"082200","99999","MADRID/C. UNIVERSITARIA","SP",NA,NA,40.45,-3.717,669,1979-12-01,2021-01-20,"082200-99999",-0.0648738882966292,0.705985682431706,7.65552906932604,"es1426a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-01-21,"082210-99999",-0.0622558944186377,0.706753627302584,11.6274976703486,"es1426a"
"081800","99999","BARCELONA CITY","SP",NA,NA,41.417,2.133,176,1973-01-01,2021-01-20,"081800-99999",0.037227872945039,0.722863016298491,3.92517338628133,"es1438a"
"081810","99999","BARCELONA","SP",NA,"LEBL",41.297,2.078,3.7,1973-01-01,2021-01-21,"081810-99999",0.0362679418564422,0.720768621196098,11.6861277244228,"es1438a"
"081763","99999","SABADELL","SP",NA,"LELL",41.517,2.1,250,2000-08-30,2021-01-21,"081763-99999",0.0366519142918809,0.724608345550486,15.3113661341784,"es1438a"
"084520","99999","CADIZ OBS","SP",NA,NA,36.5,-6.25,9,1973-01-01,2021-01-20,"084520-99999",-0.109083078249646,0.63704517697793,1.78970978874477,"es1479a"
