"","X","site","variable","period","unit","date_start","date_end","observation_count","Municipio","Población","Estación.tráfico","numData"
"290",290,"es1492a","pm10","day","ug.m-3","1999-10-19 00:00:00","2012-07-14 00:00:00",4202,"Vitoria",251775,"TRES MARZO",290398
"291",291,"es1492a","pm10","hour","ug.m-3","1999-10-19 02:00:00","2012-07-14 14:00:00",99562,"Vitoria",251775,"TRES MARZO",290398
"292",292,"es1492a","o3","day","ug.m-3","1998-04-01 00:00:00","2011-12-31 00:00:00",4984,"Vitoria",251775,"TRES MARZO",290398
"293",293,"es1492a","o3","dymax","ug.m-3","1998-04-01 00:00:00","2011-12-31 00:00:00",4980,"Vitoria",251775,"TRES MARZO",290398
"294",294,"es1492a","o3","hour","ug.m-3","1998-04-01 00:00:00","2011-12-31 23:00:00",114768,"Vitoria",251775,"TRES MARZO",290398
"295",295,"es1492a","o3","hour8","ug.m-3","1998-04-01 00:00:00","2011-12-31 23:00:00",119214,"Vitoria",251775,"TRES MARZO",290398
"296",296,"es1492a","no2","day","ug.m-3","1998-04-01 00:00:00","2012-12-31 00:00:00",5287,"Vitoria",251775,"TRES MARZO",290398
"297",297,"es1492a","no2","hour","ug.m-3","1998-04-01 00:00:00","2012-12-31 23:00:00",125646,"Vitoria",251775,"TRES MARZO",290398
"298",298,"es1492a","no","day","ug.m-3","2000-01-01 00:00:00","2012-12-31 00:00:00",4648,"Vitoria",251775,"TRES MARZO",290398
"299",299,"es1492a","no","hour","ug.m-3","2000-01-01 00:00:00","2012-12-31 23:00:00",110605,"Vitoria",251775,"TRES MARZO",290398
"476",476,"es1834a","pm10","day","ug.m-3","2006-03-01 00:00:00","2006-12-18 00:00:00",202,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"477",477,"es1834a","pm10","day","ug.m-3","2007-01-10 00:00:00","2012-12-31 00:00:00",1775,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"478",478,"es1834a","o3","day","ug.m-3","2006-02-07 00:00:00","2012-12-31 00:00:00",2276,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"479",479,"es1834a","o3","dymax","ug.m-3","2006-02-07 00:00:00","2012-12-31 00:00:00",2277,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"480",480,"es1834a","o3","hour","ug.m-3","2006-02-07 00:00:00","2012-12-31 23:00:00",52745,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"481",481,"es1834a","o3","hour8","ug.m-3","2006-02-07 00:00:00","2012-12-31 23:00:00",53694,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"482",482,"es1834a","no2","day","ug.m-3","2006-02-09 00:00:00","2012-12-31 00:00:00",2218,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"483",483,"es1834a","no2","hour","ug.m-3","2006-02-09 15:00:00","2012-12-31 23:00:00",50588,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"484",484,"es1834a","no","day","ug.m-3","2006-02-09 00:00:00","2012-12-31 00:00:00",2219,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"485",485,"es1834a","no","hour","ug.m-3","2006-02-09 12:00:00","2012-12-31 23:00:00",50606,"Castellón de la Plana",171728,"Patronat d'Esports",289510
"271",271,"es1479a","pm10","day","ug.m-3","2005-01-01 00:00:00","2011-12-31 00:00:00",2069,"Cádiz",116027,"Avenida Marconi",288931
"272",272,"es1479a","pm10","hour","ug.m-3","2005-01-01 00:00:00","2008-12-31 22:00:00",25088,"Cádiz",116027,"Avenida Marconi",288931
"273",273,"es1479a","o3","day","ug.m-3","2002-01-01 00:00:00","2012-12-31 00:00:00",3877,"Cádiz",116027,"Avenida Marconi",288931
"274",274,"es1479a","o3","dymax","ug.m-3","2002-01-01 00:00:00","2012-12-31 00:00:00",3877,"Cádiz",116027,"Avenida Marconi",288931
"275",275,"es1479a","o3","hour","ug.m-3","2002-01-01 00:00:00","2012-12-31 22:00:00",91718,"Cádiz",116027,"Avenida Marconi",288931
"276",276,"es1479a","o3","hour8","ug.m-3","2002-01-01 00:00:00","2012-12-31 23:00:00",92736,"Cádiz",116027,"Avenida Marconi",288931
"277",277,"es1479a","no2","day","ug.m-3","2005-01-07 00:00:00","2012-12-31 00:00:00",2063,"Cádiz",116027,"Avenida Marconi",288931
"278",278,"es1479a","no2","hour","ug.m-3","2005-01-07 12:00:00","2012-12-31 22:00:00",48401,"Cádiz",116027,"Avenida Marconi",288931
"279",279,"es1479a","no","day","ug.m-3","2005-01-07 00:00:00","2012-12-31 00:00:00",2062,"Cádiz",116027,"Avenida Marconi",288931
"280",280,"es1479a","no","hour","ug.m-3","2005-01-07 12:00:00","2012-12-31 22:00:00",48388,"Cádiz",116027,"Avenida Marconi",288931
"330",330,"es1525a","pm10","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",1459,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"331",331,"es1525a","pm10","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 22:00:00",34874,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"332",332,"es1525a","o3","day","ug.m-3","2002-01-01 00:00:00","2009-12-30 00:00:00",2915,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"333",333,"es1525a","o3","dymax","ug.m-3","2002-01-01 00:00:00","2009-12-30 00:00:00",2913,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"334",334,"es1525a","o3","hour","ug.m-3","2002-01-01 00:00:00","2009-12-30 16:00:00",68430,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"335",335,"es1525a","o3","hour8","ug.m-3","2002-01-01 00:00:00","2009-12-30 23:00:00",69768,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"336",336,"es1525a","no2","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",1824,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"337",337,"es1525a","no2","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 22:00:00",43685,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"338",338,"es1525a","no","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",1459,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"339",339,"es1525a","no","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 22:00:00",34932,"Madrid",3266132,"CUATRO CAMINOS-PABLO IGLESIAS",283190
"248",248,"es1426a","pm10","day","ug.m-3","1997-01-01 00:00:00","2007-12-31 00:00:00",1341,"Madrid",3266130,"MORATALAZ",282751
"249",249,"es1426a","pm10","hour","ug.m-3","1997-01-01 00:00:00","2007-12-31 23:00:00",31963,"Madrid",3266130,"MORATALAZ",282751
"250",250,"es1426a","pm10","day","ug.m-3","1998-10-01 00:00:00","2012-12-31 00:00:00",4080,"Madrid",3266130,"MORATALAZ",282751
"251",251,"es1426a","pm10","hour","ug.m-3","1998-10-01 00:00:00","2012-12-31 22:00:00",97217,"Madrid",3266130,"MORATALAZ",282751
"252",252,"es1426a","pm10","day","ug.m-3","2000-01-01 00:00:00","2001-12-31 00:00:00",728,"Madrid",3266130,"MORATALAZ",282751
"253",253,"es1426a","pm10","hour","ug.m-3","2000-01-01 00:00:00","2001-12-31 23:00:00",17386,"Madrid",3266130,"MORATALAZ",282751
"254",254,"es1426a","o3","day","ug.m-3","1998-10-15 00:00:00","2009-12-30 00:00:00",4079,"Madrid",3266130,"MORATALAZ",282751
"255",255,"es1426a","o3","dymax","ug.m-3","1998-10-15 00:00:00","2009-12-30 00:00:00",4079,"Madrid",3266130,"MORATALAZ",282751
"256",256,"es1426a","o3","hour","ug.m-3","1998-10-15 00:00:00","2009-12-30 09:00:00",96537,"Madrid",3266130,"MORATALAZ",282751
"257",257,"es1426a","o3","hour8","ug.m-3","1998-10-15 00:00:00","2009-12-30 16:00:00",97723,"Madrid",3266130,"MORATALAZ",282751
"258",258,"es1426a","no2","day","ug.m-3","1998-10-23 00:00:00","2012-12-31 00:00:00",5166,"Madrid",3266130,"MORATALAZ",282751
"259",259,"es1426a","no2","hour","ug.m-3","1998-10-23 00:00:00","2012-12-31 22:00:00",123342,"Madrid",3266130,"MORATALAZ",282751
"260",260,"es1426a","no","day","ug.m-3","2000-01-01 00:00:00","2012-12-31 00:00:00",4731,"Madrid",3266130,"MORATALAZ",282751
"261",261,"es1426a","no","hour","ug.m-3","2000-01-01 00:00:00","2012-12-31 22:00:00",113122,"Madrid",3266130,"MORATALAZ",282751
"300",300,"es1494a","pm10","day","ug.m-3","1999-10-21 00:00:00","2012-10-07 00:00:00",4309,"San Sebastián",187416,"ATEGORRIETA",281200
"301",301,"es1494a","pm10","hour","ug.m-3","1999-10-21 13:00:00","2012-10-07 07:00:00",101618,"San Sebastián",187416,"ATEGORRIETA",281200
"302",302,"es1494a","o3","day","ug.m-3","1998-04-01 00:00:00","2011-12-31 00:00:00",4918,"San Sebastián",187416,"ATEGORRIETA",281200
"303",303,"es1494a","o3","dymax","ug.m-3","1998-04-01 00:00:00","2011-12-31 00:00:00",4916,"San Sebastián",187416,"ATEGORRIETA",281200
"304",304,"es1494a","o3","hour","ug.m-3","1998-04-01 00:00:00","2011-12-31 23:00:00",111961,"San Sebastián",187416,"ATEGORRIETA",281200
"305",305,"es1494a","o3","hour8","ug.m-3","1998-04-01 00:00:00","2011-12-31 23:00:00",117541,"San Sebastián",187416,"ATEGORRIETA",281200
"306",306,"es1494a","no2","day","ug.m-3","1998-04-01 00:00:00","2011-12-16 00:00:00",4859,"San Sebastián",187416,"ATEGORRIETA",281200
"307",307,"es1494a","no2","hour","ug.m-3","1998-04-01 00:00:00","2011-12-16 23:00:00",114690,"San Sebastián",187416,"ATEGORRIETA",281200
"308",308,"es1494a","no","day","ug.m-3","2000-01-01 00:00:00","2011-12-16 00:00:00",4317,"San Sebastián",187416,"ATEGORRIETA",281200
"309",309,"es1494a","no","hour","ug.m-3","2000-01-01 00:00:00","2011-12-16 23:00:00",102092,"San Sebastián",187416,"ATEGORRIETA",281200
"414",414,"es1618a","pm10","day","ug.m-3","2003-01-01 00:00:00","2012-12-31 00:00:00",3540,"Salamanca",144228,"SALAMANCA 5",280619
"415",415,"es1618a","pm10","hour","ug.m-3","2003-01-01 00:00:00","2012-12-31 23:00:00",83416,"Salamanca",144228,"SALAMANCA 5",280619
"416",416,"es1618a","o3","day","ug.m-3","2005-06-06 00:00:00","2007-12-27 00:00:00",924,"Salamanca",144228,"SALAMANCA 5",280619
"417",417,"es1618a","o3","dymax","ug.m-3","2005-06-06 00:00:00","2007-12-27 00:00:00",925,"Salamanca",144228,"SALAMANCA 5",280619
"418",418,"es1618a","o3","hour","ug.m-3","2005-06-06 17:00:00","2007-12-27 14:00:00",21888,"Salamanca",144228,"SALAMANCA 5",280619
"419",419,"es1618a","o3","hour8","ug.m-3","2005-06-06 17:00:00","2007-12-27 21:00:00",22070,"Salamanca",144228,"SALAMANCA 5",280619
"420",420,"es1618a","no2","day","ug.m-3","2003-01-01 00:00:00","2012-12-31 00:00:00",3600,"Salamanca",144228,"SALAMANCA 5",280619
"421",421,"es1618a","no2","hour","ug.m-3","2003-01-01 00:00:00","2012-12-31 23:00:00",85348,"Salamanca",144228,"SALAMANCA 5",280619
"422",422,"es1618a","no","day","ug.m-3","2003-01-01 00:00:00","2012-12-31 00:00:00",3592,"Salamanca",144228,"SALAMANCA 5",280619
"423",423,"es1618a","no","hour","ug.m-3","2003-01-01 00:00:00","2012-12-31 23:00:00",85105,"Salamanca",144228,"SALAMANCA 5",280619
"109",109,"es1161a","pm10","day","ug.m-3","1998-10-01 00:00:00","2012-12-31 00:00:00",5071,"León",124303,"BARRIO PINILLA",279324
"110",110,"es1161a","pm10","hour","ug.m-3","1998-10-01 00:00:00","2012-12-31 23:00:00",120174,"León",124303,"BARRIO PINILLA",279324
"111",111,"es1161a","o3","day","ug.m-3","1997-01-01 00:00:00","2009-12-11 00:00:00",4614,"León",124303,"BARRIO PINILLA",279324
"112",112,"es1161a","o3","dymax","ug.m-3","1997-01-01 00:00:00","2009-12-11 00:00:00",4617,"León",124303,"BARRIO PINILLA",279324
"113",113,"es1161a","o3","hour","ug.m-3","1997-01-01 01:00:00","2009-12-11 10:00:00",109648,"León",124303,"BARRIO PINILLA",279324
"114",114,"es1161a","o3","hour8","ug.m-3","1997-01-01 01:00:00","2009-12-11 17:00:00",110345,"León",124303,"BARRIO PINILLA",279324
"115",115,"es1161a","no2","day","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",5734,"León",124303,"BARRIO PINILLA",279324
"116",116,"es1161a","no2","hour","ug.m-3","1997-01-01 01:00:00","2012-12-31 23:00:00",136427,"León",124303,"BARRIO PINILLA",279324
"117",117,"es1161a","no","day","ug.m-3","2000-01-01 00:00:00","2012-12-31 00:00:00",4640,"León",124303,"BARRIO PINILLA",279324
"118",118,"es1161a","no","hour","ug.m-3","2000-01-01 00:00:00","2012-12-31 23:00:00",110299,"León",124303,"BARRIO PINILLA",279324
"394",394,"es1580a","pm10","day","ug.m-3","2002-01-01 00:00:00","2012-12-31 00:00:00",3983,"Santander",172539,"Centro",277186
"395",395,"es1580a","pm10","hour","ug.m-3","2002-01-01 00:00:00","2012-12-31 23:00:00",94190,"Santander",172539,"Centro",277186
"396",396,"es1580a","o3","day","ug.m-3","2002-01-01 00:00:00","2005-12-31 00:00:00",1442,"Santander",172539,"Centro",277186
"397",397,"es1580a","o3","dymax","ug.m-3","2002-01-01 00:00:00","2005-12-31 00:00:00",1444,"Santander",172539,"Centro",277186
"398",398,"es1580a","o3","hour","ug.m-3","2002-01-01 00:00:00","2005-12-31 23:00:00",34163,"Santander",172539,"Centro",277186
"399",399,"es1580a","o3","hour8","ug.m-3","2002-01-01 00:00:00","2005-12-31 23:00:00",34402,"Santander",172539,"Centro",277186
"400",400,"es1580a","no2","day","ug.m-3","2002-01-01 00:00:00","2012-12-31 00:00:00",3986,"Santander",172539,"Centro",277186
"401",401,"es1580a","no2","hour","ug.m-3","2002-01-01 00:00:00","2012-12-31 23:00:00",94352,"Santander",172539,"Centro",277186
"402",402,"es1580a","no","day","ug.m-3","2002-01-01 00:00:00","2012-12-31 00:00:00",3986,"Santander",172539,"Centro",277186
"403",403,"es1580a","no","hour","ug.m-3","2002-01-01 00:00:00","2012-12-31 23:00:00",94351,"Santander",172539,"Centro",277186
"60",60,"es1018a","pm10","day","ug.m-3","2002-01-02 00:00:00","2012-12-31 00:00:00",1985,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"61",61,"es1018a","o3","day","ug.m-3","1999-01-01 00:00:00","2012-12-31 00:00:00",3768,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"62",62,"es1018a","o3","dymax","ug.m-3","1999-01-01 00:00:00","2012-12-31 00:00:00",3768,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"63",63,"es1018a","o3","hour","ug.m-3","1999-01-01 00:00:00","2012-12-31 22:00:00",88979,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"64",64,"es1018a","o3","hour8","ug.m-3","1999-01-01 00:00:00","2012-12-31 23:00:00",89889,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"65",65,"es1018a","no2","day","ug.m-3","1999-01-01 00:00:00","2012-12-31 00:00:00",3633,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"66",66,"es1018a","no2","hour","ug.m-3","1999-01-01 00:00:00","2012-12-31 22:00:00",84971,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"67",67,"es1018a","no","day","ug.m-3","2000-01-01 00:00:00","2012-12-31 00:00:00",3275,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"68",68,"es1018a","no","hour","ug.m-3","2000-01-01 01:00:00","2012-12-31 22:00:00",76723,"Tarrasa",220556,"Terrassa (Pare Alegre)",275393
"281",281,"es1480a","pm10","day","ug.m-3","2002-01-02 00:00:00","2012-12-31 00:00:00",1967,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"282",282,"es1480a","o3","day","ug.m-3","1997-11-04 00:00:00","2012-12-31 00:00:00",5075,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"283",283,"es1480a","o3","dymax","ug.m-3","1997-11-04 00:00:00","2012-12-31 00:00:00",5076,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"284",284,"es1480a","o3","hour","ug.m-3","1997-11-04 12:00:00","2012-12-31 22:00:00",119427,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"285",285,"es1480a","o3","hour8","ug.m-3","1997-11-04 12:00:00","2012-12-31 23:00:00",120540,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"286",286,"es1480a","no2","day","ug.m-3","1997-11-04 00:00:00","2012-12-31 00:00:00",5000,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"287",287,"es1480a","no2","hour","ug.m-3","1997-11-04 12:00:00","2012-12-31 22:00:00",116848,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"288",288,"es1480a","no","day","ug.m-3","2000-01-01 00:00:00","2012-12-31 00:00:00",4468,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"289",289,"es1480a","no","hour","ug.m-3","2000-01-01 00:00:00","2012-12-31 22:00:00",104616,"Barcelona",1636762,"Gràcia-Sant Gervasi",274590
"158",158,"es1262a","pm10","day","ug.m-3","1999-04-06 00:00:00","2012-12-31 00:00:00",1627,"Sabadell",213644,"Sabadell (Gran Via)",273537
"159",159,"es1262a","o3","day","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",5638,"Sabadell",213644,"Sabadell (Gran Via)",273537
"160",160,"es1262a","o3","dymax","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",5634,"Sabadell",213644,"Sabadell (Gran Via)",273537
"161",161,"es1262a","o3","hour","ug.m-3","1997-01-01 00:00:00","2012-12-31 22:00:00",132549,"Sabadell",213644,"Sabadell (Gran Via)",273537
"162",162,"es1262a","o3","hour8","ug.m-3","1997-01-01 00:00:00","2012-12-31 23:00:00",133898,"Sabadell",213644,"Sabadell (Gran Via)",273537
"163",163,"es1262a","no2","day","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",5549,"Sabadell",213644,"Sabadell (Gran Via)",273537
"164",164,"es1262a","no2","hour","ug.m-3","1997-01-01 00:00:00","2012-12-31 22:00:00",130063,"Sabadell",213644,"Sabadell (Gran Via)",273537
"165",165,"es1262a","no","day","ug.m-3","2000-01-01 00:00:00","2012-12-31 00:00:00",4551,"Sabadell",213644,"Sabadell (Gran Via)",273537
"166",166,"es1262a","no","hour","ug.m-3","2000-01-01 00:00:00","2012-12-31 22:00:00",106784,"Sabadell",213644,"Sabadell (Gran Via)",273537
"129",129,"es1225a","pm10","day","ug.m-3","2002-01-04 00:00:00","2012-12-30 00:00:00",1417,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"130",130,"es1225a","o3","day","ug.m-3","1999-01-01 00:00:00","2012-12-31 00:00:00",4963,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"131",131,"es1225a","o3","dymax","ug.m-3","1999-01-01 00:00:00","2012-12-31 00:00:00",4961,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"132",132,"es1225a","o3","hour","ug.m-3","1999-01-01 00:00:00","2012-12-31 22:00:00",116948,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"133",133,"es1225a","o3","hour8","ug.m-3","1999-01-01 00:00:00","2012-12-31 23:00:00",118077,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"134",134,"es1225a","no2","day","ug.m-3","1999-01-01 00:00:00","2012-12-31 00:00:00",4789,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"135",135,"es1225a","no2","hour","ug.m-3","1999-01-01 00:00:00","2012-12-31 22:00:00",112627,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"136",136,"es1225a","no","day","ug.m-3","2000-01-01 00:00:00","2012-12-31 00:00:00",4492,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"137",137,"es1225a","no","hour","ug.m-3","2000-01-01 00:00:00","2012-12-31 22:00:00",105837,"Lleida",138956,"Lleida (Irurita - Pius XII)",268659
"433",433,"es1631a","pm10","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",2897,"Valladolid",298412,"Arco de Ladrillo",267753
"434",434,"es1631a","pm10","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 23:00:00",68663,"Valladolid",298412,"Arco de Ladrillo",267753
"435",435,"es1631a","no2","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",2827,"Valladolid",298412,"Arco de Ladrillo",267753
"436",436,"es1631a","no2","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 23:00:00",66075,"Valladolid",298412,"Arco de Ladrillo",267753
"437",437,"es1631a","no","day","ug.m-3","2006-01-01 00:00:00","2012-12-31 00:00:00",2470,"Valladolid",298412,"Arco de Ladrillo",267753
"438",438,"es1631a","no","hour","ug.m-3","2006-01-01 00:00:00","2012-12-31 23:00:00",57796,"Valladolid",298412,"Arco de Ladrillo",267753
"439",439,"es1631a","no","day","ug.m-3","2005-01-01 00:00:00","2005-12-31 00:00:00",357,"Valladolid",298412,"Arco de Ladrillo",267753
"440",440,"es1631a","no","hour","ug.m-3","2005-01-01 00:00:00","2005-12-31 23:00:00",8270,"Valladolid",298412,"Arco de Ladrillo",267753
"310",310,"es1502a","pm10","day","ug.m-3","2001-06-14 00:00:00","2012-09-25 00:00:00",4059,"Vitoria",251774,"Avenida de Gasteiz",260127
"311",311,"es1502a","pm10","hour","ug.m-3","2001-06-14 07:00:00","2012-09-25 11:00:00",95877,"Vitoria",251774,"Avenida de Gasteiz",260127
"312",312,"es1502a","o3","day","ug.m-3","2001-01-01 00:00:00","2011-12-31 00:00:00",3925,"Vitoria",251774,"Avenida de Gasteiz",260127
"313",313,"es1502a","o3","dymax","ug.m-3","2001-01-01 00:00:00","2011-12-31 00:00:00",3924,"Vitoria",251774,"Avenida de Gasteiz",260127
"314",314,"es1502a","o3","hour","ug.m-3","2001-01-01 00:00:00","2011-12-31 23:00:00",91311,"Vitoria",251774,"Avenida de Gasteiz",260127
"315",315,"es1502a","o3","hour8","ug.m-3","2001-01-01 00:00:00","2011-12-31 23:00:00",93921,"Vitoria",251774,"Avenida de Gasteiz",260127
"316",316,"es1502a","no2","day","ug.m-3","2001-01-01 00:00:00","2011-12-31 00:00:00",3956,"Vitoria",251774,"Avenida de Gasteiz",260127
"317",317,"es1502a","no2","hour","ug.m-3","2001-01-01 00:00:00","2011-12-31 23:00:00",93823,"Vitoria",251774,"Avenida de Gasteiz",260127
"318",318,"es1502a","no","day","ug.m-3","2001-01-01 00:00:00","2011-12-31 00:00:00",3956,"Vitoria",251774,"Avenida de Gasteiz",260127
"319",319,"es1502a","no","hour","ug.m-3","2001-01-01 00:00:00","2011-12-31 23:00:00",93523,"Vitoria",251774,"Avenida de Gasteiz",260127
"262",262,"es1438a","pm10","day","ug.m-3","2002-01-16 00:00:00","2012-12-31 00:00:00",1673,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"263",263,"es1438a","o3","day","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",4664,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"264",264,"es1438a","o3","dymax","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",4659,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"265",265,"es1438a","o3","hour","ug.m-3","1997-01-01 02:00:00","2012-12-31 22:00:00",107359,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"266",266,"es1438a","o3","hour8","ug.m-3","1997-01-01 02:00:00","2012-12-31 23:00:00",109706,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"267",267,"es1438a","no2","day","ug.m-3","1997-01-01 00:00:00","2012-12-31 00:00:00",4422,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"268",268,"es1438a","no2","hour","ug.m-3","1997-01-01 02:00:00","2012-12-31 22:00:00",101289,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"269",269,"es1438a","no","day","ug.m-3","2000-01-11 00:00:00","2012-12-31 00:00:00",3634,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"270",270,"es1438a","no","hour","ug.m-3","2000-01-11 11:00:00","2012-12-31 22:00:00",83143,"Barcelona",1636763,"Barcelona (l'Eixample)",235212
"340",340,"es1560a","pm10","day","ug.m-3","2001-01-03 00:00:00","2010-12-31 00:00:00",3485,"Granada",232462,"Norte",219760
"341",341,"es1560a","pm10","hour","ug.m-3","2001-01-03 11:00:00","2008-12-31 22:00:00",66334,"Granada",232462,"Norte",219760
"342",342,"es1560a","o3","day","ug.m-3","2001-01-01 00:00:00","2011-12-31 00:00:00",3939,"Granada",232462,"Norte",219760
"343",343,"es1560a","o3","dymax","ug.m-3","2001-01-01 00:00:00","2011-12-31 00:00:00",3943,"Granada",232462,"Norte",219760
"344",344,"es1560a","o3","hour","ug.m-3","2001-01-01 00:00:00","2011-12-31 22:00:00",92866,"Granada",232462,"Norte",219760
"345",345,"es1560a","o3","hour8","ug.m-3","2001-01-01 00:00:00","2011-12-31 23:00:00",93754,"Granada",232462,"Norte",219760
"346",346,"es1560a","no2","day","ug.m-3","2001-01-01 00:00:00","2012-12-31 00:00:00",4153,"Granada",232462,"Norte",219760
"347",347,"es1560a","no2","hour","ug.m-3","2001-01-01 00:00:00","2012-12-31 22:00:00",98268,"Granada",232462,"Norte",219760
"348",348,"es1560a","no","day","ug.m-3","2001-01-01 00:00:00","2012-12-31 00:00:00",4153,"Granada",232462,"Norte",219760
"349",349,"es1560a","no","hour","ug.m-3","2001-01-01 00:00:00","2012-12-31 22:00:00",98284,"Granada",232462,"Norte",219760
"460",460,"es1673a","no2","day","ug.m-3","2005-01-01 00:00:00","2012-12-31 00:00:00",2743,"Vitoria",251776,"LOS HERRAN",209209
"461",461,"es1673a","no2","hour","ug.m-3","2005-01-01 00:00:00","2012-12-31 23:00:00",65164,"Vitoria",251776,"LOS HERRAN",209209
"462",462,"es1673a","no","day","ug.m-3","2006-01-01 00:00:00","2012-12-31 00:00:00",2381,"Vitoria",251776,"LOS HERRAN",209209
"463",463,"es1673a","no","hour","ug.m-3","2006-01-01 00:00:00","2012-12-31 23:00:00",56504,"Vitoria",251776,"LOS HERRAN",209209
"464",464,"es1673a","no","day","ug.m-3","2005-01-01 00:00:00","2005-12-31 00:00:00",365,"Vitoria",251776,"LOS HERRAN",209209
"465",465,"es1673a","no","hour","ug.m-3","2005-01-01 00:00:00","2005-12-31 23:00:00",8735,"Vitoria",251776,"LOS HERRAN",209209
"101",101,"es1160a","pm10","day","ug.m-3","2005-01-01 00:00:00","2009-12-31 00:00:00",1571,"Burgos",175821,"Burgos 1",199975
"102",102,"es1160a","pm10","hour","ug.m-3","2005-01-01 01:00:00","2009-12-31 23:00:00",36920,"Burgos",175821,"Burgos 1",199975
"103",103,"es1160a","no2","day","ug.m-3","2005-01-01 00:00:00","2009-12-31 00:00:00",1584,"Burgos",175821,"Burgos 1",199975
"104",104,"es1160a","no2","hour","ug.m-3","2005-01-01 00:00:00","2009-12-31 23:00:00",37520,"Burgos",175821,"Burgos 1",199975
"105",105,"es1160a","no","day","ug.m-3","2006-01-01 00:00:00","2009-12-31 00:00:00",1216,"Burgos",175821,"Burgos 1",199975
"106",106,"es1160a","no","hour","ug.m-3","2006-01-01 00:00:00","2009-12-31 23:00:00",28721,"Burgos",175821,"Burgos 1",199975
