"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación tráfico","site_name","latitude","longitude","elevation","country","site_type","site_area","date_start","date_end"
"es0118a",31430,"o3","Ozone (air)","hour","ug.m-3",87158,"Madrid",3266128,"ESCUELAS AGUIRRE","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2020-12-30 06:00:00
"es0118a",31431,"o3","Ozone (air)","hour8","ug.m-3",88185,"Madrid",3266128,"ESCUELAS AGUIRRE","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2020-12-30 06:00:00
"es0118a",31432,"no2","Nitrogen dioxide (air)","day","ug.m-3",1822,"Madrid",3266128,"ESCUELAS AGUIRRE","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2020-12-30 06:00:00
"es0118a",31433,"no2","Nitrogen dioxide (air)","hour","ug.m-3",43411,"Madrid",3266128,"ESCUELAS AGUIRRE","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2020-12-30 06:00:00
"es0118a",31453,"no","Nitrogen monoxide (air)","day","ug.m-3",1457,"Madrid",3266128,"ESCUELAS AGUIRRE","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2020-12-30 06:00:00
"es0118a",31454,"no","Nitrogen monoxide (air)","hour","ug.m-3",34687,"Madrid",3266128,"ESCUELAS AGUIRRE","ESCUELAS AGUIRRE",40.42166666,-3.68222222,672,"spain","traffic","urban",2002-11-19,2020-12-30 06:00:00
"es0120a",31482,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",365,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31483,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",8713,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31484,"o3","Ozone (air)","day","ug.m-3",2919,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31485,"o3","Ozone (air)","dymax","ug.m-3",2919,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31486,"o3","Ozone (air)","hour","ug.m-3",69690,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31487,"o3","Ozone (air)","hour8","ug.m-3",69959,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31488,"no2","Nitrogen dioxide (air)","day","ug.m-3",1826,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31489,"no2","Nitrogen dioxide (air)","hour","ug.m-3",43699,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31504,"no","Nitrogen monoxide (air)","day","ug.m-3",1461,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0120a",31505,"no","Nitrogen monoxide (air)","hour","ug.m-3",34948,"Madrid",3266129,"RAMÓN Y CAJAL","RAMÓN Y CAJAL",40.45166666,-3.67722222,708,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0817a",32726,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",2694,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32727,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",63726,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32728,"o3","Ozone (air)","day","ug.m-3",1918,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32729,"o3","Ozone (air)","dymax","ug.m-3",1918,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32730,"o3","Ozone (air)","hour","ug.m-3",45191,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32731,"o3","Ozone (air)","hour8","ug.m-3",45706,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32732,"no2","Nitrogen dioxide (air)","day","ug.m-3",5606,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32733,"no2","Nitrogen dioxide (air)","hour","ug.m-3",131561,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32747,"no","Nitrogen monoxide (air)","day","ug.m-3",4534,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0817a",32748,"no","Nitrogen monoxide (air)","hour","ug.m-3",106439,"Sevilla",688593,"LA RANILLA","LA RANILLA",37.38425,-5.95962,29,"spain","traffic","urban",1997-01-01,2021-01-16 00:00:00
"es0890a",32960,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1466,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32961,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",10783,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32963,"o3","Ozone (air)","day","ug.m-3",3958,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32964,"o3","Ozone (air)","dymax","ug.m-3",3955,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32965,"o3","Ozone (air)","hour","ug.m-3",93604,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32966,"o3","Ozone (air)","hour8","ug.m-3",94540,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32967,"no2","Nitrogen dioxide (air)","day","ug.m-3",2861,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32968,"no2","Nitrogen dioxide (air)","hour","ug.m-3",67473,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32982,"no","Nitrogen monoxide (air)","day","ug.m-3",2862,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es0890a",32983,"no","Nitrogen monoxide (air)","hour","ug.m-3",67469,"Sevilla",688592,"Torneo","TORNEO",37.39452,-6.0031,17,"spain","traffic","urban",2002-01-01,2021-01-16 00:00:00
"es1018a",33336,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1985,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1018a",33337,"o3","Ozone (air)","day","ug.m-3",3768,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1018a",33338,"o3","Ozone (air)","dymax","ug.m-3",3768,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1018a",33339,"o3","Ozone (air)","hour","ug.m-3",88979,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1018a",33340,"o3","Ozone (air)","hour8","ug.m-3",89889,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1018a",33341,"no2","Nitrogen dioxide (air)","day","ug.m-3",3633,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1018a",33342,"no2","Nitrogen dioxide (air)","hour","ug.m-3",84971,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
"es1018a",33351,"no","Nitrogen monoxide (air)","day","ug.m-3",3275,"Tarrasa",220556,"Terrassa (Pare Alegre)","Terrassa (Pare Alegre)",41.556115398,2.007401267,261,"spain","traffic","urban",1999-01-01,2021-01-16 01:00:00
