fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,1111,SANTANDER,CANTABRIA,52,8.1,0.0,5.5,07:30,10.7,10:05,16,1.9,4.7,-2,7.2,1026.0,0.0,1022.4,24.0,es1580a
2017-01-01,1111,SANTANDER,CANTABRIA,52,9.2,0.0,5.5,06:20,12.8,13:00,20,2.5,6.1,07:28,7.2,1022.4,0.0,1011.0,24.0,es1580a
2017-01-02,1111,SANTANDER,CANTABRIA,52,10.2,0.0,6.5,02:00,14.0,-2,18,4.7,10.0,06:35,5.9,1015.0,24.0,1010.2,6.0,es1580a
2017-01-03,1111,SANTANDER,CANTABRIA,52,8.4,0.0,6.3,07:55,10.5,12:15,9,6.1,12.2,02:41,7.3,1020.3,24.0,1014.7,0.0,es1580a
2017-01-04,1111,SANTANDER,CANTABRIA,52,8.2,0.0,5.6,04:00,10.7,13:10,9,3.3,7.2,14:07,2.5,1022.2,24.0,1020.3,0.0,es1580a
2017-01-05,1111,SANTANDER,CANTABRIA,52,7.8,0.0,5.3,07:00,10.4,13:10,9,7.2,12.8,12:30,8.8,1024.5,24.0,1022.2,0.0,es1580a
2017-01-06,1111,SANTANDER,CANTABRIA,52,6.6,0.0,4.2,-2,9.0,12:05,9,7.2,14.2,05:20,,1025.8,24.0,1024.3,6.0,es1580a
2017-01-07,1111,SANTANDER,CANTABRIA,52,6.6,0.0,2.9,05:00,10.4,13:00,10,5.0,8.9,17:35,8.3,1026.6,12.0,1025.1,16.0,es1580a
2017-01-08,1111,SANTANDER,CANTABRIA,52,7.8,0.0,4.0,07:00,11.5,13:20,10,5.0,12.2,15:50,8.6,1027.2,-2.0,1025.4,6.0,es1580a
2017-01-09,1111,SANTANDER,CANTABRIA,52,10.2,9.8,6.7,08:10,13.6,13:30,6,1.9,6.4,14:35,8.0,1026.0,0.0,1018.0,24.0,es1580a
2017-01-10,1111,SANTANDER,CANTABRIA,52,10.9,11.1,9.5,00:30,12.3,07:00,33,8.3,18.6,12:43,0.0,1018.0,0.0,1013.7,6.0,es1580a
2017-01-11,1111,SANTANDER,CANTABRIA,52,12.1,0.2,11.2,-2,13.0,-2,29,7.8,15.0,03:05,0.0,1019.9,24.0,1016.7,0.0,es1580a
2017-01-12,1111,SANTANDER,CANTABRIA,52,11.7,2.7,10.0,-2,13.4,18:30,31,5.0,20.0,23:35,0.3,1019.9,0.0,1012.4,18.0,es1580a
2017-01-13,1111,SANTANDER,CANTABRIA,52,8.8,3.1,6.8,07:50,10.7,13:00,33,9.7,22.5,05:40,4.5,1020.0,24.0,1014.5,0.0,es1580a
2017-01-14,1111,SANTANDER,CANTABRIA,52,8.6,7.9,6.5,04:15,10.6,21:30,34,7.8,20.8,20:15,2.4,1023.8,-2.0,1020.0,0.0,es1580a
2017-01-15,1111,SANTANDER,CANTABRIA,52,10.0,3.8,8.6,-2,11.4,-2,33,7.5,15.3,00:05,0.1,1024.0,-2.0,1023.8,0.0,es1580a
2017-01-16,1111,SANTANDER,CANTABRIA,52,11.0,8.5,10.0,03:00,12.1,13:00,32,7.5,18.1,07:26,0.1,1024.0,0.0,1019.6,24.0,es1580a
2017-01-17,1111,SANTANDER,CANTABRIA,52,9.0,0.0,6.5,18:15,11.4,00:10,36,6.1,13.9,01:05,4.8,1022.8,-2.0,1018.0,2.0,es1580a
2017-01-18,1111,SANTANDER,CANTABRIA,52,5.6,0.0,4.5,08:00,6.8,00:00,3,5.8,12.5,00:35,0.0,1021.9,0.0,1019.8,14.0,es1580a
2017-01-19,1111,SANTANDER,CANTABRIA,52,5.4,0.0,2.9,23:59,8.0,13:15,9,3.3,9.4,18:15,3.3,1019.9,-2.0,1018.0,-2.0,es1580a
2017-01-20,1111,SANTANDER,CANTABRIA,52,5.4,0.0,2.2,08:00,8.6,-2,9,5.6,10.8,15:50,8.5,1018.0,0.0,1015.4,-2.0,es1580a
2017-01-21,1111,SANTANDER,CANTABRIA,52,7.6,0.0,4.4,00:00,10.7,15:00,20,1.7,5.6,07:49,5.1,1015.4,0.0,1014.5,-2.0,es1580a
2017-01-22,1111,SANTANDER,CANTABRIA,52,9.0,0.0,6.8,00:15,11.2,12:50,21,2.5,5.3,07:10,4.2,1016.7,24.0,1014.6,6.0,es1580a
2017-01-23,1111,SANTANDER,CANTABRIA,52,9.0,0.0,7.0,07:00,11.0,12:55,26,3.9,8.9,11:29,6.1,1019.6,24.0,1015.8,2.0,es1580a
2017-01-24,1111,SANTANDER,CANTABRIA,52,8.2,0.0,5.4,23:59,11.1,14:00,10,3.3,8.1,19:22,8.9,1021.1,13.0,1019.6,-2.0,es1580a
2017-01-25,1111,SANTANDER,CANTABRIA,52,6.7,0.0,3.6,04:00,9.8,13:00,8,5.8,11.1,13:35,9.0,1019.6,0.0,1010.6,24.0,es1580a
2017-01-26,1111,SANTANDER,CANTABRIA,52,7.6,0.0,1.3,06:20,14.0,14:00,19,6.7,18.3,22:10,3.2,1010.6,0.0,998.9,18.0,es1580a
2017-01-27,1111,SANTANDER,CANTABRIA,52,11.0,9.0,8.3,19:05,13.6,14:15,26,5.8,16.9,19:35,0.6,1007.7,24.0,997.3,9.0,es1580a
2017-01-28,1111,SANTANDER,CANTABRIA,52,10.4,0.0,7.9,-2,13.0,10:45,29,3.9,12.2,13:06,5.1,1016.7,19.0,1007.7,0.0,es1580a
2017-01-29,1111,SANTANDER,CANTABRIA,52,13.1,0.0,9.0,01:45,17.2,15:15,19,3.9,12.5,11:25,2.6,1015.1,0.0,1009.4,15.0,es1580a
2017-01-30,1111,SANTANDER,CANTABRIA,52,15.2,0.0,11.5,05:20,18.8,-2,20,3.6,13.6,20:56,0.2,1012.9,0.0,1005.5,24.0,es1580a
2017-01-31,1111,SANTANDER,CANTABRIA,52,16.2,0.0,11.7,23:00,20.6,13:15,20,3.9,12.8,00:02,6.3,1006.1,24.0,1004.7,7.0,es1580a
2017-02-01,1111,SANTANDER,CANTABRIA,52,15.4,0.3,11.1,-2,19.7,13:15,20,3.6,16.9,23:45,7.1,1006.1,-2.0,999.2,24.0,es1580a
2017-02-02,1111,SANTANDER,CANTABRIA,52,13.3,6.0,9.0,17:50,17.6,09:40,20,5.6,26.1,07:12,2.7,1002.3,24.0,993.7,7.0,es1580a
2017-02-03,1111,SANTANDER,CANTABRIA,52,13.8,5.5,10.8,07:50,16.8,22:00,22,4.4,20.0,06:38,5.1,1002.3,0.0,992.3,23.0,es1580a
2017-02-04,1111,SANTANDER,CANTABRIA,52,11.9,11.9,9.4,18:00,14.4,20:50,31,5.3,26.7,03:10,0.0,1003.8,13.0,992.8,0.0,es1580a
2017-02-05,1111,SANTANDER,CANTABRIA,52,10.4,8.8,6.7,14:10,14.0,00:50,31,15.3,30.0,14:01,1.1,1018.5,24.0,995.0,2.0,es1580a
2017-02-06,1111,SANTANDER,CANTABRIA,52,12.2,4.0,8.0,06:50,16.5,17:50,30,3.3,16.1,00:13,2.2,1018.0,0.0,1013.7,24.0,es1580a
2017-02-07,1111,SANTANDER,CANTABRIA,52,11.5,2.3,8.5,21:30,14.5,00:30,32,7.5,22.5,21:03,2.9,1019.3,24.0,1014.0,0.0,es1580a
2017-02-08,1111,SANTANDER,CANTABRIA,52,9.3,1.0,7.0,23:50,11.6,13:50,31,5.0,22.8,01:25,4.4,1023.4,13.0,1019.2,0.0,es1580a
2017-02-09,1111,SANTANDER,CANTABRIA,52,9.1,0.0,5.4,07:00,12.8,12:30,9,4.4,8.9,15:14,5.2,1021.1,0.0,1002.1,24.0,es1580a
2017-02-10,1111,SANTANDER,CANTABRIA,52,12.0,0.0,8.5,00:15,15.5,15:15,22,4.2,10.3,11:34,3.3,1007.7,24.0,1000.6,3.0,es1580a
2017-02-11,1111,SANTANDER,CANTABRIA,52,9.2,4.9,7.6,18:20,10.8,06:10,9,8.3,13.6,-2,0.0,1009.3,12.0,1003.5,24.0,es1580a
2017-02-12,1111,SANTANDER,CANTABRIA,52,11.8,0.0,8.2,-2,15.3,-2,9,6.7,14.4,22:12,0.7,1004.1,0.0,991.9,24.0,es1580a
2017-02-13,1111,SANTANDER,CANTABRIA,52,14.0,0.0,10.0,23:00,18.0,11:45,12,6.1,16.4,05:35,2.8,1007.3,24.0,990.2,-2.0,es1580a
2017-02-14,1111,SANTANDER,CANTABRIA,52,13.5,0.0,9.9,00:00,17.1,14:10,19,6.1,16.4,13:38,4.8,1016.4,24.0,1007.3,0.0,es1580a
2017-02-15,1111,SANTANDER,CANTABRIA,52,13.9,0.0,11.6,08:00,16.2,13:10,20,3.3,11.9,-2,7.8,1023.5,24.0,1016.4,0.0,es1580a
2017-02-16,1111,SANTANDER,CANTABRIA,52,13.6,0.0,10.9,-2,16.4,12:45,19,1.1,3.9,04:09,9.4,1023.5,0.0,1021.8,15.0,es1580a
2017-02-17,1111,SANTANDER,CANTABRIA,52,11.2,0.0,8.5,07:40,14.0,15:55,7,1.4,4.4,16:22,9.7,1022.2,0.0,1017.4,24.0,es1580a
2017-02-18,1111,SANTANDER,CANTABRIA,52,11.4,0.0,9.3,02:00,13.4,12:10,24,3.1,5.8,03:58,1.7,1017.6,24.0,1015.3,-2.0,es1580a
2017-02-19,1111,SANTANDER,CANTABRIA,52,11.6,0.0,9.5,06:30,13.7,14:30,2,2.2,5.6,12:55,9.1,1022.9,24.0,1017.6,0.0,es1580a
2017-02-20,1111,SANTANDER,CANTABRIA,52,10.9,0.0,8.5,06:50,13.3,13:10,35,1.9,5.0,13:30,7.8,1022.9,0.0,1020.7,17.0,es1580a
2017-02-21,1111,SANTANDER,CANTABRIA,52,12.2,0.0,9.8,23:59,14.5,14:00,10,2.5,6.1,18:59,3.7,1022.3,0.0,1018.0,18.0,es1580a
2017-02-22,1111,SANTANDER,CANTABRIA,52,10.2,0.0,7.3,06:30,13.0,12:30,8,4.2,9.2,12:26,8.8,1018.6,0.0,1011.4,24.0,es1580a
2017-02-23,1111,SANTANDER,CANTABRIA,52,10.8,2.5,9.6,07:00,12.0,13:05,27,3.6,8.3,17:43,0.0,1011.4,-2.0,1010.3,5.0,es1580a
2017-02-24,1111,SANTANDER,CANTABRIA,52,9.4,1.2,7.0,23:59,11.9,15:15,1,3.3,10.6,01:45,1.5,1016.5,24.0,1011.4,0.0,es1580a
2017-02-25,1111,SANTANDER,CANTABRIA,52,10.4,0.0,6.1,01:30,14.8,14:20,12,3.3,8.9,07:40,10.3,1016.5,0.0,1011.3,15.0,es1580a
2017-02-26,1111,SANTANDER,CANTABRIA,52,12.6,0.0,9.7,07:10,15.5,13:05,20,1.9,5.3,-2,3.0,1015.3,7.0,1009.0,24.0,es1580a
2017-02-27,1111,SANTANDER,CANTABRIA,52,14.4,0.2,9.0,04:45,19.9,12:45,30,4.7,13.9,21:30,8.3,1009.0,0.0,1001.7,12.0,es1580a
2017-02-28,1111,SANTANDER,CANTABRIA,52,10.5,4.8,9.0,23:20,12.0,15:55,30,7.8,22.5,10:40,0.4,1010.7,24.0,999.5,-2.0,es1580a
2017-03-01,1111,SANTANDER,CANTABRIA,52,13.2,0.0,9.1,00:00,17.2,10:30,20,2.5,7.8,04:32,9.9,1012.2,24.0,1009.0,7.0,es1580a
2017-03-02,1111,SANTANDER,CANTABRIA,52,13.7,0.0,11.4,07:00,16.0,23:40,20,3.6,11.1,22:25,3.8,1012.2,0.0,1002.3,24.0,es1580a
2017-03-03,1111,SANTANDER,CANTABRIA,52,13.2,13.3,8.0,18:45,18.3,11:15,30,6.1,19.2,19:36,2.9,1002.3,0.0,990.6,11.0,es1580a
2017-03-04,1111,SANTANDER,CANTABRIA,52,9.0,0.6,5.9,08:20,12.1,13:30,31,5.3,23.9,08:23,6.0,1002.3,22.0,994.1,5.0,es1580a
2017-03-05,1111,SANTANDER,CANTABRIA,52,12.6,1.4,9.7,00:00,15.6,09:45,24,4.4,15.6,11:32,0.6,1010.1,-2.0,1001.8,6.0,es1580a
2017-03-06,1111,SANTANDER,CANTABRIA,52,13.1,0.0,10.8,-2,15.4,04:30,31,7.8,19.7,08:12,2.8,1021.2,24.0,1007.9,4.0,es1580a
2017-03-07,1111,SANTANDER,CANTABRIA,52,12.8,0.0,10.7,-2,14.9,10:30,29,5.0,11.7,14:02,0.4,1021.5,24.0,1019.2,-2.0,es1580a
2017-03-08,1111,SANTANDER,CANTABRIA,52,14.0,0.0,12.2,07:00,15.7,10:30,9,1.9,5.3,22:15,1.9,1021.8,13.0,1020.2,6.0,es1580a
2017-03-09,1111,SANTANDER,CANTABRIA,52,13.1,0.0,11.2,-2,15.0,10:20,7,6.1,11.9,13:41,8.0,1021.2,0.0,1018.3,24.0,es1580a
2017-03-10,1111,SANTANDER,CANTABRIA,52,12.5,0.0,8.6,05:45,16.4,11:15,9,4.4,9.2,16:10,10.3,1018.3,0.0,1010.1,24.0,es1580a
2017-03-11,1111,SANTANDER,CANTABRIA,52,14.8,0.0,12.0,02:20,17.7,08:10,28,2.8,15.8,23:55,4.7,1013.7,24.0,1007.7,10.0,es1580a
2017-03-12,1111,SANTANDER,CANTABRIA,52,11.0,12.5,9.0,-2,13.0,11:30,31,7.8,23.3,14:44,0.9,1019.0,24.0,1011.9,9.0,es1580a
2017-03-13,1111,SANTANDER,CANTABRIA,52,10.8,0.5,9.7,02:00,11.8,-2,34,6.1,18.6,01:35,0.0,1026.9,24.0,1019.0,0.0,es1580a
2017-03-14,1111,SANTANDER,CANTABRIA,52,12.4,0.0,10.3,23:59,14.5,12:10,34,3.3,6.7,02:34,6.1,1027.4,13.0,1017.1,-2.0,es1580a
2017-03-15,1111,SANTANDER,CANTABRIA,52,11.8,0.1,9.3,07:00,14.4,13:30,8,4.7,9.2,16:17,9.4,1026.5,0.0,1016.8,24.0,es1580a
2017-03-16,1111,SANTANDER,CANTABRIA,52,11.0,0.0,8.5,07:15,13.5,14:15,27,1.7,8.6,23:50,8.7,1016.8,0.0,1011.7,-2.0,es1580a
2017-03-17,1111,SANTANDER,CANTABRIA,52,12.1,0.0,11.2,-2,13.0,-2,26,3.1,11.1,01:51,0.0,1020.7,21.0,1014.7,0.0,es1580a
2017-03-18,1111,SANTANDER,CANTABRIA,52,11.2,0.0,8.8,23:59,13.5,12:05,5,3.9,6.7,12:55,2.2,1019.6,13.0,1017.2,14.0,es1580a
2017-03-19,1111,SANTANDER,CANTABRIA,52,10.8,0.0,8.7,00:00,13.0,12:30,36,1.9,6.1,13:28,2.1,1017.6,0.0,1013.6,24.0,es1580a
2017-03-20,1111,SANTANDER,CANTABRIA,52,11.3,0.8,10.2,05:00,12.4,-2,27,2.5,6.4,13:18,0.0,1013.7,0.0,1010.9,7.0,es1580a
2017-03-21,1111,SANTANDER,CANTABRIA,52,10.2,2.5,8.2,23:59,12.1,04:00,33,5.8,13.9,06:50,0.0,1013.3,12.0,1008.8,24.0,es1580a
2017-03-22,1111,SANTANDER,CANTABRIA,52,7.8,16.5,5.3,23:00,10.2,14:15,29,3.1,13.6,08:34,0.1,1008.9,0.0,1001.1,15.0,es1580a
2017-03-23,1111,SANTANDER,CANTABRIA,52,9.2,0.0,5.0,01:00,13.5,12:15,7,4.2,10.8,14:35,7.9,1005.7,24.0,1001.0,17.0,es1580a
2017-03-24,1111,SANTANDER,CANTABRIA,52,9.6,5.9,5.6,07:00,13.5,11:00,8,5.8,11.1,17:55,10.7,1011.3,22.0,1005.6,0.0,es1580a
2017-03-25,1111,SANTANDER,CANTABRIA,52,8.8,24.0,7.5,13:15,10.2,00:00,26,6.9,15.0,12:10,0.0,1010.2,0.0,1003.3,19.0,es1580a
2017-03-26,1111,SANTANDER,CANTABRIA,52,12.0,0.0,8.0,00:00,16.1,14:35,18,3.1,14.7,03:26,4.4,1006.3,13.0,1004.3,24.0,es1580a
2017-03-27,1111,SANTANDER,CANTABRIA,52,16.0,0.0,12.0,-2,20.1,13:00,20,3.1,13.3,10:04,8.6,1014.3,24.0,1004.1,2.0,es1580a
2017-03-28,1111,SANTANDER,CANTABRIA,52,13.6,0.0,10.5,03:15,16.8,11:30,9,4.2,9.7,15:38,11.3,1018.7,-2.0,1014.3,0.0,es1580a
2017-03-29,1111,SANTANDER,CANTABRIA,52,16.4,0.0,12.8,04:20,20.1,10:20,9,2.8,5.8,16:43,10.7,1018.2,0.0,1014.9,24.0,es1580a
2017-03-30,1111,SANTANDER,CANTABRIA,52,18.9,0.0,14.0,23:45,23.8,-2,24,3.6,15.3,21:45,4.5,1014.9,0.0,1008.3,20.0,es1580a
2017-03-31,1111,SANTANDER,CANTABRIA,52,13.7,1.9,10.7,22:30,16.7,11:00,32,3.3,11.1,22:23,6.3,1012.2,7.0,1010.1,15.0,es1580a
