fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,3175,TORREJÓN DE ARDOZ,MADRID,607,-0.8,0.0,-6.8,07:40,5.3,15:40,23.0,1.7,5.3,11:40,5.6,961.1,10.0,957.8,24.0,es1563a
2017-01-01,3175,TORREJÓN DE ARDOZ,MADRID,607,0.2,0.0,-4.1,01:40,4.4,15:10,99.0,0.8,4.7,-2,0.2,957.8,0.0,950.7,23.0,es1563a
2017-01-02,3175,TORREJÓN DE ARDOZ,MADRID,607,2.8,0.0,-1.5,05:40,7.2,14:50,99.0,2.2,4.7,-2,0.2,952.0,24.0,949.4,5.0,es1563a
2017-01-03,3175,TORREJÓN DE ARDOZ,MADRID,607,5.2,0.0,-0.5,08:00,10.8,15:10,3.0,1.1,5.6,23:40,4.6,955.2,24.0,951.4,1.0,es1563a
2017-01-04,3175,TORREJÓN DE ARDOZ,MADRID,607,4.8,0.0,-1.6,07:10,11.1,13:40,99.0,2.2,5.6,-2,8.1,956.2,11.0,953.2,15.0,es1563a
2017-01-05,3175,TORREJÓN DE ARDOZ,MADRID,607,5.3,0.0,-0.4,23:59,11.0,16:00,3.0,1.1,4.7,-2,4.2,954.7,10.0,952.4,15.0,es1563a
2017-01-06,3175,TORREJÓN DE ARDOZ,MADRID,607,4.2,0.0,-4.3,07:40,12.8,16:10,3.0,2.2,6.1,16:10,9.1,957.3,24.0,954.0,0.0,es1563a
2017-01-07,3175,TORREJÓN DE ARDOZ,MADRID,607,3.8,0.0,-5.3,07:00,13.0,15:00,4.0,0.6,5.6,20:30,9.1,958.7,10.0,956.0,14.0,es1563a
2017-01-08,3175,TORREJÓN DE ARDOZ,MADRID,607,4.2,0.0,-5.5,05:40,13.8,16:00,5.0,1.1,6.1,20:10,9.1,957.7,10.0,954.0,15.0,es1563a
2017-01-09,3175,TORREJÓN DE ARDOZ,MADRID,607,5.4,0.0,-2.8,06:10,13.6,15:20,5.0,1.1,6.7,02:10,9.2,955.8,10.0,951.8,23.0,es1563a
2017-01-10,3175,TORREJÓN DE ARDOZ,MADRID,607,6.3,0.0,0.1,00:30,12.5,14:10,34.0,2.2,16.1,23:59,2.0,951.9,0.0,945.2,14.0,es1563a
2017-01-11,3175,TORREJÓN DE ARDOZ,MADRID,607,10.1,0.0,3.3,23:59,16.9,14:40,34.0,5.3,18.6,00:10,7.7,955.1,24.0,946.7,1.0,es1563a
2017-01-12,3175,TORREJÓN DE ARDOZ,MADRID,607,6.8,0.0,-0.3,07:40,13.8,15:00,23.0,2.2,8.3,14:10,4.8,955.0,2.0,949.0,20.0,es1563a
2017-01-13,3175,TORREJÓN DE ARDOZ,MADRID,607,5.6,0.0,1.1,04:50,10.0,12:00,1.0,5.3,15.6,13:00,8.9,953.5,24.0,948.3,5.0,es1563a
2017-01-14,3175,TORREJÓN DE ARDOZ,MADRID,607,3.2,0.0,-2.1,06:20,8.5,12:40,35.0,4.4,13.9,11:20,9.0,956.5,-2.0,953.2,4.0,es1563a
2017-01-15,3175,TORREJÓN DE ARDOZ,MADRID,607,4.8,0.0,-0.6,00:10,10.3,13:10,36.0,5.3,16.4,-2,6.3,956.7,10.0,954.7,14.0,es1563a
2017-01-16,3175,TORREJÓN DE ARDOZ,MADRID,607,7.6,0.0,3.6,04:50,11.6,12:00,35.0,6.9,19.7,14:30,9.0,954.8,0.0,949.3,24.0,es1563a
2017-01-17,3175,TORREJÓN DE ARDOZ,MADRID,607,4.4,0.0,-1.4,23:10,10.3,12:20,35.0,9.7,23.3,10:20,9.0,949.5,-2.0,947.0,7.0,es1563a
2017-01-18,3175,TORREJÓN DE ARDOZ,MADRID,607,-0.6,0.0,-7.2,05:10,6.0,15:50,36.0,3.3,13.9,00:50,8.9,949.2,9.0,946.0,15.0,es1563a
2017-01-19,3175,TORREJÓN DE ARDOZ,MADRID,607,1.3,0.0,-5.3,03:20,7.9,14:20,6.0,7.8,15.0,14:20,4.7,949.0,3.0,944.7,16.0,es1563a
2017-01-20,3175,TORREJÓN DE ARDOZ,MADRID,607,6.4,0.0,3.4,00:40,9.3,14:20,7.0,7.8,15.0,10:10,2.6,947.0,23.0,944.5,1.0,es1563a
2017-01-21,3175,TORREJÓN DE ARDOZ,MADRID,607,5.4,0.0,-0.6,23:59,11.4,13:10,4.0,3.9,12.5,11:50,8.2,947.7,9.0,945.4,14.0,es1563a
2017-01-22,3175,TORREJÓN DE ARDOZ,MADRID,607,3.4,0.0,-4.1,07:30,10.8,14:10,3.0,2.5,7.8,20:10,5.6,947.3,23.0,943.9,14.0,es1563a
2017-01-23,3175,TORREJÓN DE ARDOZ,MADRID,607,5.6,0.0,-2.2,02:50,13.5,12:10,3.0,3.9,11.4,13:40,8.9,949.9,-2.0,946.3,14.0,es1563a
2017-01-24,3175,TORREJÓN DE ARDOZ,MADRID,607,3.8,0.0,-4.7,07:40,12.4,15:05,2.0,0.6,6.7,20:40,9.4,952.5,10.0,949.5,1.0,es1563a
2017-01-25,3175,TORREJÓN DE ARDOZ,MADRID,607,2.6,0.0,-5.7,07:20,11.0,15:30,22.0,1.9,6.1,-2,9.4,951.5,0.0,945.6,16.0,es1563a
2017-01-26,3175,TORREJÓN DE ARDOZ,MADRID,607,1.6,8.7,-5.9,05:40,9.2,15:00,15.0,1.4,10.8,23:40,1.2,945.9,0.0,939.3,24.0,es1563a
2017-01-27,3175,TORREJÓN DE ARDOZ,MADRID,607,3.8,5.7,1.3,23:30,6.4,-2,12.0,0.6,9.7,00:50,0.0,943.8,24.0,936.3,6.0,es1563a
2017-01-28,3175,TORREJÓN DE ARDOZ,MADRID,607,4.9,0.0,-0.9,07:30,10.7,14:50,29.0,3.9,10.8,13:10,8.2,953.3,24.0,943.8,0.0,es1563a
2017-01-29,3175,TORREJÓN DE ARDOZ,MADRID,607,5.2,0.3,1.8,02:20,8.7,23:59,19.0,0.6,5.3,21:10,0.0,954.4,10.0,952.1,16.0,es1563a
2017-01-30,3175,TORREJÓN DE ARDOZ,MADRID,607,9.4,0.0,7.4,23:40,11.4,15:30,20.0,0.8,6.7,16:10,0.0,952.8,0.0,947.7,24.0,es1563a
2017-01-31,3175,TORREJÓN DE ARDOZ,MADRID,607,9.0,0.0,3.7,23:59,14.4,14:50,6.0,1.7,5.3,14:20,5.0,947.7,0.0,944.4,14.0,es1563a
2017-02-01,3175,TORREJÓN DE ARDOZ,MADRID,607,6.3,7.1,1.7,05:00,10.9,16:00,22.0,0.3,7.8,22:30,0.0,948.0,11.0,945.5,-2.0,es1563a
2017-02-02,3175,TORREJÓN DE ARDOZ,MADRID,607,9.4,2.1,5.7,21:20,13.0,15:40,25.0,4.7,18.6,14:50,2.1,946.6,22.0,939.6,14.0,es1563a
2017-02-03,3175,TORREJÓN DE ARDOZ,MADRID,607,9.4,0.1,6.6,00:00,12.3,12:50,24.0,10.0,18.1,12:40,1.3,946.4,1.0,943.3,7.0,es1563a
2017-02-04,3175,TORREJÓN DE ARDOZ,MADRID,607,11.6,3.7,9.3,05:50,13.8,15:30,23.0,8.6,18.6,23:40,0.0,945.6,11.0,941.9,24.0,es1563a
2017-02-05,3175,TORREJÓN DE ARDOZ,MADRID,607,7.8,0.0,4.6,21:50,11.1,02:50,30.0,8.9,23.6,06:40,8.3,954.2,24.0,939.3,4.0,es1563a
2017-02-06,3175,TORREJÓN DE ARDOZ,MADRID,607,10.4,0.0,5.1,04:20,15.8,16:00,30.0,3.9,12.8,12:20,7.2,954.8,11.0,951.9,16.0,es1563a
2017-02-07,3175,TORREJÓN DE ARDOZ,MADRID,607,8.5,0.4,3.9,05:40,13.1,15:50,26.0,4.4,14.4,16:00,3.3,954.3,0.0,949.5,16.0,es1563a
2017-02-08,3175,TORREJÓN DE ARDOZ,MADRID,607,5.0,0.0,0.7,23:30,9.2,15:20,35.0,6.4,16.1,-2,9.4,956.4,11.0,952.4,0.0,es1563a
2017-02-09,3175,TORREJÓN DE ARDOZ,MADRID,607,4.4,0.0,-2.1,07:30,10.9,14:40,2.0,1.1,6.1,22:50,4.2,954.0,0.0,941.3,24.0,es1563a
2017-02-10,3175,TORREJÓN DE ARDOZ,MADRID,607,2.1,2.5,-2.1,04:50,6.3,14:30,8.0,2.5,6.1,18:20,0.0,942.3,10.0,939.4,4.0,es1563a
2017-02-11,3175,TORREJÓN DE ARDOZ,MADRID,607,6.6,5.5,4.4,-2,8.9,14:10,12.0,3.3,13.3,01:30,0.0,941.8,0.0,934.4,23.0,es1563a
2017-02-12,3175,TORREJÓN DE ARDOZ,MADRID,607,9.8,7.8,6.7,07:10,12.9,18:00,14.0,5.0,16.9,22:50,0.0,934.5,0.0,928.5,24.0,es1563a
2017-02-13,3175,TORREJÓN DE ARDOZ,MADRID,607,8.6,4.4,4.4,23:10,12.7,01:10,15.0,6.1,15.6,-2,5.1,946.1,24.0,928.5,0.0,es1563a
2017-02-14,3175,TORREJÓN DE ARDOZ,MADRID,607,7.0,0.0,0.8,06:00,13.1,15:00,2.0,0.6,6.1,05:00,3.5,955.8,24.0,946.0,0.0,es1563a
2017-02-15,3175,TORREJÓN DE ARDOZ,MADRID,607,8.8,0.0,1.5,05:30,16.2,16:00,35.0,1.1,5.3,13:40,9.0,959.5,9.0,955.8,0.0,es1563a
2017-02-16,3175,TORREJÓN DE ARDOZ,MADRID,607,7.4,0.0,2.4,05:40,12.3,16:00,3.0,1.7,6.1,02:30,1.8,960.2,11.0,957.3,16.0,es1563a
2017-02-17,3175,TORREJÓN DE ARDOZ,MADRID,607,8.1,0.0,-0.2,07:10,16.4,17:30,3.0,0.3,5.3,00:10,9.8,958.1,0.0,952.8,17.0,es1563a
2017-02-18,3175,TORREJÓN DE ARDOZ,MADRID,607,7.4,0.0,-0.2,06:20,15.1,16:20,3.0,0.8,5.6,22:40,5.8,953.1,0.0,946.2,18.0,es1563a
2017-02-19,3175,TORREJÓN DE ARDOZ,MADRID,607,9.6,0.0,3.8,23:59,15.4,16:40,5.0,3.9,10.8,09:10,9.2,954.9,23.0,947.3,0.0,es1563a
