fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,3200,GETAFE,MADRID,620,0.2,0.0,-3.6,05:00,4.0,16:30,99,0.3,3.6,-2,1.9,960.3,10,956.9,24.0,es2028a
2017-01-01,3200,GETAFE,MADRID,620,0.0,0.0,-4.0,04:10,4.0,15:30,17,0.8,3.1,14:10,0.6,956.9,0,948.8,24.0,es2028a
2017-01-02,3200,GETAFE,MADRID,620,2.8,0.0,-1.0,05:00,6.6,16:00,4,2.2,5.3,11:50,0.5,951.1,24,948.5,5.0,es2028a
2017-01-03,3200,GETAFE,MADRID,620,6.1,0.0,1.4,07:10,10.8,14:40,33,0.8,3.6,05:20,3.5,954.2,23,950.8,1.0,es2028a
2017-01-04,3200,GETAFE,MADRID,620,6.7,0.0,0.8,06:30,12.6,15:45,23,2.2,6.1,16:20,4.9,955.8,11,952.5,15.0,es2028a
2017-01-05,3200,GETAFE,MADRID,620,7.1,0.0,2.4,23:00,11.8,16:00,24,1.1,3.6,12:30,4.6,953.9,11,951.4,16.0,es2028a
2017-01-06,3200,GETAFE,MADRID,620,4.6,0.0,-2.4,07:00,11.6,14:30,6,0.6,4.2,11:40,7.8,956.4,23,953.2,0.0,es2028a
2017-01-07,3200,GETAFE,MADRID,620,5.0,0.0,-2.0,07:40,12.0,15:30,5,0.8,2.5,10:20,9.0,957.9,11,955.1,-2.0,es2028a
2017-01-08,3200,GETAFE,MADRID,620,5.5,0.0,-2.6,07:20,13.6,15:15,25,0.0,3.6,16:00,7.7,957.0,10,953.4,-2.0,es2028a
2017-01-09,3200,GETAFE,MADRID,620,6.1,0.0,-0.4,04:20,12.6,15:00,23,1.1,4.2,17:10,8.8,954.9,-2,951.1,24.0,es2028a
2017-01-10,3200,GETAFE,MADRID,620,8.4,0.0,2.8,-2,14.0,13:45,29,2.8,11.4,12:10,2.5,951.1,0,944.8,14.0,es2028a
2017-01-11,3200,GETAFE,MADRID,620,10.8,0.0,3.6,04:00,18.0,15:30,1,1.9,11.9,13:20,7.6,954.2,24,946.5,1.0,es2028a
2017-01-12,3200,GETAFE,MADRID,620,7.8,0.0,2.0,06:30,13.6,14:15,24,3.6,11.4,16:00,6.2,954.0,-2,948.7,20.0,es2028a
2017-01-13,3200,GETAFE,MADRID,620,7.4,0.0,3.0,23:00,11.8,14:50,25,5.6,13.9,02:50,7.3,952.4,24,947.8,5.0,es2028a
2017-01-14,3200,GETAFE,MADRID,620,3.9,0.0,-2.4,08:00,10.2,13:50,2,2.2,10.3,15:10,8.4,956.0,23,952.4,0.0,es2028a
2017-01-15,3200,GETAFE,MADRID,620,5.3,0.0,-0.8,00:00,11.4,14:00,34,3.6,10.3,14:10,6.2,956.1,11,954.0,14.0,es2028a
2017-01-16,3200,GETAFE,MADRID,620,6.7,0.0,-0.4,03:20,13.8,13:45,2,2.2,11.9,15:20,8.9,954.1,0,949.2,24.0,es2028a
2017-01-17,3200,GETAFE,MADRID,620,6.8,0.0,0.6,23:59,13.0,11:30,3,6.1,12.8,13:50,9.2,949.2,0,946.0,14.0,es2028a
2017-01-18,3200,GETAFE,MADRID,620,0.8,0.0,-4.0,06:30,5.6,15:30,36,3.3,9.7,02:30,9.3,948.4,10,945.4,-2.0,es2028a
