fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,sol,siteAQ
2016-12-31,1495,VIGO AEROPUERTO,PONTEVEDRA,261,8.0,0.0,3.0,06:53,13.0,15:43,23.0,2.5,7.2,08:50,1000.4,0.0,997.7,24.0,,es1137a
2017-01-01,1495,VIGO AEROPUERTO,PONTEVEDRA,261,5.2,3.6,1.6,08:20,8.7,-2,20.0,2.8,8.9,23:39,997.7,0.0,984.4,24.0,,es1137a
2017-01-02,1495,VIGO AEROPUERTO,PONTEVEDRA,261,9.8,0.9,7.0,00:52,12.6,12:46,10.0,4.2,16.1,14:02,987.2,-2.0,981.6,5.0,,es1137a
2017-01-03,1495,VIGO AEROPUERTO,PONTEVEDRA,261,10.6,1.0,8.8,08:30,12.5,-2,18.0,2.8,7.2,00:24,995.6,-2.0,986.8,0.0,,es1137a
2017-01-04,1495,VIGO AEROPUERTO,PONTEVEDRA,261,11.5,0.6,9.2,04:30,13.8,13:40,20.0,2.5,6.1,,997.3,11.0,995.0,2.0,,es1137a
2017-01-05,1495,VIGO AEROPUERTO,PONTEVEDRA,261,13.4,0.0,8.7,23:55,18.1,-2,18.0,0.8,4.7,17:19,997.0,-2.0,995.3,15.0,,es1137a
2017-01-06,1495,VIGO AEROPUERTO,PONTEVEDRA,261,8.8,0.0,4.1,07:30,13.4,14:57,99.0,1.9,6.1,-2,998.1,-2.0,995.9,4.0,,es1137a
2017-01-07,1495,VIGO AEROPUERTO,PONTEVEDRA,261,8.6,0.0,2.6,07:27,14.5,15:48,21.0,1.9,6.7,03:23,999.9,-2.0,997.5,1.0,,es1137a
2017-01-08,1495,VIGO AEROPUERTO,PONTEVEDRA,261,7.6,0.0,1.6,08:16,13.7,14:43,22.0,2.5,5.8,10:58,1000.6,-2.0,998.4,17.0,,es1137a
2017-01-09,1495,VIGO AEROPUERTO,PONTEVEDRA,261,8.3,0.1,2.9,-2,13.7,13:20,36.0,1.9,7.2,16:58,999.6,-2.0,996.6,20.0,,es1137a
2017-01-10,1495,VIGO AEROPUERTO,PONTEVEDRA,261,8.8,0.0,5.7,00:00,11.8,14:14,99.0,2.8,8.9,-2,997.3,-2.0,994.4,14.0,,es1137a
