fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,2870,SALAMANCA,SALAMANCA,775,3.6,0.0,-5.0,06:20,12.3,14:00,7.0,0.6,3.1,15:50,942.8,0.0,939.9,14.0,es1618a
2017-01-01,2870,SALAMANCA,SALAMANCA,775,2.8,0.0,-5.1,06:40,10.6,15:00,99.0,0.8,5.8,14:30,940.1,0.0,931.1,24.0,es1618a
2017-01-02,2870,SALAMANCA,SALAMANCA,775,4.6,0.0,0.1,08:50,9.1,12:20,10.0,1.7,6.1,12:10,933.9,24.0,930.1,3.0,es1618a
2017-01-03,2870,SALAMANCA,SALAMANCA,775,8.2,0.0,3.6,-2,12.8,15:00,19.0,0.8,5.8,15:40,939.3,24.0,933.7,1.0,es1618a
2017-01-04,2870,SALAMANCA,SALAMANCA,775,10.0,0.0,4.8,05:30,15.2,13:40,28.0,0.6,5.0,16:10,940.2,10.0,937.8,15.0,es1618a
2017-01-05,2870,SALAMANCA,SALAMANCA,775,7.8,0.0,3.0,23:59,12.7,14:10,6.0,1.9,7.2,12:20,939.5,24.0,937.4,14.0,es1618a
2017-01-06,2870,SALAMANCA,SALAMANCA,775,4.5,0.0,-1.8,23:59,10.8,15:00,99.0,1.1,5.3,-2,941.1,-2.0,938.6,15.0,es1618a
2017-01-07,2870,SALAMANCA,SALAMANCA,775,3.3,0.0,-4.4,-2,11.0,13:40,3.0,1.4,4.2,16:20,942.4,11.0,940.1,15.0,es1618a
2017-01-08,2870,SALAMANCA,SALAMANCA,775,2.8,0.0,-5.2,06:20,10.9,15:20,6.0,1.1,4.4,15:30,942.4,11.0,939.9,14.0,es1618a
2017-01-09,2870,SALAMANCA,SALAMANCA,775,4.0,0.0,-3.0,05:50,10.9,15:00,11.0,0.3,4.7,11:00,941.8,10.0,937.6,24.0,es1618a
2017-01-10,2870,SALAMANCA,SALAMANCA,775,6.0,0.0,0.3,00:20,11.8,15:20,99.0,2.5,6.9,-2,937.6,0.0,931.7,-2.0,es1618a
2017-01-11,2870,SALAMANCA,SALAMANCA,775,8.4,0.0,1.4,04:00,15.3,13:30,27.0,0.6,3.9,12:20,938.8,22.0,934.3,-2.0,es1618a
