fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,sol,siteAQ
2016-12-31,5973,CÁDIZ,CADIZ,2,14.2,0.0,11.4,23:20,16.9,13:00,10.0,5.6,11.4,11:20,1029.6,0.0,1026.9,15.0,,es1479a
2017-01-01,5973,CÁDIZ,CADIZ,2,13.5,0.0,9.5,08:40,17.5,14:40,18.0,2.8,6.7,-2,1027.8,0.0,1020.3,24.0,,es1479a
2017-01-02,5973,CÁDIZ,CADIZ,2,14.1,0.0,11.1,00:40,17.1,13:50,13.0,7.5,12.2,11:20,1021.3,23.0,1017.0,6.0,,es1479a
2017-01-03,5973,CÁDIZ,CADIZ,2,15.2,0.0,11.2,23:10,19.1,13:10,12.0,2.5,9.2,00:00,1027.0,24.0,1021.1,2.0,,es1479a
2017-01-04,5973,CÁDIZ,CADIZ,2,14.4,0.0,10.4,07:00,18.5,14:50,29.0,1.4,4.7,16:30,1028.0,11.0,1025.2,15.0,,es1479a
2017-01-05,5973,CÁDIZ,CADIZ,2,13.2,0.0,9.4,07:00,16.9,14:40,1.0,3.3,7.5,23:59,1025.8,0.0,1022.2,14.0,,es1479a
2017-01-06,5973,CÁDIZ,CADIZ,2,13.6,0.0,9.3,08:30,17.8,14:40,12.0,6.1,12.2,12:50,1025.9,23.0,1022.4,1.0,,es1479a
2017-01-07,5973,CÁDIZ,CADIZ,2,15.4,0.0,12.8,23:30,17.9,13:20,11.0,4.7,10.8,02:30,1028.4,10.0,1025.4,2.0,,es1479a
2017-01-08,5973,CÁDIZ,CADIZ,2,13.8,0.0,9.4,07:00,18.2,14:20,10.0,2.5,7.5,00:20,1027.6,10.0,1024.9,14.0,,es1479a
2017-01-09,5973,CÁDIZ,CADIZ,2,12.8,0.0,7.9,07:00,17.6,16:10,36.0,4.2,7.5,12:10,1026.5,10.0,1023.5,14.0,,es1479a
2017-01-10,5973,CÁDIZ,CADIZ,2,11.4,0.0,7.7,08:00,15.1,17:00,30.0,3.1,9.7,16:10,1024.2,0.0,1019.0,17.0,,es1479a
2017-01-11,5973,CÁDIZ,CADIZ,2,14.2,0.0,10.2,07:30,18.1,16:00,1.0,3.6,8.9,14:50,1026.3,24.0,1019.4,2.0,,es1479a
2017-01-12,5973,CÁDIZ,CADIZ,2,15.2,0.0,11.4,08:10,19.0,12:50,10.0,2.8,7.5,00:40,1027.7,10.0,1023.6,17.0,,es1479a
2017-01-13,5973,CÁDIZ,CADIZ,2,13.0,0.0,11.4,23:59,14.6,16:50,30.0,4.2,10.3,13:50,1025.7,11.0,1022.7,5.0,,es1479a
2017-01-14,5973,CÁDIZ,CADIZ,2,11.0,0.0,7.2,08:10,14.8,15:00,3.0,5.8,12.8,14:00,1027.1,24.0,1023.9,-2.0,,es1479a
2017-01-15,5973,CÁDIZ,CADIZ,2,10.8,0.0,6.8,08:20,14.8,14:00,2.0,5.3,10.3,13:20,1029.1,11.0,1026.3,14.0,,es1479a
2017-01-16,5973,CÁDIZ,CADIZ,2,11.8,0.0,7.7,07:00,15.8,14:40,2.0,4.4,8.1,03:50,1026.7,0.0,1022.0,24.0,,es1479a
2017-01-17,5973,CÁDIZ,CADIZ,2,12.0,0.0,7.8,05:00,16.1,15:50,26.0,3.1,7.8,19:30,1022.0,0.0,1016.2,24.0,,es1479a
2017-01-18,5973,CÁDIZ,CADIZ,2,8.0,0.0,4.8,23:50,11.3,,2.0,8.1,14.7,07:50,1017.0,23.0,1014.5,15.0,,es1479a
2017-01-19,5973,CÁDIZ,CADIZ,2,6.1,0.0,2.4,04:30,9.8,23:59,3.0,4.4,10.8,10:20,1016.4,0.0,1014.0,24.0,,es1479a
2017-01-20,5973,CÁDIZ,CADIZ,2,9.1,0.0,6.2,04:50,12.0,12:50,34.0,2.2,9.4,00:40,1017.8,22.0,1013.4,1.0,,es1479a
2017-01-21,5973,CÁDIZ,CADIZ,2,8.8,0.0,4.5,07:00,13.0,-2,30.0,1.9,5.8,15:10,1019.7,11.0,1016.9,6.0,,es1479a
2017-01-22,5973,CÁDIZ,CADIZ,2,10.4,0.0,6.4,06:10,14.3,15:50,30.0,2.8,7.8,16:20,1020.8,-2.0,1018.0,17.0,,es1479a
