fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.0,0.0,17.8,08:10,20.3,12:00,14.0,3.1,11.7,11:10,1016.2,11.0,1013.0,-2.0,es1573a
2017-01-01,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,18.5,0.0,16.5,23:59,20.5,12:50,12.0,3.1,10.8,10:40,1013.4,0.0,1009.2,24.0,es1573a
2017-01-02,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.8,0.0,16.0,06:40,23.7,13:50,18.0,1.1,10.8,11:40,1009.2,0.0,1005.6,14.0,es1573a
2017-01-03,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.6,0.0,17.7,01:00,21.6,15:20,13.0,3.3,11.4,13:40,1013.9,24.0,1007.5,2.0,es1573a
2017-01-04,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.0,0.0,16.6,08:00,21.5,12:00,13.0,1.7,9.2,13:00,1015.8,11.0,1012.6,5.0,es1573a
2017-01-05,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.2,0.1,17.4,06:00,20.9,12:30,16.0,2.2,7.8,11:00,1013.8,0.0,1009.5,18.0,es1573a
2017-01-06,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.8,0.0,17.5,05:40,22.0,14:40,13.0,3.1,11.9,15:40,1009.8,11.0,1006.9,-2.0,es1573a
2017-01-07,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,20.4,0.0,18.8,00:10,22.1,13:00,13.0,2.8,11.9,10:10,1011.1,11.0,1007.6,5.0,es1573a
2017-01-08,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.6,0.0,18.1,07:00,21.0,23:40,15.0,2.2,11.1,01:00,1013.2,12.0,1009.2,2.0,es1573a
2017-01-09,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,19.6,0.0,17.8,23:59,21.5,13:20,14.0,1.7,7.2,01:40,1017.2,23.0,1012.0,3.0,es1573a
2017-01-10,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,18.5,0.0,17.2,09:00,19.8,15:40,32.0,1.7,6.9,22:50,1018.4,11.0,1015.9,16.0,es1573a
2017-01-11,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,17.8,1.3,16.5,23:00,19.1,13:00,31.0,2.5,8.6,15:00,1016.7,0.0,1013.0,-2.0,es1573a
2017-01-12,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,18.2,0.0,16.2,04:20,20.3,16:50,14.0,1.7,7.2,16:10,1014.4,23.0,1011.3,16.0,es1573a
2017-01-13,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,18.9,0.0,17.1,23:59,20.7,13:30,14.0,1.9,8.6,09:20,1017.2,11.0,1013.4,2.0,es1573a
2017-01-14,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,18.0,0.1,15.9,06:20,20.2,13:00,4.0,1.7,8.1,20:50,1015.4,0.0,1011.9,-2.0,es1573a
2017-01-15,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,17.8,0.0,16.4,01:10,19.2,14:20,35.0,1.1,7.5,08:10,1013.5,11.0,1010.9,15.0,es1573a
2017-01-16,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,18.5,0.0,16.4,23:59,20.6,14:20,6.0,2.2,8.3,06:20,1013.9,11.0,1011.0,16.0,es1573a
2017-01-17,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,18.0,0.0,15.7,01:40,20.4,12:40,11.0,1.9,5.8,13:00,1014.3,11.0,1010.7,16.0,es1573a
2017-01-18,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,17.8,0.0,16.4,06:00,19.3,13:40,32.0,1.7,7.8,19:20,1012.0,11.0,1009.8,17.0,es1573a
