fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,5783,SEVILLA AEROPUERTO,SEVILLA,34,9.6,0.0,3.6,06:48,15.7,14:50,4.0,1.7,5.8,12:55,9.3,1027.8,-2.0,1024.4,15.0,es0890a
2017-01-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,9.7,0.0,3.9,04:32,15.5,15:40,99.0,1.4,6.7,-2,9.1,1025.2,0.0,1017.5,24.0,es0890a
2017-01-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,12.4,0.0,6.1,01:22,18.6,15:03,99.0,3.3,5.8,-2,8.5,1018.9,-2.0,1014.8,6.0,es0890a
2017-01-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,12.8,0.0,7.6,04:15,18.0,15:26,7.0,2.8,7.8,07:17,4.9,1024.2,-2.0,1018.7,0.0,es0890a
2017-01-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,12.8,0.0,6.2,07:23,19.3,15:49,3.0,0.6,4.7,10:07,8.5,1025.4,-2.0,1021.9,15.0,es0890a
2017-01-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,12.3,0.0,6.7,07:50,17.9,15:02,7.0,1.7,7.2,12:07,9.0,1022.7,0.0,1019.5,14.0,es0890a
2017-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,12.2,0.0,6.5,05:28,18.0,14:54,5.0,2.5,6.1,09:54,9.2,1023.9,-2.0,1020.3,1.0,es0890a
2017-01-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,11.5,0.0,6.0,07:09,17.0,14:16,7.0,3.1,8.9,09:12,9.1,1026.0,-2.0,1023.2,14.0,es0890a
2017-01-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,10.4,0.0,4.9,-2,15.8,15:19,99.0,2.5,7.8,-2,9.0,1025.6,-2.0,1022.3,15.0,es0890a
2017-01-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,10.4,0.0,2.3,06:59,18.6,16:31,99.0,0.8,4.7,-2,9.5,1024.3,-2.0,1020.3,14.0,es0890a
2017-01-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,9.0,0.0,2.8,06:18,15.2,15:18,99.0,1.1,5.0,-2,8.0,1021.3,0.0,1014.5,15.0,es0890a
2017-01-11,5783,SEVILLA AEROPUERTO,SEVILLA,34,12.0,0.0,4.9,05:30,19.2,16:00,7.0,1.1,7.2,14:10,8.8,1023.9,24.0,1016.7,1.0,es0890a
2017-01-12,5783,SEVILLA AEROPUERTO,SEVILLA,34,12.1,0.0,5.1,06:06,19.1,15:40,99.0,0.3,4.7,-2,9.5,1025.3,10.0,1020.6,23.0,es0890a
2017-01-13,5783,SEVILLA AEROPUERTO,SEVILLA,34,11.0,0.0,5.2,07:11,16.7,15:50,35.0,1.9,8.3,19:05,8.9,1022.0,-2.0,1019.1,15.0,es0890a
2017-01-14,5783,SEVILLA AEROPUERTO,SEVILLA,34,9.3,0.0,4.1,06:52,14.5,14:30,99.0,4.2,12.5,-2,9.6,1025.7,-2.0,1021.2,2.0,es0890a
2017-01-15,5783,SEVILLA AEROPUERTO,SEVILLA,34,9.2,0.0,3.0,07:35,15.5,15:51,99.0,3.9,7.8,-2,9.7,1027.8,-2.0,1024.1,16.0,es0890a
2017-01-16,5783,SEVILLA AEROPUERTO,SEVILLA,34,9.7,0.0,2.3,07:49,17.1,16:39,99.0,1.9,6.1,-2,9.7,1024.9,0.0,1019.1,24.0,es0890a
2017-01-17,5783,SEVILLA AEROPUERTO,SEVILLA,34,10.4,0.0,2.9,07:53,18.0,15:06,22.0,1.7,7.8,15:33,9.7,1019.1,0.0,1013.3,18.0,es0890a
2017-01-18,5783,SEVILLA AEROPUERTO,SEVILLA,34,5.5,0.0,1.2,07:29,9.8,15:31,8.0,5.3,13.3,12:54,9.6,1016.2,-2.0,1012.4,16.0,es0890a
2017-01-19,5783,SEVILLA AEROPUERTO,SEVILLA,34,6.3,0.0,0.0,01:21,12.6,15:12,8.0,2.5,8.3,15:25,2.3,1014.0,-2.0,1010.7,24.0,es0890a
2017-01-20,5783,SEVILLA AEROPUERTO,SEVILLA,34,7.8,0.0,3.2,05:54,12.4,16:21,99.0,0.0,5.0,-2,3.3,1014.5,-2.0,1010.1,1.0,es0890a
2017-01-21,5783,SEVILLA AEROPUERTO,SEVILLA,34,7.6,0.0,0.5,07:31,14.8,15:45,99.0,0.6,4.7,-2,9.5,1016.5,-2.0,1013.4,15.0,es0890a
2017-01-22,5783,SEVILLA AEROPUERTO,SEVILLA,34,8.4,0.0,1.4,05:35,15.3,15:17,99.0,2.8,6.7,-2,9.5,1017.0,-2.0,1013.3,17.0,es0890a
