fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,siteAQ
2016-12-31,1387,A CORUÑA,A CORUÑA,58,8.8,0.0,4.3,06:10,13.3,13:20,15.0,1.7,4.7,00:10,8.0,1023.9,0.0,1020.8,24.0,es1138a
2017-01-01,1387,A CORUÑA,A CORUÑA,58,8.4,0.0,5.4,04:10,11.4,13:30,18.0,1.4,11.7,20:50,0.0,1020.8,0.0,1005.8,24.0,es1138a
2017-01-02,1387,A CORUÑA,A CORUÑA,58,12.8,0.8,10.0,03:10,15.5,13:40,12.0,3.3,8.9,12:30,2.5,1011.4,24.0,1005.3,-2.0,es1138a
2017-01-03,1387,A CORUÑA,A CORUÑA,58,12.9,1.8,11.9,08:30,13.9,14:30,99.0,1.9,8.6,-2,0.3,1018.4,24.0,1010.9,-2.0,es1138a
2017-01-04,1387,A CORUÑA,A CORUÑA,58,15.0,0.0,12.3,03:50,17.6,12:10,16.0,1.4,5.0,07:30,2.9,1020.0,24.0,1017.9,2.0,es1138a
2017-01-05,1387,A CORUÑA,A CORUÑA,58,13.3,0.0,9.1,23:59,17.5,14:30,8.0,1.4,5.0,17:00,8.1,1020.5,11.0,1019.1,14.0,es1138a
2017-01-06,1387,A CORUÑA,A CORUÑA,58,10.6,0.0,6.5,06:20,14.6,14:10,8.0,1.7,5.3,18:50,8.4,1022.3,24.0,1019.7,15.0,es1138a
2017-01-07,1387,A CORUÑA,A CORUÑA,58,8.8,0.0,4.1,07:50,13.4,14:20,14.0,1.1,4.4,23:59,8.6,1023.7,11.0,1021.8,-2.0,es1138a
2017-01-08,1387,A CORUÑA,A CORUÑA,58,9.6,0.0,4.9,06:40,14.2,14:20,16.0,1.4,5.3,08:00,8.6,1024.1,10.0,1022.0,-2.0,es1138a
2017-01-09,1387,A CORUÑA,A CORUÑA,58,9.4,1.4,5.3,07:00,13.4,12:50,32.0,1.1,7.2,21:40,5.0,1022.8,11.0,1020.1,-2.0,es1138a
2017-01-10,1387,A CORUÑA,A CORUÑA,58,11.5,2.2,10.7,09:10,12.3,04:50,36.0,3.3,11.4,14:30,0.1,1020.7,-2.0,1018.3,5.0,es1138a
2017-01-11,1387,A CORUÑA,A CORUÑA,58,12.8,0.8,11.7,-2,13.8,13:50,99.0,1.7,6.4,-2,0.1,1021.7,10.0,1019.5,4.0,es1138a
2017-01-12,1387,A CORUÑA,A CORUÑA,58,11.8,2.6,9.6,05:10,13.9,14:30,28.0,4.2,21.4,16:30,0.0,1020.6,24.0,1014.8,14.0,es1138a
2017-01-13,1387,A CORUÑA,A CORUÑA,58,8.8,4.0,6.6,23:59,11.0,12:20,30.0,4.4,15.3,12:20,3.8,1024.0,24.0,1020.5,1.0,es1138a
2017-01-14,1387,A CORUÑA,A CORUÑA,58,8.8,3.8,5.7,07:10,11.8,14:40,99.0,1.9,8.9,-2,5.8,1026.5,22.0,1023.7,0.0,es1138a
2017-01-15,1387,A CORUÑA,A CORUÑA,58,9.6,1.0,7.7,07:30,11.5,13:10,5.0,1.9,9.7,16:00,3.8,1027.8,11.0,1025.9,4.0,es1138a
2017-01-16,1387,A CORUÑA,A CORUÑA,58,10.4,0.4,8.6,04:30,12.3,13:50,3.0,2.5,8.3,14:40,0.7,1026.5,0.0,1021.7,24.0,es1138a
2017-01-17,1387,A CORUÑA,A CORUÑA,58,10.8,0.0,7.1,23:50,14.4,13:00,6.0,4.7,12.8,23:10,6.9,1021.8,0.0,1018.1,-2.0,es1138a
