"site","Pollutant","start_yr","end_yr","hv.min","mss.wk","mss.mnth","mss.yr"
"es1635a","no2",2013-01-01,2020-12-30,TRUE,6,0,0
"es1635a","no",2013-01-01,2020-12-30,TRUE,6,0,0
"es1632a","pm2.5",2013-01-01,2020-12-04,TRUE,34,3,0
"es1632a","pm10",2013-01-01,2020-12-30,TRUE,6,0,0
"es1632a","o3",2013-01-01,2020-12-30,TRUE,5,0,0
"es1632a","no2",2013-01-01,2020-12-30,TRUE,26,2,0
"es1632a","no",2013-01-01,2020-12-30,TRUE,26,2,0
"es1631a","pm2.5",2013-01-01,2020-12-30,TRUE,0,0,0
"es1631a","pm10",2013-01-01,2020-12-30,TRUE,0,0,0
"es1631a","no2",2013-01-01,2020-12-30,TRUE,6,0,0
"es1631a","no",2013-01-01,2020-12-30,TRUE,6,0,0
"es1625a","pm10",2013-01-01,2018-12-27,FALSE,112,24,2
"es1625a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1625a","no2",2013-01-01,2020-12-30,TRUE,17,1,0
"es1625a","no",2013-01-01,2020-12-30,TRUE,17,1,0
"es1618a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1618a","no2",2013-01-01,2020-12-30,TRUE,2,0,0
"es1618a","no",2013-01-01,2020-12-30,TRUE,2,0,0
"es1610a","pm2.5",2018-09-13,2018-11-10,FALSE,411,93,7
"es1610a","pm10",2013-01-01,2020-12-30,TRUE,13,1,0
"es1610a","o3",2013-01-01,2020-12-30,TRUE,29,2,0
"es1610a","no2",2013-01-01,2020-12-30,TRUE,17,2,0
"es1610a","no",2013-01-01,2020-12-30,TRUE,17,2,0
"es1580a","pm10",2013-01-01,2020-12-30,TRUE,8,1,0
"es1580a","no2",2013-01-01,2020-12-30,TRUE,10,1,0
"es1580a","no",2013-01-01,2020-12-30,TRUE,9,1,0
"es1573a","pm2.5",2013-01-01,2020-12-30,TRUE,45,5,0
"es1573a","pm10",2013-01-01,2020-12-30,TRUE,27,2,0
"es1573a","o3",2014-06-13,2020-12-30,TRUE,99,19,1
"es1573a","no2",2013-01-01,2020-12-30,TRUE,35,4,0
"es1573a","no",2013-01-01,2020-12-30,TRUE,36,4,0
"es1567a","pm2.5",2019-01-04,2020-12-30,TRUE,312,72,6
"es1567a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1567a","o3",2013-01-02,2020-12-30,TRUE,-1,0,0
"es1567a","no2",2013-01-02,2020-12-30,TRUE,-1,0,0
"es1567a","no",2013-01-02,2020-12-30,TRUE,-1,0,0
"es1564a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1564a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1564a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1564a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1563a","pm2.5",2019-01-04,2020-12-30,TRUE,312,72,6
"es1563a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1563a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1563a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1563a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1560a","pm2.5",2013-01-01,2018-12-24,FALSE,201,25,2
"es1560a","pm10",2013-01-03,2018-12-02,FALSE,137,25,2
"es1560a","no2",2013-01-01,2020-12-30,TRUE,0,0,0
"es1560a","no",2013-01-01,2020-12-30,TRUE,0,0,0
"es1525a","pm2.5",2013-01-01,2020-12-30,TRUE,2,0,0
"es1525a","pm10",2013-01-01,2020-12-30,TRUE,0,0,0
"es1525a","no2",2013-01-01,2020-12-30,TRUE,0,0,0
"es1525a","no",2013-01-01,2020-12-30,TRUE,0,0,0
"es1521a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1521a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1521a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1502a","pm2.5",2020-02-18,2020-12-30,FALSE,371,85,7
"es1502a","pm10",2014-01-31,2020-12-30,TRUE,55,12,1
"es1502a","no2",2014-01-01,2020-12-30,TRUE,51,12,1
"es1502a","no",2014-01-01,2020-12-30,TRUE,51,12,1
"es1494a","pm2.5",2014-01-01,2020-12-30,TRUE,51,12,1
"es1494a","pm10",2014-01-01,2020-12-30,TRUE,64,14,1
"es1494a","o3",2013-03-18,2013-11-28,FALSE,380,87,7
"es1494a","no2",2013-03-08,2020-12-30,TRUE,13,3,0
"es1494a","no",2013-03-08,2020-12-30,TRUE,13,3,0
"es1492a","pm2.5",2014-01-30,2020-12-30,TRUE,56,12,1
"es1492a","pm10",2013-01-08,2020-12-30,TRUE,3,0,0
"es1492a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1492a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1480a","pm2.5",2013-01-01,2018-12-30,FALSE,105,24,2
"es1480a","pm10",2013-01-01,2018-12-30,FALSE,104,24,2
"es1480a","o3",2013-01-01,2020-12-30,TRUE,259,60,5
