Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,,µg/m3,2013-06-25 00:00:00 +01:00,2013-06-26 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,24.7000000000,µg/m3,2013-06-28 00:00:00 +01:00,2013-06-29 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,28.6000000000,µg/m3,2013-07-02 00:00:00 +01:00,2013-07-03 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,22.5000000000,µg/m3,2013-07-03 00:00:00 +01:00,2013-07-04 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,28.0000000000,µg/m3,2013-07-09 00:00:00 +01:00,2013-07-10 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,20.1000000000,µg/m3,2013-07-11 00:00:00 +01:00,2013-07-12 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,26.8000000000,µg/m3,2013-07-18 00:00:00 +01:00,2013-07-19 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,,µg/m3,2013-07-22 00:00:00 +01:00,2013-07-23 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,,µg/m3,2013-08-30 00:00:00 +01:00,2013-08-31 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES209A,STA_ES1018A,ES1018A,SP_08279011_10_M,SPP_08279011_10_M.1,SAM_08279011_10_M,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,,µg/m3,2013-09-01 00:00:00 +01:00,2013-09-02 00:00:00 +01:00,-1,1
