Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,0.0000000000,µg/m3,2014-10-08 00:00:00 +01:00,2014-10-09 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-01-21 00:00:00 +01:00,2014-01-22 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-10-06 00:00:00 +01:00,2014-10-07 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-10-28 00:00:00 +01:00,2014-10-29 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-11-04 00:00:00 +01:00,2014-11-05 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-11-06 00:00:00 +01:00,2014-11-07 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-10-22 00:00:00 +01:00,2014-10-23 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-10-24 00:00:00 +01:00,2014-10-25 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-01-28 00:00:00 +01:00,2014-01-29 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-06-28 00:00:00 +01:00,2014-06-29 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-02-16 00:00:00 +01:00,2014-02-17 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-02-14 00:00:00 +01:00,2014-02-15 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,5.0000000000,µg/m3,2014-11-09 00:00:00 +01:00,2014-11-10 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-02-08 00:00:00 +01:00,2014-02-09 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,20.0000000000,µg/m3,2014-11-11 00:00:00 +01:00,2014-11-12 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,10.0000000000,µg/m3,2014-11-10 00:00:00 +01:00,2014-11-11 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-11-14 00:00:00 +01:00,2014-11-15 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-03-16 00:00:00 +01:00,2014-03-17 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-06-30 00:00:00 +01:00,2014-07-01 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-02-28 00:00:00 +01:00,2014-03-01 00:00:00 +01:00,-1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,9.0000000000,µg/m3,2014-03-06 00:00:00 +01:00,2014-03-07 00:00:00 +01:00,1,1
ES,ES.BDCA.AQD,NET_ES210A,STA_ES1849A,ES1849A,SP_03065007_9_M,SPP_03065007_9_M.1,SAM_03065007_9_M,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,day,,µg/m3,2014-03-21 00:00:00 +01:00,2014-03-22 00:00:00 +01:00,-1,1
