"code","date","ws","wd","atmos_pres"
"080230-99999",2013-01-01,8.35,286.619566100959,1019.65
"080230-99999",2013-01-02,5.775,334.460643510131,1031.1625
"080230-99999",2013-01-03,4.95,104.858042410409,1037.925
"080230-99999",2013-01-04,3.5375,124.907994500256,1037.975
"080230-99999",2013-01-05,3,124.794913087064,1035.95714285714
"080230-99999",2013-01-06,3.675,109.586454197814,1031.825
"080230-99999",2013-01-07,2,165.457745298186,1028.4375
"080230-99999",2013-01-08,2.9125,157.682293249384,1028.325
"080230-99999",2013-01-09,2.5625,188.598215917043,1023.625
"080230-99999",2013-01-10,4.875,230.125168435702,1024.1375
"080230-99999",2013-01-11,3.325,196.948074897454,1023.1125
"080230-99999",2013-01-12,5.21428571428571,272.865072357554,1015.31428571429
"080230-99999",2013-01-13,5.4,252.48797396022,1015.375
"080230-99999",2013-01-14,9.7625,307.931979259231,1021.5625
"080230-99999",2013-01-15,13.3875,282.141026140683,1018.3
"080230-99999",2013-01-16,9.45,275.43246403218,1009.95
"080230-99999",2013-01-17,5.225,73.5721159699744,1014.7625
"080230-99999",2013-01-18,4.875,252.119616711395,1001.425
"080230-99999",2013-01-19,8.7125,333.391315111687,982.375
"080230-99999",2013-01-20,7.9125,303.4683925859,998.4375
"080230-99999",2013-01-21,9.5125,266.520625757782,1006.2875
"080230-99999",2013-01-22,7.1875,236.156235721213,1002.7875
"080230-99999",2013-01-23,8.6375,276.663953327838,1010.3125
"080230-99999",2013-01-24,9.8375,308.187154379354,1012.7125
"080230-99999",2013-01-25,3.2625,183.272942215688,1015.05
"080230-99999",2013-01-26,8.175,290.51581713627,1018.6
"080230-99999",2013-01-27,4.9375,246.329435851673,1014.0125
"080230-99999",2013-01-28,5.45,243.526857245039,1023.925
"080230-99999",2013-01-29,6.4875,202.053282731376,1022.8125
"080230-99999",2013-01-30,5.6,208.267244649626,1024.4
"080230-99999",2013-01-31,2.5125,120.619681859729,1028.0875
"080230-99999",2013-02-01,5.975,229.229336207272,1016.7625
"080230-99999",2013-02-02,12.7625,324.49289310441,1020.275
"080230-99999",2013-02-03,7.0125,333.099740814741,1031.25
"080230-99999",2013-02-04,6.175,277.798203575575,1031.075
"080230-99999",2013-02-05,10.075,287.272419929571,1025.4625
"080230-99999",2013-02-06,13.375,310.969009797793,1019.15
"080230-99999",2013-02-07,10.35,328.750664775728,1026.2875
"080230-99999",2013-02-08,11.5625,330.096208205765,1021.3625
"080230-99999",2013-02-09,5.6625,315.913391440175,1026.025
"080230-99999",2013-02-10,7.95,242.509770375064,1010.7875
"080230-99999",2013-02-11,12.2,268.20456630161,1008.02857142857
"080230-99999",2013-02-12,10.8,285.88758691112,1016.8375
"080230-99999",2013-02-13,5.9125,284.769987620173,1023.3875
"080230-99999",2013-02-14,4.825,258.853551949971,1025.0125
"080230-99999",2013-02-15,3.025,74.4019501478939,1023.5375
"080230-99999",2013-02-16,4.375,107.216158177736,1018.825
"080230-99999",2013-02-17,1.625,187.446886432162,1012
"080230-99999",2013-02-18,3.325,133.01551581882,1010.95
"080230-99999",2013-02-19,2.45,143.894425019724,1009.7625
"080230-99999",2013-02-20,2.375,214.022294120821,1012.15
"080230-99999",2013-02-21,4.0625,81.749733506361,1009.1375
"080230-99999",2013-02-22,7.525,75.1556719539184,1006.05
"080230-99999",2013-02-23,8.0375,14.6816739635819,1016.1875
"080230-99999",2013-02-24,5.525,328.054823153736,1022.2875
"080230-99999",2013-02-25,7.5875,357.322182581158,1024.6875
"080230-99999",2013-02-26,6.05,335.043539042101,1022.475
"080230-99999",2013-02-27,5.575,94.5361905914998,1022.9375
"080230-99999",2013-02-28,3.025,185.897812725495,1020.6875
"080230-99999",2013-03-01,5.6,45.1040013286841,1020.425
"080230-99999",2013-03-02,5.2,99.110771689126,1020.475
"080230-99999",2013-03-03,3.0875,128.343925662052,1012.8375
"080230-99999",2013-03-04,3.6125,131.045662251119,1002.025
"080230-99999",2013-03-05,3.225,131.240681661295,994.0625
"080230-99999",2013-03-06,4.125,172.969557534585,993.1625
"080230-99999",2013-03-07,6.6875,206.016267351324,994.0125
"080230-99999",2013-03-08,4.875,201.632018640783,1001.775
"080230-99999",2013-03-09,5.7875,187.392431924777,1001.475
"080230-99999",2013-03-10,6.25,203.263698985015,999.4
"080230-99999",2013-03-11,7.5125,258.942265394332,1000
"080230-99999",2013-03-12,6.75,12.3591659471655,1003.9625
"080230-99999",2013-03-13,10.6125,1.69258074721047,1011.8125
"080230-99999",2013-03-14,7.8375,321.865664176735,1018.6375
"080230-99999",2013-03-15,4.1875,6.97468931869901,1018.8375
"080230-99999",2013-03-16,3.1125,300.395800158136,1007.45
"080230-99999",2013-03-17,4.125,277.954447057107,1001.2625
"080230-99999",2013-03-18,10.025,285.056632700041,1003.1875
"080230-99999",2013-03-19,3.275,304.51487956804,1003.9625
"080230-99999",2013-03-20,4.5625,280.867752292467,1012.425
"080230-99999",2013-03-21,6.95,193.81146213187,1009.35
"080230-99999",2013-03-22,6.5,191.747224630974,1002.375
"080230-99999",2013-03-23,4.425,158.717290764574,1001.525
"080230-99999",2013-03-24,3.8625,259.388701662182,1002.6625
"080230-99999",2013-03-25,3.4,205.629148699608,1005.8
"080230-99999",2013-03-26,3.525,79.6631914792267,1004.3625
"080230-99999",2013-03-27,5.725,82.134845720662,1001.9875
"080230-99999",2013-03-28,6.3375,76.300263639142,1007.3375
"080230-99999",2013-03-29,3.4125,137.246340071128,1004.3625
"080230-99999",2013-03-30,6.3625,281.036247351423,1010.4125
"080230-99999",2013-03-31,5.1375,108.252791003593,1004.6625
"080230-99999",2013-04-01,8.175,279.454225763018,999.3125
"080230-99999",2013-04-02,4.0375,271.053485574879,1008.0375
"080230-99999",2013-04-03,6.95,91.5447457196258,1004.025
"080230-99999",2013-04-04,6.025,31.9075226209299,1004.05
"080230-99999",2013-04-05,6.55,285.772666917666,1011.825
"080230-99999",2013-04-06,8.9375,326.727957063256,1020.925
"080230-99999",2013-04-07,3.55,116.5567415613,1016.5375
"080230-99999",2013-04-08,4.1125,222.308116859107,1008.5625
"080230-99999",2013-04-09,4.1125,262.806329159221,1009.65
"080230-99999",2013-04-10,5.8375,187.246243677203,1010.45
"080230-99999",2013-04-11,5.0125,242.590279458405,1008.5125
"080230-99999",2013-04-12,3.22857142857143,197.31705490217,1014.78571428571
"080230-99999",2013-04-13,4.3125,177.49890031215,1016.3875
"080230-99999",2013-04-14,5.8375,204.882018573617,1016.4375
"080230-99999",2013-04-15,2.825,90.7742143938456,1022.2125
"080230-99999",2013-04-16,2.425,72.5793386397538,1023.0875
"080230-99999",2013-04-17,4.95,242.320415949567,1018.625
"080230-99999",2013-04-18,3.0125,314.812687493466,1027.225
"080230-99999",2013-04-19,5.0875,26.212711137509,1030.725
"080230-99999",2013-04-20,4.1875,76.9890458562182,1028.65
"080230-99999",2013-04-21,3.3875,74.9494549453692,1024.0125
"080230-99999",2013-04-22,3.85,306.393537478855,1023.4625
"080230-99999",2013-04-23,4.375,83.1480169883486,1024.1
"080230-99999",2013-04-24,3.725,103.139876339641,1021.2125
"080230-99999",2013-04-25,2.575,287.898039002004,1020.1875
"080230-99999",2013-04-26,6.6125,314.835711585738,1019.9625
"080230-99999",2013-04-27,5.7875,327.639056286499,1016.13333333333
"080230-99999",2013-04-28,4.8125,24.1959354160206,1017.0125
"080230-99999",2013-04-29,7.825,32.6064964950822,1018.55
"080230-99999",2013-04-30,6.1,284.098470797062,1014.825
"080230-99999",2013-05-01,4.5,257.999024084637,1017.075
"080230-99999",2013-05-02,7.125,298.907442571889,1021.625
"080230-99999",2013-05-03,3.2875,264.095307247461,1023.5
"080230-99999",2013-05-04,6.05,93.025114349413,1022.3375
"080230-99999",2013-05-05,5.675,99.3479267858107,1021.325
"080230-99999",2013-05-06,3.35,259.463448633654,1018.9125
"080230-99999",2013-05-07,3.9875,104.92160931791,1016.075
"080230-99999",2013-05-08,2.3625,265.619399537358,1016.3125
"080230-99999",2013-05-09,3.0875,337.924641916029,1019.625
"080230-99999",2013-05-10,2.125,266.415201695915,1023.8375
"080230-99999",2013-05-11,3.55,293.017935008072,1025.1375
"080230-99999",2013-05-12,2.6625,338.411615712056,1026.65
"080230-99999",2013-05-13,2.9625,76.1821283956073,1023.85
"080230-99999",2013-05-14,2.5125,221.7875339695,1013.1125
"080230-99999",2013-05-15,6.6375,303.897422430557,1007.125
"080230-99999",2013-05-16,5.275,262.876303823666,1003.15
"080230-99999",2013-05-17,2.1875,290.599425031474,999.9625
"080230-99999",2013-05-18,8.9375,272.260770214547,1006.525
"080230-99999",2013-05-19,5.9125,281.094955765446,1017.55
"080230-99999",2013-05-20,3.5375,272.916270188835,1021.5875
"080230-99999",2013-05-21,3.925,283.557779228081,1021.65
"080230-99999",2013-05-22,6.625,295.701817711867,1023.2875
"080230-99999",2013-05-23,7.7875,310.943298131889,1022.575
"080230-99999",2013-05-24,7.85,311.184132247735,1021.85
"080230-99999",2013-05-25,6.25714285714286,313.306588213255,1022.72857142857
"080230-99999",2013-05-26,6.6875,84.1080077282738,1018.225
"080230-99999",2013-05-27,3.2875,304.972924498447,1012.1125
"080230-99999",2013-05-28,8.3125,274.354939042194,1012.2625
"080230-99999",2013-05-29,10.1571428571429,280.755722274331,1013.72857142857
"080230-99999",2013-05-30,10.675,293.486612014405,1019.55
"080230-99999",2013-05-31,9.85,297.390473581271,1023.8375
"080230-99999",2013-06-01,5.525,308.579472625334,1027.25
"080230-99999",2013-06-02,3.275,316.974525396602,1027.2375
"080230-99999",2013-06-03,3.8,53.6979342565213,1023.975
"080230-99999",2013-06-04,4.2625,85.3297828582799,1017.85
"080230-99999",2013-06-05,2.7625,81.6771586786214,1013.425
