"code","date","ws","wd","atmos_pres"
"083830-99999",2013-01-10,1.53333333333333,14.2128021817581,1028.3
"083830-99999",2013-01-11,1.36666666666667,342.316257211151,1024.96666666667
"083830-99999",2013-01-12,NA,NA,NA
"083830-99999",2013-01-13,NA,NA,NA
"083830-99999",2013-01-14,2.06666666666667,314.980591984835,1026.1
"083830-99999",2013-01-15,1.2,339.076813898091,1026.66666666667
"083830-99999",2013-01-16,3.26666666666667,254.815450530974,1025.06666666667
"083830-99999",2013-01-17,3.26666666666667,278.422166055067,1021.4
"083830-99999",2013-01-18,3.06666666666667,230.243371558575,1018
"083830-99999",2013-01-19,NA,NA,NA
"083830-99999",2013-01-20,NA,NA,NA
"083830-99999",2013-01-21,2.06666666666667,283.003482551398,1016.63333333333
"083830-99999",2013-01-22,4.63333333333333,260.75009952778,1017.06666666667
"083830-99999",2013-01-23,3.43333333333333,276.994552926691,1024.2
"083830-99999",2013-01-24,2.73333333333333,263.417206502453,1020.93333333333
"083830-99999",2013-01-25,2.2,222.821252233523,1018.86666666667
"083830-99999",2013-01-26,NA,NA,NA
"083830-99999",2013-01-27,NA,NA,NA
"083830-99999",2013-01-28,1.7,348.674165523095,1030.26666666667
"083830-99999",2013-01-29,1.55,44.3952642384291,1029.7
"083830-99999",2013-01-30,2.1,40,1030.85
"083830-99999",2013-01-31,1,30,1032.15
"083830-99999",2013-02-01,1,305,1028.5
"083830-99999",2013-02-02,NA,NA,NA
"083830-99999",2013-02-03,NA,NA,NA
"083830-99999",2013-02-04,2.3,39.7653859623994,1030.7
"083830-99999",2013-02-05,0.5,250,1027.85
"083830-99999",2013-02-06,2.85,307.343276240678,1026
"083830-99999",2013-02-07,2.05,12.6871615304601,1027.1
"083830-99999",2013-02-08,2.05,348.432900957011,1022.7
"083830-99999",2013-02-09,NA,NA,NA
"083830-99999",2013-02-10,NA,NA,NA
"083830-99999",2013-02-11,3.35,289.040068362072,1019.8
"083830-99999",2013-02-12,2.05,357.18541686949,1021.45
"083830-99999",2013-02-13,2.43333333333333,280,1024.86666666667
"083830-99999",2013-02-14,1.05,30,1023.85
"083830-99999",2013-02-15,0.75,350,1021.45
"083830-99999",2013-02-16,NA,NA,NA
"083830-99999",2013-02-17,NA,NA,NA
"083830-99999",2013-02-18,1.25,324.163448021355,1013.2
