"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"081763","99999","SABADELL","SP",NA,"LELL",41.517,2.1,250,2000-08-30,2021-02-08,"081763-99999",0.0366519142918809,0.724608345550486,8.84983872341247,"es1018a"
"081800","99999","BARCELONA CITY","SP",NA,NA,41.417,2.133,176,1973-01-01,2021-02-08,"081800-99999",0.037227872945039,0.722863016298491,18.6746306346566,"es1018a"
"081600","99999","ZARAGOZA AB","SP",NA,"LEZG",41.666,-1.042,263,1973-01-01,2021-02-08,"081600-99999",-0.0181863308057809,0.727208886135957,10.5838200848442,"es1047a"
"080940","99999","HUESCA-PIRINEOS","SP",NA,"LEHC",42.083,-0.333,554,1973-01-02,2021-02-08,"080940-99999",-0.00581194640914112,0.734486909116774,68.078762518023,"es1047a"
"081570","99999","DAROCA I","SP",NA,NA,41.117,-1.417,779,1973-01-01,2021-01-28,"081570-99999",-0.0247313155007596,0.717627028542508,72.6440296833718,"es1047a"
"080440","99999","PONTEVEDRA","SP",NA,NA,42.433,-8.617,108,1973-01-01,2021-02-08,"080440-99999",-0.150395021644351,0.740595561498754,61.3443068493672,"es1096a"
"080450","99999","VIGO","SP",NA,"LEVX",42.232,-8.627,260.6,1973-01-01,2021-02-08,"080450-99999",-0.150569554569551,0.737087449702245,63.0673895254065,"es1096a"
"080420","99999","SANTIAGO","SP",NA,"LEST",42.896,-8.415,369.7,1973-01-01,2021-02-08,"080420-99999",-0.146869456555323,0.748676435935488,74.6770720374653,"es1096a"
"080450","99999","VIGO","SP",NA,"LEVX",42.232,-8.627,260.6,1973-01-01,2021-02-08,"080450-99999",-0.150569554569551,0.737087449702245,9.58699233304989,"es1137a"
"080440","99999","PONTEVEDRA","SP",NA,NA,42.433,-8.617,108,1973-01-01,2021-02-08,"080440-99999",-0.150395021644351,0.740595561498754,25.9230400324003,"es1137a"
"085510","99999","VIANA DO CASTELO-CHAPE","PO",NA,NA,41.633,-8.8,48,2006-10-10,2021-02-08,"085510-99999",-0.153588974175501,0.726632927482799,65.3360483965459,"es1137a"
"080010","99999","LA CORUNA","SP",NA,NA,43.367,-8.417,67,1931-01-01,2021-02-08,"080010-99999",-0.146904363140363,0.756896936712381,0.291138822963169,"es1138a"
"080020","99999","A CORUNA","SP",NA,"LECO",43.302,-8.377,98.5,1974-10-01,2021-02-08,"080020-99999",-0.146206231439565,0.755762472698585,8.05197824478473,"es1138a"
"080420","99999","SANTIAGO","SP",NA,"LEST",42.896,-8.415,369.7,1973-01-01,2021-02-08,"080420-99999",-0.146869456555323,0.748676435935488,52.3859002620467,"es1138a"
"080750","99999","BURGOS","SP",NA,"LEBG",42.358,-3.621,897.6,1973-01-01,2021-02-08,"080750-99999",-0.0631983722147147,0.739286564559758,4.55364787174155,"es1160a"
"080910","99999","JACA","SP",NA,NA,42.567,-3.133,828,1983-06-13,2021-02-08,"080910-99999",-0.0546811654649823,0.742934302696426,50.5848047249809,"es1160a"
"080550","99999","LEON","SP",NA,"LELN",42.589,-5.656,916.2,1973-01-01,2021-02-08,"080550-99999",-0.0987158224927993,0.743318275131865,5.86818171010514,"es1161a"
"080530","99999","PONFERRADA","SP",NA,NA,42.567,-6.6,550,1973-01-02,2021-02-08,"080530-99999",-0.115191730631626,0.742934302696426,83.0163877655847,"es1161a"
