"code","date","ws","wd","atmos_pres"
"081810-99999",2013-01-01,3.77916666666667,336.169322669953,1017.17916666667
"081810-99999",2013-01-02,4.16666666666667,335.467022018473,1022.925
"081810-99999",2013-01-03,5.36458333333333,341.990518470733,1035.27727272727
"081810-99999",2013-01-04,6.25833333333333,326.670863514073,1034.29583333333
"081810-99999",2013-01-05,6.58958333333333,328.006272979574,1027.45
"081810-99999",2013-01-06,4.8125,324.0883434988,1025.63333333333
"081810-99999",2013-01-07,5.18125,344.057265815494,1023.30416666667
"081810-99999",2013-01-08,3.73958333333333,324.407926814915,1025.40416666667
"081810-99999",2013-01-09,5.18541666666667,330.650353218441,1022.0652173913
"081810-99999",2013-01-10,3.34583333333333,327.001518168156,1019.28333333333
"081810-99999",2013-01-11,4.51739130434783,324.49315262883,1020.18095238095
"081810-99999",2013-01-12,4.09375,324.186067473139,1016.52173913043
"081810-99999",2013-01-13,3.16458333333333,310.655259632534,1010.02608695652
"081810-99999",2013-01-14,3.93958333333333,333.701409450826,1013.8625
"081810-99999",2013-01-15,3.91458333333333,299.170339614673,1011.8375
"081810-99999",2013-01-16,4.2875,293.83162877466,1006.14782608696
"081810-99999",2013-01-17,3.66666666666667,158.325950593437,1007.4875
"081810-99999",2013-01-18,3.35,307.710365319306,1004.0625
"081810-99999",2013-01-19,3.6625,226.460842304841,987.266666666667
"081810-99999",2013-01-20,4.7625,303.919062341903,993.475
"081810-99999",2013-01-21,4.19583333333333,312.242457217009,1003.27083333333
"081810-99999",2013-01-22,3.56875,271.671705979161,1006.23043478261
"081810-99999",2013-01-23,5.13541666666667,308.552875082208,1003.80416666667
"081810-99999",2013-01-24,4.09375,323.335052022906,1005.1125
"081810-99999",2013-01-25,5.50625,326.544548628539,1011.03333333333
"081810-99999",2013-01-26,3.37291666666667,344.424593375451,1012.65
"081810-99999",2013-01-27,3.77916666666667,312.684480820177,1014.70416666667
"081810-99999",2013-01-28,3.90208333333333,307.431041148292,1018.98260869565
"081810-99999",2013-01-29,3.42083333333333,304.400112938833,1027.01666666667
"081810-99999",2013-01-30,3.42083333333333,302.043034013879,1025.60833333333
"081810-99999",2013-01-31,3.74791666666667,294.791003789546,1028.1
"081810-99999",2013-02-01,3.68125,275.0859334956,1016.53043478261
"081810-99999",2013-02-02,7.60833333333333,300.935187398917,1005.0125
"081810-99999",2013-02-03,5.94166666666667,315.763335251368,1018.71739130435
"081810-99999",2013-02-04,4.70625,301.395351816773,1025.77083333333
"081810-99999",2013-02-05,4.32291666666667,291.748630800052,1019.0125
"081810-99999",2013-02-06,7.35416666666667,304.410648885829,1009.1375
"081810-99999",2013-02-07,5.44166666666667,319.516568214143,1014.68695652174
"081810-99999",2013-02-08,3.47708333333333,346.477882377123,1014.54583333333
"081810-99999",2013-02-09,3.4,304.341254932455,1018.75
"081810-99999",2013-02-10,4.50625,274.380203440481,1012.2375
"081810-99999",2013-02-11,5.1804347826087,292.535286019271,1002.65
"081810-99999",2013-02-12,5.4125,299.261543378497,1007.86666666667
"081810-99999",2013-02-13,4.21041666666667,314.593511949432,1016.25833333333
"081810-99999",2013-02-14,3.51875,313.575473821862,1020.92083333333
"081810-99999",2013-02-15,3.37291666666667,314.278853121373,1020.1347826087
"081810-99999",2013-02-16,3.80869565217391,224.352463470185,1020.31739130435
"081810-99999",2013-02-17,2.75625,62.8489206289113,1015.57083333333
"081810-99999",2013-02-18,3.68541666666667,53.3471480774931,1013.82083333333
"081810-99999",2013-02-19,3.73541666666667,73.0685638023794,1015.875
"081810-99999",2013-02-20,4.7,286.97969580016,1012.9625
"081810-99999",2013-02-21,3.46458333333333,21.2092272834474,1008.0347826087
"081810-99999",2013-02-22,5.725,66.4525493235554,1002.27916666667
"081810-99999",2013-02-23,4.37361111111111,336.34782519792,1003.72916666667
"081810-99999",2013-02-24,5.4125,332.692772872307,1011.97916666667
"081810-99999",2013-02-25,3.14375,347.403619930464,1016.90416666667
"081810-99999",2013-02-26,3.90972222222222,287.949132684756,1020.68
"081810-99999",2013-02-27,4.78194444444444,14.9018233857982,1021.4625
"081810-99999",2013-02-28,10.825,60.5929522087823,1016.29090909091
"081810-99999",2013-03-01,8.66666666666667,37.4814053812641,1011.08333333333
"081810-99999",2013-03-02,3.7875,286.057427448833,1017.475
"081810-99999",2013-03-03,3.73958333333333,296.058934502338,1017.12083333333
"081810-99999",2013-03-04,7.08888888888889,51.1258771776888,1012.39583333333
"081810-99999",2013-03-05,9.65,67.0178123933528,1001.89583333333
"081810-99999",2013-03-06,4.50208333333333,49.8948217035018,994.4875
"081810-99999",2013-03-07,4.4625,237.148758014536,1001.92083333333
"081810-99999",2013-03-08,6.28333333333333,243.280069833787,1004.125
"081810-99999",2013-03-09,5.35,236.584696832456,1004.925
"081810-99999",2013-03-10,5.59375,254.894379918639,1002.15
"081810-99999",2013-03-11,5.3375,266.874078846126,1001.9375
"081810-99999",2013-03-12,4.4375,238.187859911941,1000.325
"081810-99999",2013-03-13,3.37604166666667,331.70460752186,998.05
"081810-99999",2013-03-14,4.84166666666667,328.329701288636,1006.37826086957
"081810-99999",2013-03-15,3.55,18.7123362473192,1014.7652173913
"081810-99999",2013-03-16,5.52083333333333,241.967390132716,1014.07083333333
"081810-99999",2013-03-17,2.46041666666667,212.507472870054,1002.27083333333
"081810-99999",2013-03-18,5.80833333333333,266.381178041918,1001.81666666667
"081810-99999",2013-03-19,3.62708333333333,33.2870432015659,1005.2875
"081810-99999",2013-03-20,4.58333333333333,258.263338275314,1008.84782608696
"081810-99999",2013-03-21,5.02083333333333,247.862291763495,1016.72608695652
"081810-99999",2013-03-22,3.25833333333333,239.732393754405,1008.65833333333
"081810-99999",2013-03-23,3.05208333333333,62.6217717012514,1004.3375
"081810-99999",2013-03-24,2.77847222222222,254.731482800342,1001.07826086957
"081810-99999",2013-03-25,4.84861111111111,266.808731686661,1003.86086956522
"081810-99999",2013-03-26,3.62291666666667,70.2480480478626,1002.95217391304
"081810-99999",2013-03-27,3.64652777777778,79.9020181764295,1003.075
"081810-99999",2013-03-28,4.96458333333333,238.148649431476,1005.70416666667
"081810-99999",2013-03-29,3.92083333333333,242.880949458859,1007.1875
"081810-99999",2013-03-30,6.32708333333333,283.51571344956,1003.65416666667
"081810-99999",2013-03-31,3.8125,57.0504379892102,1005.79166666667
"081810-99999",2013-04-01,4.30069444444444,349.532003813012,998.558333333333
"081810-99999",2013-04-02,4.21319444444444,314.867403691544,1004.74583333333
"081810-99999",2013-04-03,3.7875,42.7916032815962,1006.42083333333
"081810-99999",2013-04-04,2.98333333333333,56.8855346870311,1000.2375
"081810-99999",2013-04-05,3.68888888888889,4.47086160748641,1005.84583333333
"081810-99999",2013-04-06,3.33541666666667,240.778569308431,1011.19583333333
"081810-99999",2013-04-07,6.2875,256.944930633963,1014.30833333333
"081810-99999",2013-04-08,4.78541666666667,234.046158525287,1009.65416666667
"081810-99999",2013-04-09,6.07083333333333,237.107369882652,1010.45833333333
"081810-99999",2013-04-10,4.37708333333333,225.170987003591,1015.5375
"081810-99999",2013-04-11,5.94375,226.849553918905,1010.91666666667
"081810-99999",2013-04-12,5.32916666666667,232.09790723031,1014.76666666667
"081810-99999",2013-04-13,3.00625,103.89370553488,1022.50833333333
"081810-99999",2013-04-14,2.90833333333333,19.6536680324418,1024.9
"081810-99999",2013-04-15,3.04791666666667,32.3302702344976,1022.825
"081810-99999",2013-04-16,2.58958333333333,207.942766603244,1022.01304347826
"081810-99999",2013-04-17,2.99583333333333,226.782666257962,1022.17083333333
