"date","Municipio","diff"
2020-01-04,"Vigo",-24.925383170044
2020-01-04,"Vitoria",-38.5691196291599
2020-01-04,"Zaragoza",-11.281684899829
2020-01-05,"Alcalá de Henares",-36.249759023291
2020-01-05,"Alcobendas",-31.0318132849275
2020-01-05,"Alicante",-25.8466219125028
2020-01-05,"Almería",-40.8671841601958
2020-01-05,"Barcelona",-19.1251761666155
2020-01-05,"Bilbao",-41.1624855651707
2020-01-05,"Burgos",-47.2397016266532
2020-01-05,"Castellón de la Plana",-50.5942506631494
2020-01-05,"Elche",-51.3759893685778
2020-01-05,"Gijón",-35.7149013229589
2020-01-05,"Girona",-33.2333275747457
2020-01-05,"Granada",-27.0689887061117
2020-01-05,"Huelva",-54.9227482332517
2020-01-05,"Leganés",-25.6255138537017
2020-01-05,"León",-35.4066430199503
2020-01-05,"Lleida",-33.7820524506973
2020-01-05,"Madrid",-35.5849661268594
2020-01-05,"Málaga",-46.221759347273
2020-01-05,"Ourense",-28.6809777320171
2020-01-05,"Oviedo",-20.2388046729996
2020-01-05,"Pamplona",-1.73319365018364
2020-01-05,"Sabadell",-49.3225596075386
2020-01-05,"Salamanca",-23.6347719857541
2020-01-05,"San Sebastián",-41.62973772918
2020-01-05,"Santander",-38.1356680796007
2020-01-05,"Sevilla",-39.1185248122764
2020-01-05,"Tarrasa",-40.5044970305884
2020-01-05,"Valencia",-59.383424868947
2020-01-05,"Valladolid",-27.8165573494071
2020-01-05,"Vitoria",-40.5936902044448
2020-01-05,"Zaragoza",-18.8206043546508
2020-01-06,"Alcalá de Henares",-38.5740468844268
2020-01-06,"Alcobendas",-32.9319114608483
2020-01-06,"Alicante",-44.7350161339135
2020-01-06,"Almería",-41.7459853811286
2020-01-06,"Barcelona",-37.2175438302419
2020-01-06,"Bilbao",-44.8673176290637
2020-01-06,"Burgos",-49.6930957437615
2020-01-06,"Castellón de la Plana",-52.4374276576939
2020-01-06,"Elche",-86.7970386613008
2020-01-06,"Gijón",-12.4606372804507
2020-01-06,"Girona",-37.5240955888499
2020-01-06,"Granada",-21.1063940054794
2020-01-06,"Huelva",-55.8342357441797
2020-01-06,"Leganés",-26.8776776222425
2020-01-06,"León",-53.1968012937718
2020-01-06,"Lleida",-46.5442342404904
2020-01-06,"Madrid",-31.2415403948588
2020-01-06,"Málaga",-0.869908241470203
2020-01-06,"Ourense",-31.7146132920731
2020-01-06,"Oviedo",-29.7583802282615
2020-01-06,"Pamplona",-33.5893028248984
2020-01-06,"Sabadell",-42.5143641551571
2020-01-06,"Salamanca",-34.0948114459932
2020-01-06,"San Sebastián",-35.9472259041951
2020-01-06,"Santander",-45.5258021917441
2020-01-06,"Sevilla",-37.0305576716743
2020-01-06,"Tarrasa",-21.5036016953812
2020-01-06,"Valencia",-57.0642779982647
2020-01-06,"Valladolid",-30.2716757351231
2020-01-06,"Vitoria",-34.1309253752138
2020-01-06,"Zaragoza",-32.2021532303248
2020-01-07,"Alcalá de Henares",-20.7169275599578
2020-01-07,"Alcobendas",-6.15574603480375
2020-01-07,"Alicante",-0.255702756683312
2020-01-07,"Almería",-21.0950504747299
2020-01-07,"Barcelona",-12.8276641409732
2020-01-07,"Bilbao",-23.7302663049937
2020-01-07,"Burgos",-35.8530115794459
2020-01-07,"Castellón de la Plana",-30.402893878626
2020-01-07,"Elche",-15.0826209811765
2020-01-07,"Gijón",1.85679832006288
2020-01-07,"Girona",-18.7246947254698
2020-01-07,"Granada",-15.0735294117648
2020-01-07,"Huelva",-31.5495669128142
2020-01-07,"Leganés",-1.95064379338852
2020-01-07,"León",-34.3372795388017
2020-01-07,"Lleida",-17.9779525561097
2020-01-07,"Madrid",-7.9133291794347
2020-01-07,"Málaga",-7.86098489349131
2020-01-07,"Ourense",-18.2304354624878
2020-01-07,"Oviedo",-13.9123273277817
2020-01-07,"Pamplona",19.6986182239185
2020-01-07,"Sabadell",-20.3133818123352
2020-01-07,"Salamanca",-22.5904567070898
2020-01-07,"San Sebastián",-15.5854554060404
2020-01-07,"Santander",-32.5680068485893
2020-01-07,"Sevilla",-12.3210855691495
2020-01-07,"Tarrasa",-43.849686463601
2020-01-07,"Valencia",-37.0545131316978
2020-01-07,"Vitoria",-9.64518901748653
2020-01-07,"Zaragoza",-15.4520411237246
2020-01-08,"Alcalá de Henares",-5.34290197355807
2020-01-08,"Alcobendas",-6.63736986680826
2020-01-08,"Alicante",15.7999677246982
2020-01-08,"Almería",-27.8183878058994
2020-01-08,"Barcelona",-24.1879610729059
2020-01-08,"Bilbao",-16.5046114212676
2020-01-08,"Burgos",-24.5917820055798
2020-01-08,"Castellón de la Plana",-34.4936847840357
2020-01-08,"Elche",-14.8037517744379
2020-01-08,"Gijón",25.1247159677171
2020-01-08,"Girona",2.01369654704793
2020-01-08,"Granada",0.601311833331396
2020-01-08,"Huelva",-27.4188373090107
2020-01-08,"Leganés",17.7926129298178
2020-01-08,"León",9.72143628027873
2020-01-08,"Lleida",-8.52414416688965
2020-01-08,"Madrid",14.8858228424936
2020-01-08,"Málaga",-16.5858181223283
2020-01-08,"Ourense",-43.9726520331054
2020-01-08,"Oviedo",-10.3587389398565
2020-01-08,"Pamplona",26.8157768447916
2020-01-08,"Sabadell",-5.26978329405462
2020-01-08,"Salamanca",-30.007515697849
2020-01-08,"San Sebastián",-5.18561424352723
2020-01-08,"Santander",-27.0922841134645
2020-01-08,"Sevilla",-16.4955500884979
2020-01-08,"Tarrasa",2.21220143988982
2020-01-08,"Valencia",-27.2991825461822
2020-01-08,"Vitoria",8.98709644069358
2020-01-08,"Zaragoza",-16.3307058380827
2020-01-09,"Alcalá de Henares",-20.362317514534
2020-01-09,"Alcobendas",35.6901449884803
2020-01-09,"Alicante",20.6004177315263
2020-01-09,"Almería",-17.4064413282852
2020-01-09,"Barcelona",-33.7938836280008
2020-01-09,"Bilbao",-24.1100340805788
2020-01-09,"Burgos",-21.0116737971952
2020-01-09,"Castellón de la Plana",-14.4039589877511
2020-01-09,"Elche",4.68832565014641
2020-01-09,"Gijón",9.69449202867405
2020-01-09,"Girona",-21.4093827370843
2020-01-09,"Granada",0.594748372529416
2020-01-09,"Huelva",-18.6082461231444
2020-01-09,"Leganés",24.8624535068347
2020-01-09,"León",-0.442501392715375
2020-01-09,"Lleida",13.673964008456
2020-01-09,"Madrid",27.0686084760193
2020-01-09,"Málaga",10.8345843892505
2020-01-09,"Ourense",5.69280716585688
2020-01-09,"Oviedo",-8.78095784158813
2020-01-09,"Pamplona",-7.89495415648612
2020-01-09,"Sabadell",-7.786048778782
2020-01-09,"Salamanca",-13.7573770240531
2020-01-09,"San Sebastián",19.7969387963256
2020-01-09,"Santander",16.9403547954695
2020-01-09,"Sevilla",-10.0179825093954
2020-01-09,"Tarrasa",-5.66173551578449
2020-01-09,"Valencia",-29.1730452961278
2020-01-09,"Vigo",10.9001014083903
2020-01-09,"Vitoria",-5.00154323092444
2020-01-09,"Zaragoza",-20.6062874822252
2020-01-10,"Alcalá de Henares",-7.52227277105719
2020-01-10,"Alcobendas",-30.0924043855778
2020-01-10,"Alicante",-3.54625789294619
2020-01-10,"Almería",-15.4592478143175
2020-01-10,"Barcelona",-35.0145419482036
2020-01-10,"Bilbao",-8.14078273253683
2020-01-10,"Burgos",-27.7565308683807
2020-01-10,"Castellón de la Plana",-51.210439274392
2020-01-10,"Elche",-52.1681954513652
2020-01-10,"Gijón",8.08967724758174
2020-01-10,"Girona",-2.39839201323733
2020-01-10,"Granada",-12.6804180802803
2020-01-10,"Huelva",-48.3950583721447
2020-01-10,"Leganés",-5.85886525912504
2020-01-10,"León",8.75263418962182
2020-01-10,"Lleida",7.52512137624949
2020-01-10,"Madrid",-13.9196801495135
2020-01-10,"Málaga",3.90097310892656
2020-01-10,"Ourense",6.95116744798772
2020-01-10,"Oviedo",-4.03197606464824
2020-01-10,"Palma",24.3184636751701
2020-01-10,"Pamplona",4.30981152961155
2020-01-10,"Sabadell",-9.61818875642973
2020-01-10,"Salamanca",19.0734366884622
2020-01-10,"San Sebastián",3.52414478539981
2020-01-10,"Santander",5.30074522163704
2020-01-10,"Sevilla",-29.7593162125698
2020-01-10,"Tarrasa",21.9512548554655
2020-01-10,"Valencia",-24.2877942581711
2020-01-10,"Vigo",-1.04997336043818
2020-01-10,"Vitoria",-39.2784815852344
2020-01-10,"Zaragoza",18.392873433784
2020-01-11,"Alcalá de Henares",-21.6635210929748
2020-01-11,"Alcobendas",-29.101065284009
