periods,variable,Mean,Median,Q3,Q1,IQR
Confinamiento,no,-65.11464741959654,-67.21994148964544,-59.23808378551912,-71.84012643182074,12.602042646301612
Confinamiento,no2,-55.13735415525277,-57.03822516740371,-48.00092225351099,-61.40583152562856,13.404909272117564
Confinamiento,o3,4.406356787374807,3.432756206534542,12.971971067049669,-5.035740309058896,18.007711376108567
Confinamiento,pm10,-12.92828627836849,-10.466663923522962,-5.323277970959818,-23.152084039082848,17.82880606812303
Confinamiento,pm2.5,0.23116016312387355,2.3021982971558397,10.224349303584399,-10.07824713485591,20.30259643844031
Fases,no,-47.644125230498446,-49.462196653951864,-38.63295400298078,-55.392551314331214,16.759597311350433
Fases,no2,-42.47620946383154,-41.34680246690911,-37.85731357478655,-50.812453370740585,12.955139795954032
Fases,o3,-0.6949749374501216,-0.2516026905441241,4.34786860266048,-4.199794603695492,8.54766320635597
Fases,pm10,-12.358188724952875,-14.252140917134467,-6.311913389571412,-20.505218016073194,14.193304626501781
Fases,pm2.5,-5.28675137310354,-0.6283293857760033,1.5691303867264925,-5.294283170547839,6.863413557274331
Nueva Normalidad,no,-26.751282964843615,-27.626677159083965,-19.366285282040945,-35.35232495376721,15.986039671726264
Nueva Normalidad,no2,-20.61493056375446,-22.266136486316334,-16.58667392237645,-26.187408976345942,9.600735053969494
Nueva Normalidad,o3,6.5363971703271675,5.738817769453396,12.221629901827868,2.1625306248383005,10.059099276989567
Nueva Normalidad,pm10,-12.010585661216645,-11.608678264962979,-5.88693359853521,-17.40822368899968,11.52129009046447
Nueva Normalidad,pm2.5,-14.167447858316104,-14.968014158419097,-9.047522943704568,-18.86574617652274,9.818223232818173
Segundo Estado de Alarma,no,-40.37539941009477,-40.94870258131845,-34.309645640734324,-48.91467244273467,14.605026802000346
Segundo Estado de Alarma,no2,-27.66015801196892,-29.7481853968913,-23.947496645950913,-32.02563247677946,8.078135830828543
Segundo Estado de Alarma,o3,28.925587156242845,28.596864074755537,35.96282178159082,24.696855150977697,11.265966630613121
Segundo Estado de Alarma,pm10,-11.121399140127718,-9.717439921978126,-3.289754969829642,-23.55691503665806,20.26716006682842
Segundo Estado de Alarma,pm2.5,-18.889118142729846,-14.121841698829002,-12.242951849094881,-26.095596997801394,13.852645148706513
pre Confinamiento,no,0.23466582116757742,2.990438939935024,10.180897318693082,-12.282511662865641,22.46340898155872
pre Confinamiento,no2,-7.765679730309277,-7.545366745718514,0.18965735675739773,-15.159957663659988,15.349615020417385
pre Confinamiento,o3,-13.80057924524512,-16.722149566023123,-7.211997597902023,-19.736021220780067,12.524023622878044
pre Confinamiento,pm10,30.032157229525062,33.9012249219318,42.44675722901488,13.396878281661703,29.049878947353175
pre Confinamiento,pm2.5,21.164161562603045,21.11622531457087,34.07372042147847,5.698720739200703,28.374999682277767
