fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2016-12-31,0200E,"BARCELONA, FABRA",BARCELONA,408,10.6,0.0,7.8,22:20,13.3,14:51,28.0,2.5,8.6,23:13,7.2,983.5,0,978.5,24
2017-01-01,0200E,"BARCELONA, FABRA",BARCELONA,408,7.4,0.0,3.0,08:05,11.8,14:57,27.0,6.1,11.9,23:23,8.8,978.5,0,972.3,24
2017-01-02,0200E,"BARCELONA, FABRA",BARCELONA,408,9.8,0.0,6.5,23:30,13.1,14:09,26.0,5.8,10.8,03:46,7.1,973.0,10,970.9,17
2017-01-03,0200E,"BARCELONA, FABRA",BARCELONA,408,7.8,0.0,4.5,00:48,11.0,11:38,32.0,0.8,8.9,01:11,3.3,974.2,-2,971.0,-2
2017-01-04,0200E,"BARCELONA, FABRA",BARCELONA,408,9.7,0.0,7.3,-2,12.1,14:12,31.0,4.7,13.6,21:37,7.6,974.0,0,970.1,23
2017-01-05,0200E,"BARCELONA, FABRA",BARCELONA,408,8.6,0.0,5.2,08:28,12.1,-2,33.0,3.1,11.9,00:03,7.7,976.1,-2,970.2,0
2017-01-06,0200E,"BARCELONA, FABRA",BARCELONA,408,8.4,0.0,5.1,06:59,11.6,12:43,31.0,2.8,9.2,03:10,8.6,979.2,10,976.0,1
2017-01-07,0200E,"BARCELONA, FABRA",BARCELONA,408,8.8,0.0,5.4,-2,12.3,13:25,31.0,1.4,8.6,21:32,8.2,980.3,10,978.5,-2
2017-01-08,0200E,"BARCELONA, FABRA",BARCELONA,408,11.4,0.0,6.1,03:44,16.6,13:29,31.0,5.6,12.2,05:58,7.2,978.5,0,973.5,-2
2017-01-09,0200E,"BARCELONA, FABRA",BARCELONA,408,8.0,0.0,4.1,08:30,11.8,14:35,31.0,6.4,10.8,09:14,8.0,976.4,10,970.4,24
2017-01-10,0200E,"BARCELONA, FABRA",BARCELONA,408,7.8,0.0,4.2,04:22,11.4,14:47,31.0,6.4,11.9,07:41,2.8,970.4,0,960.5,-2
2017-01-11,0200E,"BARCELONA, FABRA",BARCELONA,408,8.2,0.0,4.6,05:39,11.9,13:40,24.0,4.4,10.3,18:11,9.2,974.0,-2,964.1,0
2017-01-12,0200E,"BARCELONA, FABRA",BARCELONA,408,12.1,0.0,7.8,-2,16.4,13:55,27.0,4.7,11.4,21:37,8.0,973.8,-2,964.8,24
2017-01-13,0200E,"BARCELONA, FABRA",BARCELONA,408,8.8,0.0,4.8,23:59,12.7,13:51,34.0,4.4,16.4,02:18,8.4,970.2,23,962.2,5
2017-01-14,0200E,"BARCELONA, FABRA",BARCELONA,408,5.3,0.0,1.4,-2,9.2,14:30,32.0,5.3,11.7,06:18,3.6,972.5,22,969.5,-2
2017-01-15,0200E,"BARCELONA, FABRA",BARCELONA,408,5.8,0.0,1.4,-2,10.2,13:48,2.0,5.6,17.5,14:46,9.0,971.8,0,969.8,-2
2017-01-16,0200E,"BARCELONA, FABRA",BARCELONA,408,8.2,0.0,3.9,23:59,12.5,13:35,33.0,4.4,12.5,02:21,9.2,969.8,0,963.7,24
2017-01-17,0200E,"BARCELONA, FABRA",BARCELONA,408,4.3,0.0,1.2,-2,7.4,14:22,3.0,4.2,20.6,03:53,9.2,968.3,24,963.2,4
2017-01-18,0200E,"BARCELONA, FABRA",BARCELONA,408,3.7,0.0,-0.8,03:36,8.2,15:20,32.0,5.6,10.6,04:32,8.2,971.4,24,968.3,-2
2017-01-19,0200E,"BARCELONA, FABRA",BARCELONA,408,5.2,0.05,1.6,03:18,8.9,-2,6.0,8.1,20.0,18:12,3.1,972.1,-2,971.4,-2
2017-01-20,0200E,"BARCELONA, FABRA",BARCELONA,408,6.4,4.4,5.5,-2,7.4,14:07,5.0,10.0,18.6,00:54,0.3,972.5,10,969.9,24
2017-01-21,0200E,"BARCELONA, FABRA",BARCELONA,408,7.4,0.2,6.0,00:30,8.8,14:08,3.0,8.6,24.4,23:49,0.9,969.9,0,964.6,24
2017-01-22,0200E,"BARCELONA, FABRA",BARCELONA,408,6.9,2.5,5.9,08:10,7.9,12:10,3.0,10.0,26.1,03:26,0.4,966.9,24,963.9,3
2017-01-23,0200E,"BARCELONA, FABRA",BARCELONA,408,7.2,2.5,5.4,02:54,9.0,21:40,3.0,5.8,16.9,01:47,0.0,967.9,22,966.7,-2
2017-01-24,0200E,"BARCELONA, FABRA",BARCELONA,408,7.4,0.0,4.6,06:15,10.2,14:29,33.0,4.7,11.4,01:56,6.1,970.3,23,966.4,2
2017-01-25,0200E,"BARCELONA, FABRA",BARCELONA,408,5.2,1.9,3.0,-2,7.5,00:20,7.0,3.6,11.4,18:28,0.0,970.7,11,969.3,16
2017-01-26,0200E,"BARCELONA, FABRA",BARCELONA,408,5.3,0.1,2.5,03:17,8.1,13:53,3.0,3.3,7.5,07:59,3.5,970.4,0,968.1,-2
2017-01-27,0200E,"BARCELONA, FABRA",BARCELONA,408,9.0,20.2,6.9,00:47,11.0,10:54,23.0,4.7,12.5,11:48,0.0,968.8,0,962.0,21
2017-01-28,0200E,"BARCELONA, FABRA",BARCELONA,408,9.2,0.2,7.1,23:55,11.2,12:30,3.0,4.4,13.6,08:05,1.7,973.6,24,962.2,2
2017-01-29,0200E,"BARCELONA, FABRA",BARCELONA,408,9.1,0.0,5.8,06:54,12.4,13:08,27.0,5.3,11.4,20:41,8.8,975.2,10,973.2,15
2017-01-30,0200E,"BARCELONA, FABRA",BARCELONA,408,11.8,0.0,7.8,03:49,15.7,13:55,27.0,3.6,8.6,03:32,8.4,973.6,0,969.5,24
2017-01-31,0200E,"BARCELONA, FABRA",BARCELONA,408,11.8,0.0,9.4,20:10,14.2,12:20,26.0,4.4,9.4,20:43,5.8,969.5,0,968.4,-2
2017-02-01,0200E,"BARCELONA, FABRA",BARCELONA,408,11.6,0.0,8.2,23:10,14.9,14:50,26.0,3.9,9.2,03:25,6.5,969.1,-2,967.3,24
2017-02-02,0200E,"BARCELONA, FABRA",BARCELONA,408,10.2,0.0,7.2,06:25,13.3,11:27,27.0,2.2,14.4,19:22,3.0,967.3,0,962.9,15
2017-02-03,0200E,"BARCELONA, FABRA",BARCELONA,408,11.2,0.05,7.4,05:47,14.9,13:46,27.0,6.1,15.3,13:53,4.5,966.8,-2,963.6,12
2017-02-04,0200E,"BARCELONA, FABRA",BARCELONA,408,13.7,0.05,10.4,02:29,17.0,13:21,24.0,6.1,16.4,06:17,5.1,964.5,-2,959.9,6
2017-02-05,0200E,"BARCELONA, FABRA",BARCELONA,408,9.1,0.1,4.6,-2,13.6,01:57,30.0,3.3,17.5,19:25,4.8,962.2,24,956.0,-2
2017-02-06,0200E,"BARCELONA, FABRA",BARCELONA,408,9.4,0.0,4.2,06:49,14.6,14:15,33.0,5.0,19.7,04:37,7.9,968.5,24,962.0,1
