"period","site","variable","mean(2013-2019).vs.mean(2020)","std(2013-2019).vs.std(2020)"
"new.lockdown","es0890a","o3",33.2785930515603,24.988816431173
"pre.lckdwn","es1018a","no",-12.9886038932147,42.1087211750203
"lckdwn","es1018a","no",-74.7964608268998,12.3175366814017
"fases","es1018a","no",-56.3875888052001,14.9152001407101
"normalidad","es1018a","no",-35.4639290599858,13.1957167250701
"new.lockdown","es1018a","no",-44.8177180490547,29.1808269168821
"pre.lckdwn","es1018a","no2",-19.8587125295157,18.0525708374945
"lckdwn","es1018a","no2",-64.1787860760276,8.9957931875152
"fases","es1018a","no2",-51.6246400715164,12.5163191422666
"normalidad","es1018a","no2",-30.4225678175503,13.5798083548622
"new.lockdown","es1018a","no2",-35.5797296252455,18.1321399866162
"pre.lckdwn","es1018a","o3",-13.3284999343961,12.0279493865095
"lckdwn","es1018a","o3",5.56896626729845,1.53676186396753
"fases","es1018a","o3",-4.05957370856652,2.1047237522301
"normalidad","es1018a","o3",-6.772916905018,-2.28381280178297
"new.lockdown","es1018a","o3",12.1700364448027,12.6242265383004
"pre.lckdwn","es1047a","no",-13.121568710363,15.5081223904351
"lckdwn","es1047a","no",-58.2088512332721,10.8573666065186
"fases","es1047a","no",-58.3127817994092,10.4333871251616
"normalidad","es1047a","no",-42.310438815051,18.8055856111033
"new.lockdown","es1047a","no",-13.3060675561076,32.1791001562661
"pre.lckdwn","es1047a","no2",-11.6473275530525,8.28969708265021
"lckdwn","es1047a","no2",-42.4952014638682,4.71882319404216
"fases","es1047a","no2",-30.8906563699359,12.8425514290532
"normalidad","es1047a","no2",-24.7514658809988,17.2985087191296
"new.lockdown","es1047a","no2",17.2731849423882,18.7416171637594
"pre.lckdwn","es1047a","o3",-25.7064895488828,22.8811495598678
"lckdwn","es1047a","o3",-4.4986010953996,12.7350670626162
"fases","es1047a","o3",12.5063339272972,13.4434656594312
"normalidad","es1047a","o3",-4.41038876003307,4.18233888845574
"new.lockdown","es1047a","o3",-6.93743855156699,39.1675894413917
"pre.lckdwn","es1047a","pm10",19.2071928537185,30.269850343324
"lckdwn","es1047a","pm10",-12.4936242830508,19.9331080481164
"fases","es1047a","pm10",-17.596493349044,22.677261562349
"normalidad","es1047a","pm10",-8.28105752443108,27.4298965990549
"new.lockdown","es1047a","pm10",-13.4264634466597,29.0359050006442
"pre.lckdwn","es1096a","no",1.7280054909239,29.6447320404016
"lckdwn","es1096a","no",-59.2904247758542,16.422949685478
"fases","es1096a","no",-42.1082156761162,12.985218353187
"normalidad","es1096a","no",-27.2942536960349,10.6033880107218
"new.lockdown","es1096a","no",-35.3689752179648,38.821754080512
"pre.lckdwn","es1096a","no2",-7.76036519919001,12.4255812837377
"lckdwn","es1096a","no2",-52.667965255417,13.2203067312634
"fases","es1096a","no2",-35.3821389858941,13.3315085484166
"normalidad","es1096a","no2",-12.8642110974582,5.35836883788557
"new.lockdown","es1096a","no2",-17.927921188376,13.1430331256387
"pre.lckdwn","es1096a","o3",-9.46371050248914,28.2846644452085
"lckdwn","es1096a","o3",-12.015321163123,15.6848882857973
"fases","es1096a","o3",-7.50744015064001,10.9752692522108
"normalidad","es1096a","o3",-6.31257149474467,9.6942625332215
"new.lockdown","es1096a","o3",11.1453437041641,32.9081047795139
"pre.lckdwn","es1096a","pm10",24.2293759817777,35.6364914319874
"lckdwn","es1096a","pm10",-8.48984027330264,25.616296873572
"fases","es1096a","pm10",21.4353870822111,23.6700490494144
"normalidad","es1096a","pm10",27.7318540781826,7.62104772315863
"new.lockdown","es1096a","pm10",18.3407098095896,12.1880509290201
"pre.lckdwn","es1096a","pm2.5",0.294098768659631,30.132100748329
"lckdwn","es1096a","pm2.5",-10.8145353299457,21.7648569967466
"fases","es1096a","pm2.5",-32.6451254965122,10.3047355966028
"normalidad","es1096a","pm2.5",-41.3307527538322,4.33239186024435
"new.lockdown","es1096a","pm2.5",-19.4637519421585,17.4524300155084
"pre.lckdwn","es1137a","no",-11.584092275397,35.8406029009109
"lckdwn","es1137a","no",-55.1473964277608,11.4179089018589
"fases","es1137a","no",-40.7986883906147,20.102655491156
"normalidad","es1137a","no",-26.0481458836225,27.0493677603499
"new.lockdown","es1137a","no",-37.9727941368013,33.9712752887659
"pre.lckdwn","es1137a","no2",-0.0732375949083113,25.4151012393669
"lckdwn","es1137a","no2",-44.0866141179554,16.2502930919421
"fases","es1137a","no2",-34.9244766358481,18.6146125634826
"normalidad","es1137a","no2",-15.5299250298501,20.8710976242241
"new.lockdown","es1137a","no2",-37.5466465821781,16.6892242487061
"pre.lckdwn","es1137a","o3",-15.0401865530641,19.5657089554645
"lckdwn","es1137a","o3",-7.00208113535013,11.9350777344727
"fases","es1137a","o3",-12.4707288608258,10.6230400233896
"normalidad","es1137a","o3",-24.3282939693871,16.5160126265793
"new.lockdown","es1137a","o3",-23.8789651542985,15.6099228591538
"pre.lckdwn","es1137a","pm10",-12.2925343156992,27.5702794210372
"lckdwn","es1137a","pm10",-29.7195086502786,18.5809131645989
"fases","es1137a","pm10",-22.973436596367,17.3548690146146
"normalidad","es1137a","pm10",-21.1027935836768,3.83006930179653
"new.lockdown","es1137a","pm10",1.81963174677539,20.4829081525341
"pre.lckdwn","es1137a","pm2.5",12.9021227796835,26.7392068050767
"lckdwn","es1137a","pm2.5",-0.658334915647141,18.3509238360789
"fases","es1137a","pm2.5",-4.09444533473544,17.7616700934986
"normalidad","es1137a","pm2.5",-26.0914708719875,14.2908314966503
"new.lockdown","es1137a","pm2.5",-21.3518770328138,19.3607376023862
"pre.lckdwn","es1160a","no",-29.3132715327193,52.8312959353653
"lckdwn","es1160a","no",0.0792276892090106,-18.9192390302675
"fases","es1160a","no",50.9433910943402,-5.42152573698273
"normalidad","es1160a","no",40.9168935823191,-30.288496667335
"new.lockdown","es1160a","no",-6.32347808541428,11.3210899321344
"pre.lckdwn","es1160a","no2",-11.5908001379624,22.1221302059469
"lckdwn","es1160a","no2",-45.3759642501938,11.6904114891894
"fases","es1160a","no2",-38.1764157506354,15.3096281227871
"normalidad","es1160a","no2",-14.6361183610506,14.766573574004
"new.lockdown","es1160a","no2",-18.7567461209727,23.160849767043
"pre.lckdwn","es1160a","pm10",62.7658831410793,35.6553876353404
"lckdwn","es1160a","pm10",-16.1447642025377,31.0080122271205
"fases","es1160a","pm10",-7.94015118115515,29.5981325403118
"normalidad","es1160a","pm10",-15.0012239802639,31.11983345252
"new.lockdown","es1160a","pm10",-34.3559289671297,39.2938170764723
"pre.lckdwn","es1161a","no",-9.42935204402688,47.1269744609916
"lckdwn","es1161a","no",-69.4509832039401,13.8425172474755
"fases","es1161a","no",-50.2221808394128,14.1739707864836
"normalidad","es1161a","no",-31.1279757384409,11.2590492776768
"new.lockdown","es1161a","no",-51.1868652709504,22.6982863579
"pre.lckdwn","es1161a","no2",-10.7316009388014,19.8098358527561
"lckdwn","es1161a","no2",-43.8413646654651,6.73731973338221
"fases","es1161a","no2",-37.6955361325348,14.3313827270104
"normalidad","es1161a","no2",-24.5810310454956,12.5494841033551
"new.lockdown","es1161a","no2",-28.268361242977,15.5459696686483
"pre.lckdwn","es1161a","pm10",30.3014022794971,52.5967697407462
"lckdwn","es1161a","pm10",-7.52132273637875,59.0084938132416
"fases","es1161a","pm10",-24.0567792667246,17.8818317834515
"normalidad","es1161a","pm10",-23.5597609193279,20.7825955040028
"new.lockdown","es1161a","pm10",-37.7015264091259,22.9127180869631
"pre.lckdwn","es1181a","no",-0.0126583956002078,53.5611091452861
"lckdwn","es1181a","no",-67.9565270324881,12.2440517952615
"fases","es1181a","no",-39.1780498794276,18.2361398593221
"normalidad","es1181a","no",-33.7946231498459,30.112510147219
"new.lockdown","es1181a","no",-36.2875002445881,54.9955846929507
"pre.lckdwn","es1181a","no2",-12.8270014962336,28.8994006988878
"lckdwn","es1181a","no2",-66.2548515595786,14.0364767407992
"fases","es1181a","no2",-42.608753015557,17.9436611438939
"normalidad","es1181a","no2",-13.9287010548329,21.2177297144322
"new.lockdown","es1181a","no2",-11.3585052367573,30.6082912780512
"pre.lckdwn","es1181a","o3",-28.5209372036672,19.0946059137514
"lckdwn","es1181a","o3",0.352459708925194,12.017119521899
"fases","es1181a","o3",-7.99362885973015,10.3881250856232
"normalidad","es1181a","o3",-4.31772803771161,7.36226106078222
"new.lockdown","es1181a","o3",13.9873606300859,18.5475781316842
"pre.lckdwn","es1181a","pm10",30.0377886769581,32.7135227624859
"lckdwn","es1181a","pm10",-43.9715012921789,11.767627981744
"fases","es1181a","pm10",-35.9813964788791,42.2809842427659
"normalidad","es1181a","pm10",40.1431462125434,33.3054894894709
"new.lockdown","es1181a","pm10",-37.1412446644978,22.3825350478852
"pre.lckdwn","es1181a","pm2.5",92.8658991246904,46.4541469655158
"lckdwn","es1181a","pm2.5",5.00450770019842,24.0118878565396
"fases","es1181a","pm2.5",-36.1295207916038,44.6543773198992
"normalidad","es1181a","pm2.5",6.11101587050193,34.3884622961401
"new.lockdown","es1181a","pm2.5",-32.7333309600422,28.9057141403289
"pre.lckdwn","es1225a","no",-10.8384736194653,32.5773305243795
"lckdwn","es1225a","no",-70.2168060907318,5.90379907219211
"fases","es1225a","no",-83.1009197613886,-4.74702066291098
"normalidad","es1225a","no",-47.3325059937013,9.24782104834744
"new.lockdown","es1225a","no",-42.2479961526697,27.4646051116683
"pre.lckdwn","es1225a","no2",-12.7329992660704,14.7273764370313
"lckdwn","es1225a","no2",-48.8351922893962,5.14895173698726
"fases","es1225a","no2",-40.6250860546129,9.77503587291442
"normalidad","es1225a","no2",-24.4504122649178,11.7957713753264
"new.lockdown","es1225a","no2",-30.0858508286134,18.6840102658333
"pre.lckdwn","es1225a","o3",-23.6809211067571,15.2107199842509
"lckdwn","es1225a","o3",-12.0098122462807,3.51157803711503
"fases","es1225a","o3",-16.5048901463373,4.71357325473966
"normalidad","es1225a","o3",-0.539107397939189,-6.42426813988417
"new.lockdown","es1225a","o3",-2.39315396440647,17.8199327378899
"pre.lckdwn","es1239a","no",-9.15391868353708,43.1438179369077
"lckdwn","es1239a","no",-76.0988684873243,5.88862321977478
"fases","es1239a","no",-64.9933944889151,9.65397839575517
"normalidad","es1239a","no",-45.1352043345579,12.237038089659
"new.lockdown","es1239a","no",-58.8012961366224,22.7462471604705
"pre.lckdwn","es1239a","no2",-17.6935052155019,17.9690572362989
"lckdwn","es1239a","no2",-76.0413168340883,7.966192514454
"fases","es1239a","no2",-62.5238221592692,12.3180079156639
"normalidad","es1239a","no2",-39.5090120388094,12.4616089046871
"new.lockdown","es1239a","no2",-52.696547961842,18.5459372866421
"pre.lckdwn","es1239a","o3",-29.7144506029729,12.2477698018436
"lckdwn","es1239a","o3",6.70640664534389,10.2005399971145
"fases","es1239a","o3",18.1800575810572,13.617089517951
"normalidad","es1239a","o3",22.9372454778035,13.5604776804922
"new.lockdown","es1239a","o3",29.8506958568989,38.0317930693761
"pre.lckdwn","es1239a","pm2.5",29.4332510578521,40.4046390397235
"lckdwn","es1239a","pm2.5",-27.7113020933398,10.6781927062794
"fases","es1239a","pm2.5",-44.6730674440169,21.3580985789762
"normalidad","es1239a","pm2.5",-28.8272114358066,12.2279345658821
"new.lockdown","es1239a","pm2.5",-51.0991454901442,18.4118947270437
"pre.lckdwn","es1244a","no",-27.5745578766995,33.9055435615471
"lckdwn","es1244a","no",-69.8289652518874,24.8351296073538
"fases","es1244a","no",-60.4060363866473,15.6072195253589
"normalidad","es1244a","no",-57.4832508064586,21.0694486605993
"new.lockdown","es1244a","no",-60.7509555668957,28.9540776651904
"pre.lckdwn","es1244a","no2",-23.0393754038921,15.6707621593519
"lckdwn","es1244a","no2",-51.9348044228959,14.4984535890007
"fases","es1244a","no2",-42.1084894991097,17.2269150047885
"normalidad","es1244a","no2",-33.4356323542358,15.2415288567393
"new.lockdown","es1244a","no2",-32.1379849576998,20.1259466762761
"pre.lckdwn","es1244a","pm10",16.8454214089051,35.9764248138907
"lckdwn","es1244a","pm10",2.92720512606171,28.1951397778274
"fases","es1244a","pm10",-6.16749226468616,20.1204005772837
"normalidad","es1244a","pm10",-19.9541576355749,22.6149624815241
"new.lockdown","es1244a","pm10",-9.81999921059925,35.2307314948773
"pre.lckdwn","es1262a","no",-24.0059206812909,27.8697664266348
"lckdwn","es1262a","no",-68.6520332529708,11.7566473382251
"fases","es1262a","no",-49.0330409130758,14.683279014386
"normalidad","es1262a","no",-31.0677148440604,11.6878709337967
"new.lockdown","es1262a","no",-43.3821525286944,25.9229983251102
"pre.lckdwn","es1262a","no2",-24.9222482989216,17.4258066484738
"lckdwn","es1262a","no2",-63.6604479349093,9.81438841133732
"fases","es1262a","no2",-49.4958087273467,13.5882975496492
"normalidad","es1262a","no2",-24.3374338097897,12.2158253560551
"new.lockdown","es1262a","no2",-33.2949783010456,16.6443092044399
"pre.lckdwn","es1262a","o3",-18.465434434663,6.72633619606818
"lckdwn","es1262a","o3",2.70141558889549,3.79860021310375
"fases","es1262a","o3",2.39071269253933,1.09649948601585
"normalidad","es1262a","o3",-1.99012371558529,-2.05101081277981
"new.lockdown","es1262a","o3",12.8960542337325,16.9762698523491
"pre.lckdwn","es1268a","no",-15.3587896387706,18.5284378962109
"lckdwn","es1268a","no",-55.3391115175558,7.05767620503868
"fases","es1268a","no",-44.1197649812863,0.435253262620061
"normalidad","es1268a","no",-18.5633775456073,6.42701329416756
"new.lockdown","es1268a","no",-57.5385671499011,18.8858227518297
"pre.lckdwn","es1268a","no2",4.86740897214912,18.6106796830839
"lckdwn","es1268a","no2",-39.6915031737488,13.073109396915
"fases","es1268a","no2",-5.57158322472696,17.250003357102
"normalidad","es1268a","no2",-41.5826028795589,6.12451966226057
"new.lockdown","es1268a","no2",-63.8224022765736,9.01872954595739
"pre.lckdwn","es1268a","o3",18.2269562009304,16.6759905365147
"lckdwn","es1268a","o3",20.7133636872932,16.740150174115
"fases","es1268a","o3",17.5240986989711,8.28623106582832
"normalidad","es1268a","o3",18.9261912160385,7.04590050987959
"new.lockdown","es1268a","o3",33.2351577876813,28.2350857657514
"pre.lckdwn","es1268a","pm10",-4.58826427900772,38.5553960354449
"lckdwn","es1268a","pm10",-4.83150534100711,28.326610807297
"fases","es1268a","pm10",-3.07088578961456,16.0003020003764
"normalidad","es1268a","pm10",2.94570478832634,28.0305052836484
"new.lockdown","es1268a","pm10",-17.0945982031109,23.5577486915155
"pre.lckdwn","es1269a","no",23.1212929136439,44.4962921213501
"lckdwn","es1269a","no",-69.0756912824275,11.7609121932664
"fases","es1269a","no",-57.1186326665374,15.3685540145801
"normalidad","es1269a","no",-15.5967412113921,49.1526589899899
"new.lockdown","es1269a","no",-37.8322833734723,30.1182321771288
"pre.lckdwn","es1269a","no2",-5.87245095651389,10.9911743215135
"lckdwn","es1269a","no2",-48.0037097795493,18.531722395265
"fases","es1269a","no2",-40.6450614751242,19.9506568555154
"normalidad","es1269a","no2",-18.4870509977363,15.0074921093606
"new.lockdown","es1269a","no2",-27.1771742585718,12.3112861606631
"pre.lckdwn","es1269a","o3",-11.6948581292928,29.2045052430609
"lckdwn","es1269a","o3",3.85883321284247,14.8953498457594
"fases","es1269a","o3",-3.171936096896,9.03308594835678
"normalidad","es1269a","o3",1.1772901683211,12.4796129013994
"new.lockdown","es1269a","o3",3.54591587004465,42.0509492765996
"pre.lckdwn","es1269a","pm10",18.319622082258,38.7545440267747
"lckdwn","es1269a","pm10",-10.5951263689269,22.8941082461241
"fases","es1269a","pm10",-10.9504097941695,21.0174714222769
"normalidad","es1269a","pm10",-16.1606101151241,19.4074206764894
"new.lockdown","es1269a","pm10",-27.27496812523,19.9182226983872
"pre.lckdwn","es1269a","pm2.5",-11.8282459595242,-9.99049594590391
"lckdwn","es1269a","pm2.5",-4.49630046351837,9.42785328466381
"fases","es1269a","pm2.5",-24.5695147217771,11.6836063617503
"normalidad","es1269a","pm2.5",-29.8208405853244,13.1651754022155
"new.lockdown","es1269a","pm2.5",-25.8652489608688,5.4645492541696
"pre.lckdwn","es1270a","no",1.16771642338495,50.0563458702488
"lckdwn","es1270a","no",-67.1595292508702,11.5172906492152
"fases","es1270a","no",-43.3197239656799,22.2950248417465
"normalidad","es1270a","no",-15.4034259788472,15.8659541023207
"new.lockdown","es1270a","no",-28.9157519491182,47.6898064541429
"pre.lckdwn","es1270a","no2",-6.2748514658877,15.009163256896
"lckdwn","es1270a","no2",-61.037732194596,11.4154271609306
"fases","es1270a","no2",-49.7296359803209,11.7261233789324
"normalidad","es1270a","no2",-24.6934428297238,16.0893974010668
"new.lockdown","es1270a","no2",-19.4267256551547,16.3230662980644
"pre.lckdwn","es1270a","o3",2.27597092053588,28.50804873923
"lckdwn","es1270a","o3",13.42192295713,14.9222383928924
"fases","es1270a","o3",-13.6605356728037,6.7185408154967
"normalidad","es1270a","o3",5.57349020658184,12.3488489781958
"new.lockdown","es1270a","o3",31.7268818487969,43.7374192329661
"pre.lckdwn","es1270a","pm10",31.7042820723466,46.7968144386554
"lckdwn","es1270a","pm10",-14.2013617883553,26.340544127947
"fases","es1270a","pm10",-10.424780595693,16.1746280784054
"normalidad","es1270a","pm10",-13.2825356462812,25.4469077470235
"new.lockdown","es1270a","pm10",-13.9807077926079,33.0379569195689
"pre.lckdwn","es1271a","no",5.39987014112474,55.1719535903946
"lckdwn","es1271a","no",-60.7266622783193,19.3977721927175
"fases","es1271a","no",-42.6425849093575,32.0179286789003
"normalidad","es1271a","no",-24.1331874732533,22.7205156384505
"new.lockdown","es1271a","no",-39.3643314089786,40.7513364814691
"pre.lckdwn","es1271a","no2",-13.3218402108235,16.0263888548303
"lckdwn","es1271a","no2",-52.7809992981399,12.9403986562469
"fases","es1271a","no2",-40.7795064573951,11.0504874120971
"normalidad","es1271a","no2",-22.850590631834,10.9553669522628
"new.lockdown","es1271a","no2",-28.340149815599,15.5947485431799
"pre.lckdwn","es1271a","o3",-18.3145378675621,24.4608485174449
"lckdwn","es1271a","o3",6.40624233417202,13.7100740843274
"fases","es1271a","o3",4.56775576805365,10.0135644182265
"normalidad","es1271a","o3",-2.19527954317362,12.2111781957226
"new.lockdown","es1271a","o3",7.92086416447233,35.4666787820194
"pre.lckdwn","es1271a","pm10",18.3988101675366,25.0174451047038
"lckdwn","es1271a","pm10",-12.2350876579738,13.7378426920611
"fases","es1271a","pm10",-6.53630636310281,10.6383058409082
"normalidad","es1271a","pm10",-18.5360301954638,7.86024516808926
"new.lockdown","es1271a","pm10",10.254762630793,21.5334093243238
"pre.lckdwn","es1272a","no",14.7270016889321,50.1122493970054
"lckdwn","es1272a","no",-70.6121185557995,15.1410908875708
"fases","es1272a","no",-55.2525211540291,18.4752462340626
"normalidad","es1272a","no",-36.1646067983027,26.5875251753898
"new.lockdown","es1272a","no",-36.7776831650197,36.8415872253331
"pre.lckdwn","es1272a","no2",-7.52520960754961,16.510108049925
"lckdwn","es1272a","no2",-48.8903452053799,11.4251224829881
"fases","es1272a","no2",-31.8052627040899,11.5976155675803
"normalidad","es1272a","no2",-23.7362482785109,11.2856552595867
"new.lockdown","es1272a","no2",-26.5123934890988,15.2125586163341
"pre.lckdwn","es1272a","o3",33.8584839183002,22.3040584079142
"lckdwn","es1272a","o3",40.8275277649644,14.5579710412939
"fases","es1272a","o3",32.2411253720587,5.02346197792379
"normalidad","es1272a","o3",45.4133702438437,11.4065825687896
"new.lockdown","es1272a","o3",32.1206496220406,39.8255273016371
"pre.lckdwn","es1272a","pm10",38.7866461684464,32.9308494312618
"lckdwn","es1272a","pm10",-4.35190515237401,18.6442105448189
"fases","es1272a","pm10",-1.46662503419795,12.1040388114874
"normalidad","es1272a","pm10",-2.26500245491557,10.7807884044009
"new.lockdown","es1272a","pm10",14.6903011237324,20.113310090596
"pre.lckdwn","es1272a","pm2.5",31.668019401171,13.5133324105053
"lckdwn","es1272a","pm2.5",14.5450191992537,11.5177075611222
"fases","es1272a","pm2.5",1.8600179018482,16.9249670097992
"normalidad","es1272a","pm2.5",-12.8413954504508,6.79867222684026
"new.lockdown","es1272a","pm2.5",-19.453762425455,18.9784703136214
"pre.lckdwn","es1340a","no",3.48042705945724,54.2067140247407
"lckdwn","es1340a","no",-82.0484357502784,7.88545153756182
"fases","es1340a","no",-69.6867976627657,10.4905999692697
"normalidad","es1340a","no",-36.7133484429409,16.3385849408242
"new.lockdown","es1340a","no",NA,NA
"pre.lckdwn","es1340a","no2",-17.0689177620484,23.6066324439797
"lckdwn","es1340a","no2",-62.1021743457328,8.44761851268714
"fases","es1340a","no2",-55.1037166354384,17.3349168061745
"normalidad","es1340a","no2",-19.5232616224671,25.1884458109116
"new.lockdown","es1340a","no2",NA,NA
"pre.lckdwn","es1340a","pm10",-3.80165232904189,-28.9931208321857
"lckdwn","es1340a","pm10",-10.9189046816887,62.9013899275799
"fases","es1340a","pm10",-19.5860228253777,17.0813404169706
"normalidad","es1340a","pm10",-7.37624611792696,19.5046697709912
"new.lockdown","es1340a","pm10",-25.480783029748,22.8790879468585
"pre.lckdwn","es1358a","no",5.37798446600369,48.0239476604548
"lckdwn","es1358a","no",-60.1002927166614,8.78670253544501
"fases","es1358a","no",-30.5078055312105,6.74525316249191
"normalidad","es1358a","no",-21.7900894027801,15.6277031749615
"new.lockdown","es1358a","no",-39.6999154858131,31.4446131169226
"pre.lckdwn","es1358a","no2",-24.012310476547,14.3056600448765
