"usaf","wban","station","ctry","st","call","latitude","longitude","elev.m.","begin","end","code","longr","latr","dist","siteAQ"
82270,99999,"TORREJON","SP",NA,"LETO",40.497,-3.446,617.5,"1957-10-01","2021-05-30","082270-99999",-0.0601440460237246,0.706805987180144,6.08118610888605,"es1563a"
82210,99999,"BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,"1931-01-02","2021-05-30","082210-99999",-0.0622558944186377,0.706753627302584,8.38569957966097,"es1564a"
82230,99999,"CUATRO VIENTOS","SP",NA,"LEVS",40.371,-3.785,691,"1973-07-19","2021-05-30","082230-99999",-0.0660607121879854,0.704606872322631,4.33502688771549,"es1567a"
80230,99999,"SANTANDER","SP",NA,NA,43.483,-3.8,59,"1973-01-01","2021-05-30","080230-99999",-0.0663225115757845,0.758921518644694,2.5901401585729,"es1580a"
83060,99999,"PALMA DE MALLORCA","SP",NA,"LEPA",39.55,2.733,8,"1973-01-01","2021-05-30","083060-99999",0.047699848457005,0.690277719163757,6.98215355633658,"es1610a"
82020,99999,"SALAMANCA","SP",NA,"LESA",40.952,-5.502,791,"1973-01-01","2021-05-30","082020-99999",-0.096028015444728,0.714747235276718,14.0382640074482,"es1618a"
82840,99999,"VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,"1973-01-01","2021-05-30","082840-99999",-0.00841248699461267,0.689213068320041,5.96089096841238,"es1625a"
81410,99999,"VALLADOLID","SP",NA,NA,41.633,-4.75,735,"1973-01-01","2021-05-30","081410-99999",-0.0829031394697306,0.726632927482799,2.15295833302528,"es1631a"
81410,99999,"VALLADOLID","SP",NA,NA,41.633,-4.75,735,"1973-01-01","2021-05-30","081410-99999",-0.0829031394697306,0.726632927482799,1.41122334887268,"es1632a"
83590,99999,"ALICANTE","SP",NA,NA,38.367,-0.5,82,"1973-01-01","2021-05-30","083590-99999",-0.00872664625997165,0.669630474112664,2.58633915938344,"es1635a"
80800,99999,"VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,"1973-01-01","2021-05-30","080800-99999",-0.0475427688243255,0.748449543132728,6.72487265476337,"es1673a"
80270,99999,"SAN SEBASTIAN/IGUELDO","SP",NA,NA,43.3,-2.033,259,"1973-01-01","2021-05-30","080270-99999",-0.0354825436930447,0.755727566113545,2.07135560163817,"es1697a"
80850,99999,"PAMPLONA","SP",NA,"LEPP",42.77,-1.646,458.4,"1973-03-13","2021-05-30","080850-99999",-0.0287281194878267,0.746477321077975,4.72010991495708,"es1740a"
82860,99999,"CASTELLON-ALMAZORA","SP",NA,NA,39.95,-0.067,43.5,"1973-01-01","2021-05-30","082860-99999",-0.0011693705988362,0.697259036171735,5.55344335965475,"es1834a"
81600,99999,"ZARAGOZA AB","SP",NA,"LEZG",41.666,-1.042,263,"1973-01-01","2021-05-30","081600-99999",-0.0181863308057809,0.727208886135957,15.1915626672097,"es1836a"
81600,99999,"ZARAGOZA AB","SP",NA,"LEZG",41.666,-1.042,263,"1973-01-01","2021-05-30","081600-99999",-0.0181863308057809,0.727208886135957,13.2815431951498,"es1837a"
83600,99999,"ALICANTE","SP",NA,"LEAL",38.282,-0.558,43.3,"1973-01-01","2021-05-30","083600-99999",-0.00973893722612836,0.668146944248469,14.1536984166709,"es1849a"
82840,99999,"VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,"1973-01-01","2021-05-30","082840-99999",-0.00841248699461267,0.689213068320041,12.4527162501011,"es1912a"
82230,99999,"CUATRO VIENTOS","SP",NA,"LEVS",40.371,-3.785,691,"1973-07-19","2021-05-30","082230-99999",-0.0660607121879854,0.704606872322631,11.0778912038643,"es1938a"
82210,99999,"BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,"1931-01-02","2021-05-30","082210-99999",-0.0622558944186377,0.706753627302584,10.7294986189827,"es1940a"
82230,99999,"CUATRO VIENTOS","SP",NA,"LEVS",40.371,-3.785,691,"1973-07-19","2021-05-30","082230-99999",-0.0660607121879854,0.704606872322631,5.82719466660377,"es1943a"
82840,99999,"VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,"1973-01-01","2021-05-30","082840-99999",-0.00841248699461267,0.689213068320041,8.51719675399094,"es1970a"
81840,99999,"GIRONA","SP",NA,"LEGE",41.901,2.761,142.6,"1973-11-29","2021-05-30","081840-99999",0.0481885406475634,0.731310409878144,9.55908202951328,"es1999a"
81410,99999,"VALLADOLID","SP",NA,NA,41.633,-4.75,735,"1973-01-01","2021-05-30","081410-99999",-0.0829031394697306,0.726632927482799,0.852878840517969,"es2010a"
84820,99999,"MALAGA","SP",NA,"LEMG",36.675,-4.499,15.8,"1973-01-01","2021-05-30","084820-99999",-0.0785223630472249,0.64009950316892,37.2639097956765,"es2030a"
84820,99999,"MALAGA","SP",NA,"LEMG",36.675,-4.499,15.8,"1973-01-01","2021-05-30","084820-99999",-0.0785223630472249,0.64009950316892,5.93561697077192,"es2031a"
