"latitud","provincia","altitud","indicativo","nombre","indsinop","longitud","dist","siteAQ"
38.2827777777778,"ALICANTE",43,"8019","ALICANTE-ELCHE AEROPUERTO",8360,-0.570833333333333,13.0701180646452,"es1849a"
39.485,"VALENCIA",56,"8414A","VALENCIA AEROPUERTO",8284,-0.474722222222222,11.7311545227778,"es1912a"
40.4119444444444,"MADRID",667,"3195","MADRID, RETIRO",8222,-3.67805555555556,3.25740656984523,"es1938a"
40.4119444444444,"MADRID",667,"3195","MADRID, RETIRO",8222,-3.67805555555556,6.05497150781954,"es1940a"
40.4119444444444,"MADRID",667,"3195","MADRID, RETIRO",8222,-3.67805555555556,4.5788062967141,"es1943a"
39.485,"VALENCIA",56,"8414A","VALENCIA AEROPUERTO",8284,-0.474722222222222,7.75380597272629,"es1970a"
41.9116666666667,"GIRONA",143,"0367","GIRONA AEROPUERTO",8184,2.76333333333333,8.43556345461652,"es1999a"
41.6408333333333,"VALLADOLID",735,"2422","VALLADOLID",8141,-4.75444444444444,1.66834468228122,"es2010a"
36.5386111111111,"MALAGA",8,"6084X","FUENGIROLA",8480,-4.61833333333333,22.0769951523712,"es2030a"
36.7177777777778,"MALAGA",54,"6156X","MÁLAGA, CENTRO METEOROLÓGICO",8481,-4.48166666666667,3.3860383929004,"es2031a"
