"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,16.071079929175,"es1563a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,8.38569957966097,"es1564a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,23.3738965031117,"es1567a"
"600150","99999","TENERIFE NORTE","SP",NA,"GCXO",28.483,-16.342,631.9,1947-01-01,2021-03-06,"600150-99999",-0.285221706360913,0.497122130845545,97.1093059685497,"es1573a"
"080210","99999","SANTANDER","SP",NA,"LEXJ",43.427,-3.82,4.9,1973-01-01,2021-03-06,"080210-99999",-0.0666715774261834,0.757944134263578,3.84332775466891,"es1580a"
"081810","99999","BARCELONA","SP",NA,"LEBL",41.297,2.078,3.7,1973-01-01,2021-03-06,"081810-99999",0.0362679418564422,0.720768621196098,198.153209787708,"es1610a"
"081300","99999","ZAMORA","SP",NA,NA,41.517,-5.733,667,1973-01-01,2021-03-04,"081300-99999",-0.100059726016835,0.724608345550486,60.0717412854206,"es1618a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-03-06,"082840-99999",-0.00841248699461267,0.689213068320041,5.96089096841238,"es1625a"
"081300","99999","ZAMORA","SP",NA,NA,41.517,-5.733,667,1973-01-01,2021-03-04,"081300-99999",-0.100059726016835,0.724608345550486,84.6175356615764,"es1631a"
"081300","99999","ZAMORA","SP",NA,NA,41.517,-5.733,667,1973-01-01,2021-03-04,"081300-99999",-0.100059726016835,0.724608345550486,82.8581507292079,"es1632a"
"083590","99999","ALICANTE","SP",NA,NA,38.367,-0.5,82,1973-01-01,2021-03-06,"083590-99999",-0.00872664625997165,0.669630474112664,2.58633915938344,"es1635a"
"080250","99999","BILBAO","SP",NA,"LEBB",43.301,-2.911,42.1,1973-01-01,2021-03-06,"080250-99999",-0.0508065345255549,0.755745019406065,54.751670351698,"es1673a"
"076000","99999","SOCOA","FR",NA,NA,43.4,-1.683,25,1984-06-16,2021-03-06,"076000-99999",-0.0293738913110646,0.757472895365539,28.360862659443,"es1697a"
"076000","99999","SOCOA","FR",NA,NA,43.4,-1.683,25,1984-06-16,2021-03-06,"076000-99999",-0.0293738913110646,0.757472895365539,65.451308938405,"es1740a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-03-06,"082840-99999",-0.00841248699461267,0.689213068320041,67.8908938409187,"es1834a"
"080940","99999","HUESCA-PIRINEOS","SP",NA,"LEHC",42.083,-0.333,554,1973-01-02,2021-03-06,"080940-99999",-0.00581194640914112,0.734486909116774,65.7332326448619,"es1836a"
"080940","99999","HUESCA-PIRINEOS","SP",NA,"LEHC",42.083,-0.333,554,1973-01-02,2021-03-06,"080940-99999",-0.00581194640914112,0.734486909116774,66.4610107981835,"es1837a"
"083590","99999","ALICANTE","SP",NA,NA,38.367,-0.5,82,1973-01-01,2021-03-06,"083590-99999",-0.00872664625997165,0.669630474112664,22.4471050741635,"es1849a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-03-06,"082840-99999",-0.00841248699461267,0.689213068320041,12.4527162501011,"es1912a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,12.0492201207643,"es1938a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,10.7294986189827,"es1940a"
"082210","99999","BARAJAS","SP",NA,"LEMD",40.494,-3.567,609.6,1931-01-02,2021-03-06,"082210-99999",-0.0622558944186377,0.706753627302584,17.6724425612685,"es1943a"
"082840","99999","VALENCIA","SP",NA,"LEVC",39.489,-0.482,68.6,1973-01-01,2021-03-06,"082840-99999",-0.00841248699461267,0.689213068320041,8.51719675399094,"es1970a"
"077470","99999","RIVESALTES","FR",NA,"LFMP",42.74,2.871,43.9,1929-08-01,2021-03-06,"077470-99999",0.0501084028247572,0.745953722302376,85.0278243506079,"es1999a"
"081300","99999","ZAMORA","SP",NA,NA,41.517,-5.733,667,1973-01-01,2021-03-04,"081300-99999",-0.100059726016835,0.724608345550486,83.5071974620974,"es2010a"
"083970","99999","MORON AB","SP",NA,"LEMO",37.175,-5.616,86.9,1958-01-02,2021-03-06,"083970-99999",-0.0980176907920016,0.648826149428892,99.7056126945177,"es2030a"
"083970","99999","MORON AB","SP",NA,"LEMO",37.175,-5.616,86.9,1958-01-02,2021-03-06,"083970-99999",-0.0980176907920016,0.648826149428892,116.260151975239,"es2031a"
