"site","start_dt","end_dt","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_6","precip","precip_12","pwc"
"080270-99999",2013-01-01,2021-01-01,3,3,3,3,3,3,3,3,3,3,Inf,3,3,6,Inf,6,3,12,0
"080250-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080230-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,177,1,1,3,177,1,1,1,0
"080210-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080150-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,3,55149,1,1,3,55149,1,1,1,0
"080144-99999",2013-01-01,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"080143-99999",2013-05-06,2020-12-31,1,1,1,Inf,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"080140-99999",2013-01-01,2020-12-21,3,3,3,3,3,3,3,3,3,3,Inf,3,3,3,Inf,6,3,12,0
"080110-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,24,0
"080020-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,0
"080010-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,2,1,3,Inf,1,1,81,Inf,1,1,1,0
"077490-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,0,1,0,0
"076000-99999",2013-01-01,2020-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
