"code","date","ws","wd"
"082210-99999",2013-01-01,1.20208333333333,137.550990708567
"082210-99999",2013-01-02,4.02708333333333,9.44044165054849
"082210-99999",2013-01-03,1.34166666666667,10.6151631692468
"082210-99999",2013-01-04,1.425,347.158708722707
"082210-99999",2013-01-05,1.35625,3.90740812181229
"082210-99999",2013-01-06,1.46666666666667,21.0366641293503
"082210-99999",2013-01-07,1.20694444444444,2.6503785405187
"082210-99999",2013-01-08,1.58125,30.469133024866
"082210-99999",2013-01-09,1.09791666666667,20.2026886788472
"082210-99999",2013-01-10,1.03333333333333,344.06406086208
"082210-99999",2013-01-11,1.48840579710145,277.049075030346
"082210-99999",2013-01-12,5.07256944444444,228.730720354461
"082210-99999",2013-01-13,5.71458333333333,279.128233680542
"082210-99999",2013-01-14,3.88125,269.67830767704
"082210-99999",2013-01-15,6.61041666666667,271.436050285652
"082210-99999",2013-01-16,6.73229166666667,236.573073294093
"082210-99999",2013-01-17,4.49791666666667,263.609464586921
"082210-99999",2013-01-18,7.87291666666667,225.164800524666
"082210-99999",2013-01-19,7.07083333333333,205.953500553901
"082210-99999",2013-01-20,5.75416666666667,250.494997478489
"082210-99999",2013-01-21,5.74375,272.281779997856
"082210-99999",2013-01-22,4.33680555555556,232.969857439255
"082210-99999",2013-01-23,5.99166666666667,273.381675340576
"082210-99999",2013-01-24,5.23958333333333,278.406883774074
"082210-99999",2013-01-25,1.92708333333333,191.438364897272
"082210-99999",2013-01-26,2.56388888888889,18.2718680639955
"082210-99999",2013-01-27,3.48125,249.436325362254
"082210-99999",2013-01-28,2.59166666666667,207.564361133765
"082210-99999",2013-01-29,1.16666666666667,345.662011765822
"082210-99999",2013-01-30,1.08541666666667,5.51385597002294
"082210-99999",2013-01-31,1.32708333333333,330.552065130057
"082210-99999",2013-02-01,3.73715277777778,221.802106843999
"082210-99999",2013-02-02,7.7375,320.684316576072
"082210-99999",2013-02-03,6.5875,356.839512591509
"082210-99999",2013-02-04,1.39375,202.788213588874
"082210-99999",2013-02-05,2.78333333333333,286.479547586519
"082210-99999",2013-02-06,7.26666666666667,304.621332211127
"082210-99999",2013-02-07,3.41875,351.151442884128
"082210-99999",2013-02-08,3.78333333333333,354.686816236788
"082210-99999",2013-02-09,2.60416666666667,349.44425598814
"082210-99999",2013-02-10,5.48784722222222,242.866644426365
"082210-99999",2013-02-11,6.75625,282.282215444228
"082210-99999",2013-02-12,2.85,271.908481651278
"082210-99999",2013-02-13,1.09166666666667,87.298361972075
"082210-99999",2013-02-14,1.35416666666667,68.8319265470652
"082210-99999",2013-02-15,1.4875,340.872573419171
"082210-99999",2013-02-16,1.44375,331.286414084004
"082210-99999",2013-02-17,2.36041666666667,235.921651662023
"082210-99999",2013-02-18,1.94583333333333,170.306127567431
"082210-99999",2013-02-19,3.49583333333333,140.257106391894
"082210-99999",2013-02-20,2.41041666666667,225.464202151016
"082210-99999",2013-02-21,3.83611111111111,224.738517053766
"082210-99999",2013-02-22,5.25416666666667,231.916193032038
"082210-99999",2013-02-23,6.80208333333333,3.02805334760777
"082210-99999",2013-02-24,3.29513888888889,330.662793093264
"082210-99999",2013-02-25,4.59791666666667,4.6338971479148
"082210-99999",2013-02-26,2.45833333333333,350.154897420194
"082210-99999",2013-02-27,2.28402777777778,89.4863339456281
"082210-99999",2013-02-28,5.78541666666667,24.1330319030054
"082210-99999",2013-03-01,3.13125,20.8968746614123
"082210-99999",2013-03-02,1.19166666666667,3.27667000724174
"082210-99999",2013-03-03,2.61458333333333,133.098488262851
"082210-99999",2013-03-04,3.54791666666667,116.847739789372
"082210-99999",2013-03-05,2.02013888888889,154.11903087409
"082210-99999",2013-03-06,3.93541666666667,229.682913570414
"082210-99999",2013-03-07,6.06222222222222,202.374179244505
"082210-99999",2013-03-08,3.83368055555556,208.769074960258
"082210-99999",2013-03-09,4.26666666666667,219.296393932964
"082210-99999",2013-03-10,6.19895833333333,232.163663937769
"082210-99999",2013-03-11,7.26041666666667,235.988455752968
"082210-99999",2013-03-12,4.92916666666667,231.095959939334
"082210-99999",2013-03-13,6.95,335.68422457528
"082210-99999",2013-03-14,3.49375,320.269009338956
"082210-99999",2013-03-15,1.77083333333333,163.232704908062
"082210-99999",2013-03-16,3.09444444444444,202.376966906582
"082210-99999",2013-03-17,2.44097222222222,259.90627807693
"082210-99999",2013-03-18,5.27708333333333,253.794067663928
"082210-99999",2013-03-19,2.10555555555556,209.011391981254
"082210-99999",2013-03-20,2.50208333333333,198.110054889505
"082210-99999",2013-03-21,2.02708333333333,271.680887612562
"082210-99999",2013-03-22,3.05069444444444,215.630580805934
"082210-99999",2013-03-23,2.39166666666667,185.015396620129
"082210-99999",2013-03-24,3.9,250.381741286754
"082210-99999",2013-03-25,6.48333333333333,232.055296215197
"082210-99999",2013-03-26,6.27708333333333,238.058477925369
"082210-99999",2013-03-27,4.76041666666667,225.983334651529
"082210-99999",2013-03-28,6.1125,241.141437967289
"082210-99999",2013-03-29,7.02152777777778,226.545981841595
"082210-99999",2013-03-30,6.04583333333333,273.195688001762
"082210-99999",2013-03-31,3.65416666666667,202.701017973878
"082210-99999",2013-04-01,4.83611111111111,265.259116837604
"082210-99999",2013-04-02,4.5625,244.285228112208
"082210-99999",2013-04-03,2.40798611111111,201.850020439744
"082210-99999",2013-04-04,3.43402777777778,228.482763025477
"082210-99999",2013-04-05,4.80625,16.3888170735352
"082210-99999",2013-04-06,3.13125,349.00025312491
"082210-99999",2013-04-07,2.35208333333333,223.83278078194
"082210-99999",2013-04-08,5.69375,252.976501966768
"082210-99999",2013-04-09,7.41666666666667,237.85489098709
"082210-99999",2013-04-10,5.32708333333333,226.195611224424
"082210-99999",2013-04-11,6.31666666666667,223.860398679552
"082210-99999",2013-04-12,4.13958333333333,224.705987584971
"082210-99999",2013-04-13,1.45208333333333,346.478442782564
"082210-99999",2013-04-14,2.69583333333333,165.448509800262
"082210-99999",2013-04-15,2.44375,210.984120607521
"082210-99999",2013-04-16,2.02083333333333,266.643396852975
"082210-99999",2013-04-17,2.44583333333333,225.095955311866
"082210-99999",2013-04-18,2.59375,243.372976677724
"082210-99999",2013-04-19,4.83333333333333,53.7973559347648
"082210-99999",2013-04-20,3.00208333333333,41.8639421535972
