"code","date","ws","wd"
"080270-99999",2013-01-01,6.425,271.23965223871
"080270-99999",2013-01-02,4.95,2.4714674503243
"080270-99999",2013-01-03,1.6,94.7578858360278
"080270-99999",2013-01-04,1,358.720718799647
"080270-99999",2013-01-05,0.8125,140.575910728905
"080270-99999",2013-01-06,1.075,102.859219238179
"080270-99999",2013-01-07,0.8125,165.468226914994
"080270-99999",2013-01-08,1.075,163.358966914715
"080270-99999",2013-01-09,1.925,174.729705420064
"080270-99999",2013-01-10,4.1875,282.661666034249
"080270-99999",2013-01-11,2.575,211.328408415274
"080270-99999",2013-01-12,3.88571428571429,284.221884865108
"080270-99999",2013-01-13,3.4875,247.446842966066
"080270-99999",2013-01-14,5.4625,326.673975522953
"080270-99999",2013-01-15,12.2125,314.20258695498
"080270-99999",2013-01-16,9.1375,275.372943751361
"080270-99999",2013-01-17,1.975,69.4914298636216
"080270-99999",2013-01-18,3.975,232.724573013393
"080270-99999",2013-01-19,6.3,189.689078727935
"080270-99999",2013-01-20,8.675,315.581335307591
"080270-99999",2013-01-21,8.1875,246.076390259042
"080270-99999",2013-01-22,6.5125,175.56626366625
"080270-99999",2013-01-23,7.65,277.450552362529
"080270-99999",2013-01-24,8.1,319.444154298415
"080270-99999",2013-01-25,2.2875,151.434838761056
"080270-99999",2013-01-26,8.8,299.119336704063
"080270-99999",2013-01-27,6.025,202.269106345137
"080270-99999",2013-01-28,4.4375,260.942632398773
"080270-99999",2013-01-29,5.0875,163.302637866362
"080270-99999",2013-01-30,4.4375,188.040132718414
"080270-99999",2013-01-31,2.45,150.891136541536
"080270-99999",2013-02-01,5.7875,202.839474426931
"080270-99999",2013-02-02,10.4125,337.072014692997
"080270-99999",2013-02-03,2.5625,5.90147669416446
"080270-99999",2013-02-04,5.4,292.401261994414
"080270-99999",2013-02-05,7.6625,290.568071594841
"080270-99999",2013-02-06,8.7875,297.000503068397
"080270-99999",2013-02-07,6.8125,355.436553670449
"080270-99999",2013-02-08,7.4625,338.06070677685
"080270-99999",2013-02-09,4.5,302.603159250908
"080270-99999",2013-02-10,5.025,208.204618725081
"080270-99999",2013-02-11,9.25,237.283567189108
"080270-99999",2013-02-12,7.12857142857143,300.921107950998
"080270-99999",2013-02-13,3.8,324.691406201161
"080270-99999",2013-02-14,4.6875,297.98036342105
"080270-99999",2013-02-15,2.45,327.141886170621
"080270-99999",2013-02-16,2,145.104342936958
"080270-99999",2013-02-17,5.525,165.839175525365
"080270-99999",2013-02-18,2.6875,167.143728857745
"080270-99999",2013-02-19,7.325,160.170463482667
"080270-99999",2013-02-20,2.625,136.390702337345
"080270-99999",2013-02-21,1.7375,322.607298921874
"080270-99999",2013-02-22,2.2,13.0422300696081
"080270-99999",2013-02-23,4.25,13.7129860315504
"080270-99999",2013-02-24,1.925,9.56572367252523
"080270-99999",2013-02-25,1.8,1.13994309324029
"080270-99999",2013-02-26,1.85714285714286,135.853463123315
"080270-99999",2013-02-27,1.55,22.5338649173637
"080270-99999",2013-02-28,1.4,332.685886813022
"080270-99999",2013-03-01,2.3875,335.318713975552
"080270-99999",2013-03-02,2.1375,19.2718795876662
"080270-99999",2013-03-03,3.6625,158.402578097773
"080270-99999",2013-03-04,9.825,157.192795849557
"080270-99999",2013-03-05,8.3875,151.377539330936
"080270-99999",2013-03-06,4.5125,165.878185821234
"080270-99999",2013-03-07,8.6,182.10956498959
"080270-99999",2013-03-08,4.175,200.317523308191
"080270-99999",2013-03-09,4.425,185.326877497141
"080270-99999",2013-03-10,5.275,188.625283032242
"080270-99999",2013-03-11,5.275,206.287990629057
"080270-99999",2013-03-12,5.1375,324.371360489696
"080270-99999",2013-03-13,7.4,355.013542355997
"080270-99999",2013-03-14,5.0125,345.946983905708
"080270-99999",2013-03-15,2.1,96.4092207593806
"080270-99999",2013-03-16,6.825,169.270858119103
"080270-99999",2013-03-17,5.525,193.716987153881
"080270-99999",2013-03-18,5.6,267.122945475478
"080270-99999",2013-03-19,2.3125,256.612094737977
"080270-99999",2013-03-20,3.6,294.840501359243
"080270-99999",2013-03-21,8.9875,166.721518762574
"080270-99999",2013-03-22,5.15,161.778335660376
"080270-99999",2013-03-23,3.35,142.875349987085
"080270-99999",2013-03-24,3.275,299.416695394972
"080270-99999",2013-03-25,3.0875,220.849724304178
"080270-99999",2013-03-26,1.475,316.775756106618
"080270-99999",2013-03-27,1.025,359.55922224393
"080270-99999",2013-03-28,1.675,4.30670732906368
"080270-99999",2013-03-29,4.25,184.596227368502
"080270-99999",2013-03-30,7.5125,305.123561487379
"080270-99999",2013-03-31,2.3125,74.7728554906378
"080270-99999",2013-04-01,6.1625,270.618513878874
"080270-99999",2013-04-02,4.825,289.402464520569
"080270-99999",2013-04-03,3.2875,44.7289234975112
"080270-99999",2013-04-04,3.65,321.490003553718
"080270-99999",2013-04-05,5.075,273.9510377523
"080270-99999",2013-04-06,5.925,334.910034409458
"080270-99999",2013-04-07,2.65,152.225238735516
"080270-99999",2013-04-08,4.0625,282.149021995716
"080270-99999",2013-04-09,4.45,235.976564704459
"080270-99999",2013-04-10,5.975,178.675861246786
"080270-99999",2013-04-11,5.2,200.87313822792
"080270-99999",2013-04-12,2.575,6.62097785516379
"080270-99999",2013-04-13,5.5375,162.449625045536
