"code","date","ws","wd"
"083600-99999",2013-01-01,5.45416666666667,281.54589746346
"083600-99999",2013-01-02,3.28958333333333,304.919429461127
"083600-99999",2013-01-03,3.20833333333333,10.4053204865375
"083600-99999",2013-01-04,3.09375,234.81945423581
"083600-99999",2013-01-05,4.39583333333333,253.533637411052
"083600-99999",2013-01-06,3.25,285.628973284826
"083600-99999",2013-01-07,1.73125,246.824789649067
"083600-99999",2013-01-08,1.8625,234.032885358778
"083600-99999",2013-01-09,5.7875,275.654913179609
"083600-99999",2013-01-10,4.96458333333333,272.227091561146
"083600-99999",2013-01-11,4.62173913043478,298.294113701581
"083600-99999",2013-01-12,3.98958333333333,250.798276923018
"083600-99999",2013-01-13,4.96458333333333,286.997362210713
"083600-99999",2013-01-14,6.87291666666667,297.277426943142
"083600-99999",2013-01-15,6.11041666666667,287.958702315393
"083600-99999",2013-01-16,5.43541666666667,247.057554934188
"083600-99999",2013-01-17,5.75625,274.338215648876
"083600-99999",2013-01-18,3.88125,242.102033091957
"083600-99999",2013-01-19,4.28333333333333,226.267166240584
"083600-99999",2013-01-20,7.13958333333333,280.855283762695
"083600-99999",2013-01-21,4.70625,290.089327699161
"083600-99999",2013-01-22,4.14305555555556,248.727043345379
"083600-99999",2013-01-23,9.96041666666667,284.28016987463
"083600-99999",2013-01-24,8.33125,288.356019802453
"083600-99999",2013-01-25,5.00625,282.514311867808
"083600-99999",2013-01-26,5.42083333333333,291.355818275809
"083600-99999",2013-01-27,4.55,264.529119908322
"083600-99999",2013-01-28,7.58333333333333,285.117199204573
"083600-99999",2013-01-29,2.03958333333333,222.170827421408
"083600-99999",2013-01-30,2.71458333333333,237.342609755216
"083600-99999",2013-01-31,2.6125,303.44665748655
"083600-99999",2013-02-01,4.76041666666667,232.869273155577
"083600-99999",2013-02-02,10.4479166666667,293.112407964979
"083600-99999",2013-02-03,6.99347826086957,310.592094735507
"083600-99999",2013-02-04,3.3,254.603440992958
"083600-99999",2013-02-05,3.56875,270.00003678531
"083600-99999",2013-02-06,8.47083333333333,293.396096475927
"083600-99999",2013-02-07,7.91875,295.007295789333
"083600-99999",2013-02-08,5.54583333333333,298.775759817453
"083600-99999",2013-02-09,3.54791666666667,334.004489571125
"083600-99999",2013-02-10,4.74166666666667,233.354706199859
"083600-99999",2013-02-11,8.12173913043478,285.906229601251
"083600-99999",2013-02-12,6.79791666666667,284.097670018191
"083600-99999",2013-02-13,4.25,300.298381328488
"083600-99999",2013-02-14,2.36666666666667,346.478370009621
"083600-99999",2013-02-15,2.02083333333333,99.3616442965191
"083600-99999",2013-02-16,1.74130434782609,43.0088742816151
"083600-99999",2013-02-17,1.45,157.480047640854
"083600-99999",2013-02-18,3.30625,240.870619368776
"083600-99999",2013-02-19,5.93958333333333,51.6331932121097
"083600-99999",2013-02-20,2.42083333333333,77.2518654761334
"083600-99999",2013-02-21,4.97708333333333,274.092879771444
"083600-99999",2013-02-22,5.85208333333333,252.621531689257
"083600-99999",2013-02-23,4.32291666666667,264.290955268462
"083600-99999",2013-02-24,6.42291666666667,289.860101867508
"083600-99999",2013-02-25,3.61041666666667,300.016394902845
"083600-99999",2013-02-26,2.99772727272727,335.011020233797
