"code","date","ws","wd"
"081810-99999",2013-01-01,3.77916666666667,336.169322669953
"081810-99999",2013-01-02,4.16666666666667,335.467022018473
"081810-99999",2013-01-03,5.36458333333333,341.990518470733
"081810-99999",2013-01-04,6.25833333333333,326.670863514073
"081810-99999",2013-01-05,6.58958333333333,328.006272979574
"081810-99999",2013-01-06,4.8125,324.0883434988
"081810-99999",2013-01-07,5.18125,344.057265815494
"081810-99999",2013-01-08,3.73958333333333,324.407926814915
"081810-99999",2013-01-09,5.18541666666667,330.650353218441
"081810-99999",2013-01-10,3.34583333333333,327.001518168156
"081810-99999",2013-01-11,4.51739130434783,324.49315262883
"081810-99999",2013-01-12,4.09375,324.186067473139
"081810-99999",2013-01-13,3.16458333333333,310.655259632534
"081810-99999",2013-01-14,3.93958333333333,333.701409450826
"081810-99999",2013-01-15,3.91458333333333,299.170339614673
"081810-99999",2013-01-16,4.2875,293.83162877466
"081810-99999",2013-01-17,3.66666666666667,158.325950593437
"081810-99999",2013-01-18,3.35,307.710365319306
"081810-99999",2013-01-19,3.6625,226.460842304841
"081810-99999",2013-01-20,4.7625,303.919062341903
"081810-99999",2013-01-21,4.19583333333333,312.242457217009
"081810-99999",2013-01-22,3.56875,271.671705979161
"081810-99999",2013-01-23,5.13541666666667,308.552875082208
"081810-99999",2013-01-24,4.09375,323.335052022906
"081810-99999",2013-01-25,5.50625,326.544548628539
"081810-99999",2013-01-26,3.37291666666667,344.424593375451
"081810-99999",2013-01-27,3.77916666666667,312.684480820177
"081810-99999",2013-01-28,3.90208333333333,307.431041148292
"081810-99999",2013-01-29,3.42083333333333,304.400112938833
"081810-99999",2013-01-30,3.42083333333333,302.043034013879
"081810-99999",2013-01-31,3.74791666666667,294.791003789546
"081810-99999",2013-02-01,3.68125,275.0859334956
"081810-99999",2013-02-02,7.60833333333333,300.935187398917
"081810-99999",2013-02-03,5.94166666666667,315.763335251368
"081810-99999",2013-02-04,4.70625,301.395351816773
"081810-99999",2013-02-05,4.32291666666667,291.748630800052
"081810-99999",2013-02-06,7.35416666666667,304.410648885829
"081810-99999",2013-02-07,5.44166666666667,319.516568214143
"081810-99999",2013-02-08,3.47708333333333,346.477882377123
"081810-99999",2013-02-09,3.4,304.341254932455
"081810-99999",2013-02-10,4.50625,274.380203440481
"081810-99999",2013-02-11,5.1804347826087,292.535286019271
"081810-99999",2013-02-12,5.4125,299.261543378497
"081810-99999",2013-02-13,4.21041666666667,314.593511949432
"081810-99999",2013-02-14,3.51875,313.575473821862
"081810-99999",2013-02-15,3.37291666666667,314.278853121373
"081810-99999",2013-02-16,3.80869565217391,224.352463470185
"081810-99999",2013-02-17,2.75625,62.8489206289113
"081810-99999",2013-02-18,3.68541666666667,53.3471480774931
"081810-99999",2013-02-19,3.73541666666667,73.0685638023794
"081810-99999",2013-02-20,4.7,286.97969580016
"081810-99999",2013-02-21,3.46458333333333,21.2092272834474
"081810-99999",2013-02-22,5.725,66.4525493235554
"081810-99999",2013-02-23,4.37361111111111,336.34782519792
"081810-99999",2013-02-24,5.4125,332.692772872307
"081810-99999",2013-02-25,3.14375,347.403619930464
"081810-99999",2013-02-26,3.90972222222222,287.949132684756
"081810-99999",2013-02-27,4.78194444444444,14.9018233857982
"081810-99999",2013-02-28,10.825,60.5929522087823
"081810-99999",2013-03-01,8.66666666666667,37.4814053812641
"081810-99999",2013-03-02,3.7875,286.057427448833
"081810-99999",2013-03-03,3.73958333333333,296.058934502338
"081810-99999",2013-03-04,7.08888888888889,51.1258771776888
"081810-99999",2013-03-05,9.65,67.0178123933528
"081810-99999",2013-03-06,4.50208333333333,49.8948217035018
"081810-99999",2013-03-07,4.4625,237.148758014536
"081810-99999",2013-03-08,6.28333333333333,243.280069833787
"081810-99999",2013-03-09,5.35,236.584696832456
"081810-99999",2013-03-10,5.59375,254.894379918639
"081810-99999",2013-03-11,5.3375,266.874078846126
"081810-99999",2013-03-12,4.4375,238.187859911941
"081810-99999",2013-03-13,3.37604166666667,331.70460752186
"081810-99999",2013-03-14,4.84166666666667,328.329701288636
"081810-99999",2013-03-15,3.55,18.7123362473192
"081810-99999",2013-03-16,5.52083333333333,241.967390132716
"081810-99999",2013-03-17,2.46041666666667,212.507472870054
"081810-99999",2013-03-18,5.80833333333333,266.381178041918
"081810-99999",2013-03-19,3.62708333333333,33.2870432015659
"081810-99999",2013-03-20,4.58333333333333,258.263338275314
"081810-99999",2013-03-21,5.02083333333333,247.862291763495
"081810-99999",2013-03-22,3.25833333333333,239.732393754405
"081810-99999",2013-03-23,3.05208333333333,62.6217717012514
"081810-99999",2013-03-24,2.77847222222222,254.731482800342
"081810-99999",2013-03-25,4.84861111111111,266.808731686661
"081810-99999",2013-03-26,3.62291666666667,70.2480480478626
"081810-99999",2013-03-27,3.64652777777778,79.9020181764295
"081810-99999",2013-03-28,4.96458333333333,238.148649431476
"081810-99999",2013-03-29,3.92083333333333,242.880949458859
"081810-99999",2013-03-30,6.32708333333333,283.51571344956
"081810-99999",2013-03-31,3.8125,57.0504379892102
"081810-99999",2013-04-01,4.30069444444444,349.532003813012
"081810-99999",2013-04-02,4.21319444444444,314.867403691544
"081810-99999",2013-04-03,3.7875,42.7916032815962
"081810-99999",2013-04-04,2.98333333333333,56.8855346870311
"081810-99999",2013-04-05,3.68888888888889,4.47086160748641
"081810-99999",2013-04-06,3.33541666666667,240.778569308431
"081810-99999",2013-04-07,6.2875,256.944930633963
"081810-99999",2013-04-08,4.78541666666667,234.046158525287
"081810-99999",2013-04-09,6.07083333333333,237.107369882652
